日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2012-01-01,,,,710,消耗品費,,,101,現金,,,2381,永川神社　お守り代,,,,,,,
2012-01-01,,,,707,接待交際費,,,101,現金,,,1315,ケンタッキー　コーヒー　(2件),,,,,,,
2012-01-01,,,,322,未払金,3,他：,0,,,,8060,㈱旭ｴｽﾃｰﾄ　修繕積立金,,,,,,,
2012-01-01,,,,269,修繕積立金,,,0,,,,50000,㈱旭ｴｽﾃｰﾄ　修繕積立金,,,,,,,
2012-01-01,,,,0,,,,390,事業主借,,,58060,㈱旭ｴｽﾃｰﾄ　修繕積立金,,,,,,,
2012-01-02,,,,704,旅費交通費,,,101,現金,,,248,電車代,,,,,,,
2012-01-02,,,,707,接待交際費,,,101,現金,,,1740,伊勢丹　御菓子代贈答品,,,,,,,
2012-01-02,,,,711,事務用品費,,,101,現金,,,100,ミーツ　鋏代,,,,,,,
2012-01-02,,,,710,消耗品費,,,101,現金,,,399,ミネドラッイグ　マスクなど,,,,,,,
2012-01-02,,,,710,消耗品費,,,101,現金,,,762,メガネサロンルック　メガネ代,,,,,,,
2012-01-02,,,,707,接待交際費,,,101,現金,,,19239,塚田農場　接待飲食代　鈴木様他,,,,,,,
2012-01-02,,,,707,接待交際費,,,101,現金,,,23515,台湾料理味王　接待飲食代　鈴木様他,,,,,,,
2012-01-03,,,,713,福利厚生費,,,101,現金,,,5122,ミスドピザハット　ﾛｰｿﾝ100など,,,,,,,
2012-01-03,,,,711,事務用品費,,,101,現金,,,1600,アーノット　店のペンたて,,,,,,,
2012-01-03,,,,610,化粧品仕入,,,101,現金,,,452,ダイコクドラッグ　ヘアエッセンス,,,,,,,
2012-01-03,,,,710,消耗品費,,,101,現金,,,600,ミーツ　店の春の飾り,,,,,,,
2012-01-03,,,,738,研究費,,,101,現金,,,1300,ブックファースト　経営参考書,,,,,,,
2012-01-03,,,,707,接待交際費,,,101,現金,,,258,サイゼリア　コーヒー,,,,,,,
2012-01-03,,,,704,旅費交通費,,,101,現金,,,1953,高円寺交通株式会社　丸井自動車株式会社　タクシー（2件）,,,,,,,
2012-01-04,,,,100,現金（店）,,,500,売上（店）,,,147500,店売上,,,,,,,
2012-01-04,,,,100,現金（店）,,,501,売上化粧品,,,1800,化粧品売上,,,,,,,
2012-01-04,,,,731,会議費,,,100,現金,,,501,ﾛｰｿﾝ　早朝ﾐｰﾃｨﾝｸﾞ朝食代,,,,,,,
2012-01-04,,,,732,新聞図書費,,,100,現金,,,762,ローソン　店用雑誌等,,,,,,,
2012-01-04,,,,713,福利厚生費,,,100,現金,,,1707,ファミリーマート　従業員昼食代,,,,,,,
2012-01-04,,,,720,外注費,,,100,現金,,,6900,キンコーズ　看板いんさつ＆加工代,,,,,,,
2012-01-04,,,,101,現金,,,100,現金,,,138937,店主へお渡し,,,,,,,
2012-01-04,,,,732,新聞図書費,,,101,現金,,,153,駅売店購入　日経新聞,,,,,,,
2012-01-04,,,,713,福利厚生費,,,101,現金,,,734,小田急　ブレグラス,,,,,,,
2012-01-04,,,,707,接待交際費,,,101,現金,,,1725,京王百貨店　御年賀,,,,,,,
2012-01-04,,,,707,接待交際費,,,101,現金,,,11734,玉川酒造株式会社　御年賀,,,,,,,
2012-01-04,,,,713,福利厚生費,,,101,現金,,,9215,株式会社ヘルシーネットワーク,,,,,,,
2012-01-04,,,,704,旅費交通費,,,101,現金,,,1020,日本交通　タクシー,,,,,,,
2012-01-04,,,,370,長期借入金,2,我孫子アパート分,0,,,,346048,西京信金　借入金返済,,,,,,,
2012-01-04,,,,293,不動産経費,1,借入利息,0,,,,99619,西京信金　借入金返済,,,,,,,
2012-01-04,,,,0,,,,111,普通西京信金,,,445667,西京信金　借入金返済,,,,,,,
2012-01-04,,,,705,通信費,4,docomo,111,普通西京信金,,,3447,ｄｏｃｏｍｏ　正司　携帯電話代,,,,,,,
2012-01-05,,,,100,現金（店）,,,500,売上（店）,,,72800,店売上,,,,,,,
2012-01-05,,,,100,現金（店）,,,501,売上化粧品,,,1600,化粧品売上,,,,,,,
2012-01-05,,,,731,会議費,,,100,現金,,,467,ﾛｰｿﾝ　早朝ﾐｰﾃｨﾝｸﾞ朝食代,,,,,,,
2012-01-05,,,,713,福利厚生費,,,100,現金,,,2210,パーシモン　従業員昼食代,,,,,,,
2012-01-05,,,,101,現金,,,100,現金,,,71590,店主へお渡し,,,,,,,
2012-01-05,,,,732,新聞図書費,,,101,現金,,,153,駅売店購入　日経新聞,,,,,,,
2012-01-05,,,,610,化粧品仕入,,,101,現金,,,17915,杉並ＳＰＳ山下,,,,,,,
2012-01-05,,,,710,消耗品費,,,101,現金,,,8560,マウジー　店のパンツ代,,,,,,,
2012-01-05,,,,705,通信費,5,ソフトバンク,101,現金,,,4665,ソフトバンク　法正　携帯電話代,,,,,,,
2012-01-05,,,,704,旅費交通費,,,101,現金,,,1020,日本交通　タクシー,,,,,,,
