日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2016-01-06,,,,722,消耗品費,,,102,小口現金,,,1500,㈱ナック　ダスキンマット,,,,,,,
2016-01-08,,,,722,消耗品費,,,102,小口現金,,,1949,オリンピック　エアパッキン他,,,,,,,
2016-01-08,,,,722,消耗品費,,,102,小口現金,,,4573,イオンマーケット　イベント用備品,,,,,,,
2016-01-08,,,,722,消耗品費,,,102,小口現金,,,2400,雲月　イベント用菓子,,,,,,,
2016-01-08,,,,722,消耗品費,,,102,小口現金,,,4923,㈱紀伊国屋　イベント用備品,,,,,,,
2016-01-09,,,,722,消耗品費,,,102,小口現金,,,380,東急　店舗用カレンダー,,,,,,,
2016-01-12,,,,723,通信費,,,102,小口現金,,,473,日本郵便㈱　レターパック,,,,,,,
2016-01-13,,,,722,消耗品費,,,102,小口現金,,,1109,東急ハンズ　紙袋、ハガキ,,,,,,,
2016-01-17,,,,722,消耗品費,,,102,小口現金,,,260,東急　封筒,,,,,,,
2016-01-18,,,,723,通信費,,,102,小口現金,,,363,日本郵便㈱　簡易書留,,,,,,,
2016-01-20,,,,722,消耗品費,,,102,小口現金,,,1976,ユザワヤ　ビニールパック、伝票,,,,,,,
2016-01-21,,,,723,通信費,,,102,小口現金,,,3852,日本郵便㈱　切手,,,,,,,
2016-01-26,,,,722,消耗品費,,,102,小口現金,,,620,㈱栄文具　伝票,,,,,,,
2016-01-26,,,,722,消耗品費,,,102,小口現金,,,1852,美鈴ガーデン㈱　ディスプレイ用花,,,,,,,
2016-01-28,,,,722,消耗品費,,,102,小口現金,,,239,マツモトキヨシ　トイレットペーパー,,,,,,,
