日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-01-31,,,,166,売掛金,,,511,売上高,,,312000,㈱リョウテック,,,,,,,
2014-02-28,,,,166,売掛金,,,511,売上高,,,156000,㈱リョウテック,,,,,,,
2014-03-30,,,,166,売掛金,,,511,売上高,,,52500,㈱リョウテック,,,,,,,
2014-02-28,,,,166,売掛金,,,511,売上高,,,1119300,合同会社ＲＩＳＥ,,,,,,,
2014-03-01,,,,166,売掛金,,,511,売上高,,,75000,ＧＲＩＰ＆Ｃｏ.,,,,,,,
2014-04-30,,,,166,売掛金,,,511,売上高,,,175000,ＧＲＩＰ＆Ｃｏ.,,,,,,,
2014-05-31,,,,166,売掛金,,,511,売上高,,,150000,ＧＲＩＰ＆Ｃｏ.,,,,,,,
2014-06-30,,,,166,売掛金,,,511,売上高,,,75000,ＧＲＩＰ＆Ｃｏ.,,,,,,,
2014-04-08,,,,166,売掛金,,,511,売上高,,,605880,ディ・リンクス㈱,,,,,,,
2014-02-14,,,,166,売掛金,,,511,売上高,,,200000,㈱東京デザイン工房,,,,,,,
2014-05-31,,,,166,売掛金,,,511,売上高,,,3500000,㈱ＵＮＩＯＮ,,,,,,,
2014-01-06,,,,101,現金,,,122,みずほ中目黒,,,100000,弓削学,,,,,,,
2014-01-13,,,,101,現金,,,122,みずほ中目黒,,,35000,弓削学,,,,,,,
2014-01-13,,,,733,支払手数料,,,122,みずほ中目黒,,,200,弓削学,,,,,,,
2014-01-27,,,,189,事業主貸,,,122,みずほ中目黒,,,750000,弓削学,,,,,,,
2014-01-27,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　㈱リョウテック,,,,,,,
2014-01-27,,,,726,接待交際費,,,122,みずほ中目黒,,,6381,タカハシメグミ,,,,,,,
2014-01-27,,,,733,支払手数料,,,122,みずほ中目黒,,,200,振込手数料　タカハシメグミ,,,,,,,
2014-02-14,,,,122,みずほ中目黒,,,166,売掛金,,,200000,㈱東京デザイン工房,,,,,,,
2014-02-16,,,,101,現金,,,122,みずほ中目黒,,,215000,弓削学,,,,,,,
2014-02-16,,,,733,支払手数料,,,122,みずほ中目黒,,,100,弓削学,,,,,,,
2014-02-17,,,,122,みずほ中目黒,,,327,事業主借,,,11,弓削学,,,,,,,
2014-03-31,,,,122,みずほ中目黒,,,166,売掛金,,,500000,合同会社ＲＩＳＥ,,,,,,,
2014-03-31,,,,531,外注費,,,122,みずほ中目黒,,,95000,日の出　アネスト㈱　改修工事,,,,,,,
2014-03-31,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　アネスト㈱,,,,,,,
2014-03-31,,,,531,外注費,,,122,みずほ中目黒,,,96191,日の出　㈲コバヤシ看板　ダイノック貼り,,,,,,,
2014-03-31,,,,733,支払手数料,,,122,みずほ中目黒,,,200,振込手数料　㈲コバヤシ看板,,,,,,,
2014-03-31,,,,531,外注費,,,122,みずほ中目黒,,,165000,日の出　アマキミツヒデ　ダイノック貼り,,,,,,,
2014-03-31,,,,733,支払手数料,,,122,みずほ中目黒,,,200,振込手数料　アマキミツヒデ,,,,,,,
2014-03-31,,,,189,事業主貸,,,122,みずほ中目黒,,,125000,弓削学,,,,,,,
2014-04-03,,,,122,みずほ中目黒,,,327,事業主借,,,10000,弓削学,,,,,,,
2014-04-03,,,,613,材料仕入,,,122,みずほ中目黒,,,7939,吉祥寺　レーベル㈱　ビス他,,,,,,,
2014-04-03,,,,733,支払手数料,,,122,みずほ中目黒,,,100,振込手数料　レーベル㈱,,,,,,,
2014-04-04,,,,122,みずほ中目黒,,,166,売掛金,,,75000,ＧＲＩＰ＆Ｃｏ.,,,,,,,
2014-04-04,,,,101,現金,,,122,みずほ中目黒,,,50000,弓削学,,,,,,,
2014-04-06,,,,101,現金,,,122,みずほ中目黒,,,10000,弓削学,,,,,,,
2014-04-06,,,,733,支払手数料,,,122,みずほ中目黒,,,100,弓削学,,,,,,,
2014-04-10,,,,122,みずほ中目黒,,,166,売掛金,,,619300,合同会社ＲＩＳＥ,,,,,,,
2014-04-10,,,,531,外注費,,,122,みずほ中目黒,,,271056,日の出　ワタナベ工務店　家具工事,,,,,,,
2014-04-10,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　ワタナベ工務店,,,,,,,
2014-04-10,,,,733,支払手数料,,,122,みずほ中目黒,,,48612,さくら中央税理士法人　確定申告書作成報酬,,,,,,,
2014-04-10,,,,733,支払手数料,,,122,みずほ中目黒,,,200,振込手数料　さくら中央税理士法人,,,,,,,
2014-04-11,,,,101,現金,,,122,みずほ中目黒,,,20000,弓削学,,,,,,,
2014-04-15,,,,101,現金,,,122,みずほ中目黒,,,150000,弓削学,,,,,,,
2014-04-30,,,,122,みずほ中目黒,,,166,売掛金,,,605880,ディ・リンクス㈱　　売掛金回収,,,,,,,
2014-05-03,,,,101,現金,,,122,みずほ中目黒,,,150000,弓削学,,,,,,,
2014-05-03,,,,733,支払手数料,,,122,みずほ中目黒,,,200,弓削学,,,,,,,
2014-05-07,,,,101,現金,,,122,みずほ中目黒,,,70000,テイケイイオン,,,,,,,
2014-05-07,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　テイケイイオン,,,,,,,
2014-05-08,,,,101,現金,,,122,みずほ中目黒,,,70000,弓削学,,,,,,,
2014-05-09,,,,531,外注費,,,122,みずほ中目黒,,,66112,日の出　ＡＣＴオバナサトシ　引渡し清掃,,,,,,,
2014-05-09,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　ＡＣＴオバナサトシ,,,,,,,
2014-05-09,,,,531,外注費,,,122,みずほ中目黒,,,33500,吉祥寺　ＡＫＡＧＩ建装　トイレクロス貼り,,,,,,,
2014-05-09,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　ＡＫＡＧＩ建装,,,,,,,
2014-05-09,,,,531,外注費,,,122,みずほ中目黒,,,4676,日の出　㈲コバヤシ看板　ダイノック貼り,,,,,,,
2014-05-09,,,,733,支払手数料,,,122,みずほ中目黒,,,100,振込手数料　㈲コバヤシ看板,,,,,,,
2014-05-09,,,,101,現金,,,122,みずほ中目黒,,,120000,弓削学,,,,,,,
2014-05-17,,,,101,現金,,,122,みずほ中目黒,,,24000,弓削学,,,,,,,
2014-05-17,,,,733,支払手数料,,,122,みずほ中目黒,,,100,弓削学,,,,,,,
2014-05-23,,,,101,現金,,,122,みずほ中目黒,,,30000,弓削学,,,,,,,
2014-05-23,,,,733,支払手数料,,,122,みずほ中目黒,,,100,弓削学,,,,,,,
2014-05-30,,,,122,みずほ中目黒,,,166,売掛金,,,3500000,㈱ＵＮＩＯＮ,,,,,,,
2014-05-30,,,,531,外注費,,,122,みずほ中目黒,,,330000,ワタナベ工務店,,,,,,,
2014-05-30,,,,733,支払手数料,,,122,みずほ中目黒,,,500,振込手数料　ワタナベ工務店,,,,,,,
2014-05-30,,,,101,現金,,,122,みずほ中目黒,,,20000,弓削学,,,,,,,
2014-05-30,,,,733,支払手数料,,,122,みずほ中目黒,,,100,弓削学,,,,,,,
2014-06-02,,,,101,現金,,,122,みずほ中目黒,,,500000,弓削学,,,,,,,
2014-06-02,,,,733,支払手数料,,,122,みずほ中目黒,,,100,弓削学,,,,,,,
2014-06-04,,,,122,みずほ中目黒,,,166,売掛金,,,175000,ＧＲＩＰ＆Ｃｏ.,,,,,,,
2014-06-05,,,,613,材料仕入,,,122,みずほ中目黒,,,70500,ＵＮＩ　トシン電機㈱　ＬＥＤ誘導灯,,,,,,,
2014-06-05,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　トシン電機㈱,,,,,,,
2014-06-05,,,,189,事業主貸,,,122,みずほ中目黒,,,48000,弓削学　㈱総合資格学院　学費,,,,,,,
2014-06-05,,,,189,事業主貸,,,122,みずほ中目黒,,,216,振込手数料　㈱総合資格学院,,,,,,,
2014-06-06,,,,531,外注費,,,122,みずほ中目黒,,,480000,ＵＮＩ　㈱関東ファニチャー,,,,,,,
2014-06-06,,,,733,支払手数料,,,122,みずほ中目黒,,,200,振込手数料　㈱関東ファニチャー,,,,,,,
2014-06-06,,,,101,現金,,,122,みずほ中目黒,,,150000,弓削学,,,,,,,
2014-06-11,,,,101,現金,,,122,みずほ中目黒,,,50000,弓削学,,,,,,,
2014-06-11,,,,189,事業主貸,,,122,みずほ中目黒,,,216,弓削学,,,,,,,
2014-06-14,,,,189,事業主貸,,,122,みずほ中目黒,,,30957,㈱オリエントコーポレーション,,,,,,,
2014-06-14,,,,189,事業主貸,,,122,みずほ中目黒,,,324,振込手数料　㈱オリエントコーポレーション,,,,,,,
2014-06-17,,,,101,現金,,,122,みずほ中目黒,,,200000,弓削学,,,,,,,
2014-06-17,,,,189,事業主貸,,,122,みずほ中目黒,,,108,弓削学,,,,,,,
2014-06-18,,,,613,材料仕入,,,122,みずほ中目黒,,,42000,ＵＮＩ　㈲フレームショップタク　額縁代,,,,,,,
2014-06-18,,,,733,支払手数料,,,122,みずほ中目黒,,,500,振込手数料　㈲フレームショップタク,,,,,,,
2014-06-21,,,,101,現金,,,122,みずほ中目黒,,,1000000,弓削学,,,,,,,
2014-06-21,,,,733,支払手数料,,,122,みずほ中目黒,,,100,弓削学,,,,,,,
2014-06-24,,,,122,みずほ中目黒,,,613,材料仕入,,,38054,ＵＮＩ　岐阜の木工屋,,,,,,,
2014-06-25,,,,613,材料仕入,,,122,みずほ中目黒,,,42000,ＵＮＩ　㈲フレームショップタク　額縁代,,,,,,,
2014-06-25,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　㈲フレームショップタク,,,,,,,
2014-06-25,,,,531,外注費,,,122,みずほ中目黒,,,52000,ＵＮＩ　㈲照和　電気改修工事,,,,,,,
2014-06-25,,,,733,支払手数料,,,122,みずほ中目黒,,,400,振込手数料　㈲照和,,,,,,,
