日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2016-01-03,,,,721,旅費交通費,,,101,現金,,,2775,昭和礦油㈱　ガソリン代,,,,,,,
2016-01-16,,,,721,旅費交通費,,,101,現金,,,3470,昭和礦油㈱　ガソリン代,,,,,,,
2016-01-24,,,,721,旅費交通費,,,314,未払金,,,1852,昭和礦油㈱　ガソリン代,,,,,,,
2016-01-31,,,,721,旅費交通費,,,101,現金,,,1852,中央シェル石油販売㈱　ガソリン代,,,,,,,
2016-01-27,,,,721,旅費交通費,,,101,現金,,,1852,関東燃料㈱　ガソリン代,,,,,,,
2016-02-03,,,,721,旅費交通費,,,101,現金,,,3471,昭和礦油㈱　ガソリン代,,,,,,,
2016-02-18,,,,721,旅費交通費,,,101,現金,,,3438,昭和礦油㈱　ガソリン代,,,,,,,
2016-03-01,,,,721,旅費交通費,,,101,現金,,,3343,昭和礦油㈱　ガソリン代,,,,,,,
2016-03-13,,,,721,旅費交通費,,,101,現金,,,3289,㈱渡邊油化　ガソリン代,,,,,,,
2016-03-19,,,,721,旅費交通費,,,101,現金,,,2765,昭和礦油㈱　ガソリン代,,,,,,,
2016-03-20,,,,721,旅費交通費,,,314,未払金,,,2100,㈱東日本宇佐美　ガソリン代,,,,,,,
2016-03-27,,,,721,旅費交通費,,,101,現金,,,3140,中央シェル石油販売㈱　ガソリン代,,,,,,,
2016-04-06,,,,721,旅費交通費,,,101,現金,,,3703,昭和礦油㈱　ガソリン代,,,,,,,
2016-04-17,,,,721,旅費交通費,,,101,現金,,,3667,㈱渡邊油化　ガソリン代,,,,,,,
2016-04-24,,,,721,旅費交通費,,,101,現金,,,2535,㈱渡邊油化　ガソリン代,,,,,,,
2016-05-01,,,,721,旅費交通費,,,101,現金,,,2732,中央シェル石油販売㈱　ガソリン代,,,,,,,
