日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-10-03,,,,166,売掛金,,,511,売上高,,,97790,㈱ペンコミュニケーション　Ｚ会,,,,,,,
2014-10-10,,,,166,売掛金,,,511,売上高,,,54000,㈱ビーサイド　WASEBI,,,,,,,
2014-10-11,,,,166,売掛金,,,511,売上高,,,108000,㈱フレームジャパン　PEGGYTIMES,,,,,,,
2014-10-03,,,,166,売掛金,,,511,売上高,,,97790,㈱ペンコミュニケーション　スクロール,,,,,,,
2014-10-21,,,,166,売掛金,,,511,売上高,,,216000,SCRAPPAGES　LUMINETHECURTUELA,,,,,,,
2014-11-03,,,,166,売掛金,,,511,売上高,,,64800,㈱ビーサイド　ベルエポック葛西校,,,,,,,
2014-10-31,,,,166,売掛金,,,511,売上高,,,162000,TAKAIYAMA　otoaa,,,,,,,
2014-11-18,,,,166,売掛金,,,511,売上高,,,195580,㈱ペンコミュニケーション　RANAN,,,,,,,
2014-12-04,,,,166,売掛金,,,511,売上高,,,54000,TAKAIYAMA　空気の器,,,,,,,
2014-12-12,,,,166,売掛金,,,511,売上高,,,259200,㈱ビーサイド　WASEBI,,,,,,,
2014-12-18,,,,166,売掛金,,,511,売上高,,,108000,フジ産業　カタログ,,,,,,,
2014-12-19,,,,166,売掛金,,,511,売上高,,,43200,poulpffice　zadig&voltaire,,,,,,,
2014-09-27,,,,186,仮払金,,,000,,,,78360,㈱ヨドバシカメラ　三脚,,,,,,,
2014-09-27,,,,186,仮払金,,,000,,,,224090,㈱ヨドバシカメラ　レンズ　,,,,,,,
2014-09-27,,,,186,仮払金,,,000,,,,102600,㈱ヨドバシカメラ　レンズ,,,,,,,
2014-09-27,,,,186,仮払金,,,000,,,,3730,㈱ヨドバシカメラ　三脚船,,,,,,,
2014-09-27,,,,000,,,,189,事業主貸,,,408780,㈱ヨドバシカメラ　レンズ他,,,,,,,
