日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-01-03,,,,827,資料代,,,101,現金,,,1240,ａｍａｚｏｎ　資料用ＤＶＤ代,,,,,,,
2013-01-03,,,,827,資料代,,,101,現金,,,3317,ａｍａｚｏｎ　資料用ＤＶＤ代,,,,,,,
2013-01-04,,,,827,資料代,,,121,三菱東京普通,,,2300,ＷＯＷＯＷ,,,,,,,
2013-01-04,,,,729,賃借料,,,121,三菱東京普通,,,32500,リコーリース㈱　複合機リース料,,,,,,,
2013-01-04,,,,196,店主勘定,,,121,三菱東京普通,,,20000,定期振替,,,,,,,
2013-01-04,,,,831,会議費,,,101,現金,,,1664,マルエツプチ　編集者打合せ食事代,,,,,,,
2013-01-04,,,,831,会議費,,,101,現金,,,1615,生鮮マルシェ　編集者打合せ食事代,,,,,,,
2013-01-05,,,,716,福利厚生費,1,医療品：,101,現金,,,1330,医療品：薬のヒグチ　事務所常備薬代,,,,,,,
2013-01-05,,,,716,福利厚生費,1,医療品：,101,現金,,,2320,医療品：薬のヒグチ　事務所常備薬代,,,,,,,
2013-01-06,,,,828,管理費,,,121,三菱東京普通,,,73320,ヴィラドール管理組合,,,,,,,
2013-01-06,,,,733,支払手数料,,,121,三菱東京普通,,,400,振込手数料　ヴィラドール管理組合,,,,,,,
2013-01-06,,,,121,三菱東京普通,,,196,店主勘定,,,100000,現金預入,,,,,,,
2013-01-06,,,,312,買掛金,,,121,三菱東京普通,,,15000,(有)エムズ　経理代行,,,,,,,
2013-01-06,,,,733,支払手数料,,,121,三菱東京普通,,,250,振込手数料　㈲エムズ　経理代行,,,,,,,
2013-01-06,,,,123,りそな普通預金,,,121,三菱東京普通,,,130000,新井英樹　振替,,,,,,,
2013-01-06,,,,733,支払手数料,,,121,三菱東京普通,,,400,振込手数料,,,,,,,
2013-01-06,,,,716,福利厚生費,2,食糧品：,101,現金,,,2033,食糧品：マルエツプチ,,,,,,,
2013-01-06,,,,716,福利厚生費,2,食糧品：,101,現金,,,467,食糧品：㈱吉野家Ｄ＆Ｃ,,,,,,,
2013-01-06,,,,827,資料代,,,999,,,,610,ファミリーマート　参考書籍代,,,,,,,
2013-01-06,,,,716,福利厚生費,2,食糧品：,999,,,,239,食糧品：ファミリーマート,,,,,,,
2013-01-06,,,,716,福利厚生費,999,他：,999,,,,715,他：ファミリーマート　事務所飲物代,,,,,,,
2013-01-06,,,,999,,,,101,現金,,,1640,他：ファミリーマート　事務所飲物代　他,,,,,,,
2013-01-06,,,,718,運賃,,,101,現金,,,905,ヤマト運輸㈱　税理士へ書類送付,,,,,,,
2013-01-07,,,,723,通信費,,,121,三菱東京普通,,,6128,電話料金,,,,,,,
2013-01-07,,,,313,借入金,1,りそな銀行,123,りそな普通預金,,,123553,りそな銀行,,,,,,,
2013-01-07,,,,121,三菱東京普通,,,999,,,,472500,小学館　ビッグスペリオール１号,,,,,,,
2013-01-07,,,,187,仮払源泉所得税,2,小学館,999,,,,52500,小学館　ビッグスペリオール１号,,,,,,,
2013-01-07,,,,999,,,,511,小学館売上高,,,525000,ビッグスペリオール１号　三菱振込,,,,,,,
2013-01-07,,,,722,消耗品費,,,999,,,,4079,コープとうきょう１１月４回ティッシュ他,,,,,,,
2013-01-07,,,,716,福利厚生費,2,食糧品：,999,,,,3797,食糧品：コープとうきょう１１月４回,,,,,,,
2013-01-07,,,,999,,,,196,店主勘定,,,8268,コープとうきょう１１月４回,,,,,,,
2013-01-07,,,,722,消耗品費,,,999,,,,833,コープとうきょう１２月１回ティッシュ他,,,,,,,
2013-01-07,,,,716,福利厚生費,2,食糧品：,999,,,,3953,食糧品：コープとうきょう１２月１回,,,,,,,
2013-01-07,,,,999,,,,196,店主勘定,,,5024,コープとうきょう１２月１回,,,,,,,
2013-01-07,,,,722,消耗品費,,,999,,,,806,コープとうきょう１２月２回ティッシュ他,,,,,,,
2013-01-07,,,,716,福利厚生費,2,食糧品：,999,,,,3593,食糧品：コープとうきょ１２月２回,,,,,,,
2013-01-07,,,,999,,,,196,店主勘定,,,4618,コープとうきょう１２月２回,,,,,,,
2013-01-07,,,,722,消耗品費,,,999,,,,2269,コープとうきょう１２月３回ティッシュ他,,,,,,,
2013-01-07,,,,716,福利厚生費,2,食糧品：,999,,,,7252,食糧品：コープとうきょう１２月３回,,,,,,,
2013-01-07,,,,999,,,,196,店主勘定,,,9996,コープとうきょう１２月３回,,,,,,,
2013-01-07,,,,716,福利厚生費,2,食糧品：,101,現金,,,1230,食糧品：ファミリーマート,,,,,,,
2013-01-07,,,,716,福利厚生費,2,食糧品：,101,現金,,,1353,食糧品：マルエツプチ,,,,,,,
2013-01-07,,,,716,福利厚生費,2,食糧品：,101,現金,,,1674,食糧品：八百賢,,,,,,,
2013-01-07,,,,716,福利厚生費,2,食糧品：,101,現金,,,1296,食糧品：モスバーガー,,,,,,,
2013-01-07,,,,716,福利厚生費,999,他：,101,現金,,,454,他：ファミリーマート　事務所飲物代,,,,,,,
2013-01-07,,,,728,事務用品費,,,101,現金,,,31996,㈱トゥールズ　画材代,,,,,,,
2013-01-08,,,,101,現金,,,121,三菱東京普通,,,200000,現金引出,,,,,,,
2013-01-08,,,,722,消耗品費,,,101,現金,,,40420,ヨドバシカメラ　事務所用ストーブ代,,,,,,,
2013-01-08,,,,721,旅費交通費,,,101,現金,,,848,ミツワ交通㈱　タクシー代,,,,,,,
2013-01-08,,,,716,福利厚生費,2,食糧品：,101,現金,,,1290,食糧品：ファミリーマート,,,,,,,
2013-01-08,,,,716,福利厚生費,2,食糧品：,999,,,,65,食糧品：ファミリーマート,,,,,,,
2013-01-08,,,,827,資料代,,,999,,,,134,ファミリーマート　参考用新聞代,,,,,,,
2013-01-08,,,,999,,,,101,現金,,,208,ファミリーマート　参考用新聞代　他,,,,,,,
2013-01-08,,,,731,修繕費,,,101,現金,,,1143,いちかわ　自転車パンク修理,,,,,,,
2013-01-08,,,,716,福利厚生費,2,食糧品：,101,現金,,,2872,食糧品：八百賢,,,,,,,
2013-01-08,,,,716,福利厚生費,2,食糧品：,101,現金,,,1210,食糧品：なか卯両国店,,,,,,,
2013-01-08,,,,722,消耗品費,,,101,現金,,,2199,小川薬局　事務所用消耗品代,,,,,,,
2013-01-09,,,,121,三菱東京普通,,,999,,,,18000,㈱イーストプレス　原子力宇宙船地球号,,,,,,,
2013-01-09,,,,187,仮払源泉所得税,9999,他：,999,,,,2000,他：㈱イーストプレス　原子力宇宙船地球号,,,,,,,
2013-01-09,,,,999,,,,519,その他売上高,,,20000,㈱イーストプレス　原子力宇宙船地球号　三,,,,,,,
2013-01-09,,,,716,福利厚生費,2,食糧品：,101,現金,,,1183,食糧品：ファミリーマート,,,,,,,
2013-01-09,,,,716,福利厚生費,2,食糧品：,101,現金,,,1004,食糧品：マルエツプチ,,,,,,,
2013-01-09,,,,716,福利厚生費,2,食糧品：,101,現金,,,400,食糧品：ライフ,,,,,,,
2013-01-09,,,,716,福利厚生費,2,食糧品：,101,現金,,,362,食糧品：㈱吉野家Ｄ＆Ｃ,,,,,,,
2013-01-09,,,,716,福利厚生費,2,食糧品：,101,現金,,,1096,食糧品：モスバーガー,,,,,,,
2013-01-09,,,,716,福利厚生費,2,食糧品：,101,現金,,,3680,食糧品：からあげのジョー,,,,,,,
2013-01-10,,,,716,福利厚生費,2,食糧品：,101,現金,,,724,食糧品：すき家,,,,,,,
2013-01-10,,,,716,福利厚生費,2,食糧品：,101,現金,,,1621,食糧品：ファミリーマート,,,,,,,
2013-01-10,,,,827,資料代,,,101,現金,,,134,ファミリーマート　参考用新聞代,,,,,,,
2013-01-10,,,,716,福利厚生費,2,食糧品：,101,現金,,,410,食糧品：ファミリーマート,,,,,,,
2013-01-10,,,,716,福利厚生費,2,食糧品：,101,現金,,,582,食糧品：生鮮マルシェ,,,,,,,
2013-01-10,,,,716,福利厚生費,2,食糧品：,101,現金,,,2381,食糧品：丼丸,,,,,,,
2013-01-10,,,,716,福利厚生費,2,食糧品：,196,店主勘定,,,17800,食糧品：㈱アクアクララレモン,,,,,,,
2013-01-11,,,,101,現金,,,121,三菱東京普通,,,400000,現金引出,,,,,,,
2013-01-11,,,,716,福利厚生費,2,食糧品：,101,現金,,,1490,食糧品：ファミリーマート,,,,,,,
2013-01-11,,,,716,福利厚生費,2,食糧品：,101,現金,,,3378,食糧品：生鮮マルシェ,,,,,,,
2013-01-11,,,,716,福利厚生費,1,医療品：,101,現金,,,1908,医療品：小川薬局,,,,,,,
2013-01-11,,,,827,資料代,,,101,現金,,,3157,ａｍａｚｏｎ　資料ＤＶＤ代,,,,,,,
2013-01-11,,,,716,福利厚生費,2,食糧品：,101,現金,,,691,食糧品：マルエツプチ,,,,,,,
2013-01-12,,,,314,未払金,15,内田智裕,101,現金,,,133000,内田智裕,,,,,,,
2013-01-12,,,,314,未払金,100,菅原彩子,101,現金,,,130000,菅原彩子,,,,,,,
2013-01-12,,,,314,未払金,12,冨原康弘,101,現金,,,111000,冨原康弘,,,,,,,
2013-01-12,,,,314,未払金,13,柳谷公一,101,現金,,,95000,柳谷公一,,,,,,,
2013-01-12,,,,716,福利厚生費,2,食糧品：,999,,,,500,食糧品：ファミリーマート,,,,,,,
2013-01-12,,,,827,資料代,,,999,,,,1115,ファミリーマート　参考用雑誌代,,,,,,,
2013-01-12,,,,999,,,,101,現金,,,1695,ファミリーマート　参考用雑誌代　他,,,,,,,
2013-01-13,,,,716,福利厚生費,2,食糧品：,101,現金,,,2640,食糧品：㈱泉屋,,,,,,,
2013-01-15,,,,716,福利厚生費,999,他：,101,現金,,,3207,他：ファミリーマート　事務所飲物代,,,,,,,
2013-01-15,,,,724,水道光熱費,2,ガス料金,101,現金,,,20499,１月分ガス料金,,,,,,,
2013-01-15,,,,724,水道光熱費,3,水道料金,101,現金,,,17008,月分～１月分水道料金,,,,,,,
2013-01-16,,,,724,水道光熱費,1,電気料金,121,三菱東京普通,,,2202,電気料金,,,,,,,
2013-01-16,,,,724,水道光熱費,1,電気料金,121,三菱東京普通,,,45513,電気料金,,,,,,,
2013-01-16,,,,716,福利厚生費,999,他：,999,,,,2286,他：どらっぐぱぱす　事務所飲物代,,,,,,,
2013-01-16,,,,722,消耗品費,,,999,,,,1227,どらっぐぱぱす　事務所用消耗品代,,,,,,,
2013-01-16,,,,999,,,,101,現金,,,3688,どらっぐぱぱす　事務所用消耗品代　他,,,,,,,
2013-01-16,,,,716,福利厚生費,2,食糧品：,101,現金,,,653,食糧品：マルエツ,,,,,,,
2013-01-16,,,,101,現金,,,196,店主勘定,,,250000,新井英樹,,,,,,,
2013-01-17,,,,121,三菱東京普通,,,999,,,,5655,小学館　ザ　ワールド　イズ　マイン　他,,,,,,,
2013-01-17,,,,187,仮払源泉所得税,2,小学館,999,,,,626,小学館　ザ　ワールド　イズ　マイン　他,,,,,,,
2013-01-17,,,,999,,,,511,小学館売上高,,,6281,ザ　ワールド　イズ　マイン　他　三菱振込,,,,,,,
2013-01-17,,,,101,現金,,,121,三菱東京普通,,,60000,現金引出,,,,,,,
2013-01-17,,,,716,福利厚生費,2,食糧品：,101,現金,,,3797,食糧品：マルエツプチ,,,,,,,
2013-01-17,,,,316,預り金,1,・給与源泉所得税,101,現金,,,165889,７～月分・給与源泉所得税　納付,,,,,,,
2013-01-17,,,,827,資料代,,,101,現金,,,1982,ａｍａｚｏｎ　参考書籍代,,,,,,,
2013-01-17,,,,827,資料代,,,101,現金,,,8600,ａｍａｚｏｎ　参考書籍代,,,,,,,
2013-01-17,,,,196,店主勘定,,,101,現金,,,60000,特別区民税都民税,,,,,,,
2013-01-17,,,,722,消耗品費,,,101,現金,,,190,マルエツプチ　掃除用品代,,,,,,,
2013-01-18,,,,827,資料代,,,999,,,,1296,ファミリーマート　参考用雑誌代,,,,,,,
2013-01-18,,,,722,消耗品費,,,999,,,,960,ファミリーマート　電球代,,,,,,,
2013-01-18,,,,716,福利厚生費,2,食糧品：,999,,,,380,食糧品：ファミリーマート,,,,,,,
2013-01-18,,,,716,福利厚生費,999,他：,999,,,,284,他：ファミリーマート　事務所飲物代,,,,,,,
2013-01-18,,,,999,,,,101,現金,,,3064,他：ファミリーマート　事務所飲物代　他,,,,,,,
