日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2016-03-16,,,,725,水道光熱費,2,共通：,312,買掛金,3800,㈱トーエル,116930,共通： ㈱トーエル　3月分,,,,,,,
2016-04-16,,,,725,水道光熱費,2,共通：,312,買掛金,3800,㈱トーエル,119378,共通： ㈱トーエル　4月分,,,,,,,
2016-05-18,,,,725,水道光熱費,2,共通：,312,買掛金,3800,㈱トーエル,108125,共通： ㈱トーエル　5月分,,,,,,,
2016-03-25,,,,734,支払手数料,,,312,買掛金,600,㈲エムズ,40000,㈲エムズ　3月分,,,,,,,
2016-03-02,,,,101,レジ現金,,,511,店売上高,,,54500,レジシート本日売上,,,,,,,
2016-03-03,,,,101,レジ現金,,,511,店売上高,,,33950,レジシート本日売上,,,,,,,
2016-03-04,,,,101,レジ現金,,,511,店売上高,,,36500,レジシート本日売上,,,,,,,
2016-03-05,,,,101,レジ現金,,,511,店売上高,,,42150,レジシート本日売上,,,,,,,
2016-03-06,,,,101,レジ現金,,,511,店売上高,,,51150,レジシート本日売上,,,,,,,
2016-03-07,,,,101,レジ現金,,,511,店売上高,,,32500,レジシート本日売上,,,,,,,
2016-03-09,,,,101,レジ現金,,,511,店売上高,,,30700,レジシート本日売上,,,,,,,
2016-03-10,,,,101,レジ現金,,,511,店売上高,,,57250,レジシート本日売上,,,,,,,
2016-03-11,,,,101,レジ現金,,,511,店売上高,,,34650,レジシート本日売上,,,,,,,
2016-03-12,,,,101,レジ現金,,,511,店売上高,,,60100,レジシート本日売上,,,,,,,
2016-03-13,,,,101,レジ現金,,,511,店売上高,,,46900,レジシート本日売上,,,,,,,
2016-03-14,,,,101,レジ現金,,,511,店売上高,,,50900,レジシート本日売上,,,,,,,
2016-03-16,,,,101,レジ現金,,,511,店売上高,,,56450,レジシート本日売上,,,,,,,
2016-03-17,,,,101,レジ現金,,,511,店売上高,,,26500,レジシート本日売上,,,,,,,
