日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-04-01,,,,754,会議費,,,100,現金,,,7351,わたみん家　飲食代３名,,,,,,,
2013-04-01,,,,756,通信費,,,115,普通預金,2,三菱東京ＵＦＪ銀行,13198,ドコモ携帯代　３月分,,,,,,,
2013-04-01,,,,763,水道光熱費,,,115,普通預金,2,三菱東京ＵＦＪ銀行,12817,下水道代,,,,,,,
2013-04-01,,,,763,水道光熱費,,,100,現金,,,-6408,下水道代　１／２損金否認,,,,,,,
2013-04-01,,,,420,未払金,1,柳澤葉子,115,普通預金,2,三菱東京ＵＦＪ銀行,333960,柳澤葉子　年末調整還付金,,,,,,,
2013-04-01,,,,420,未払金,2,三澤利子,115,普通預金,2,三菱東京ＵＦＪ銀行,62100,三澤利子　年末調整還付金,,,,,,,
2013-04-01,,,,420,未払金,99,その他,410,短期借入金,1,柳澤葉子,4805,柳澤葉子,,,,,,,
2013-04-02,,,,754,会議費,,,100,現金,,,1112,ファミリーマート　打合せ,,,,,,,
2013-04-02,,,,754,会議費,,,100,現金,,,6760,すし三崎丸　飲食代３名,,,,,,,
2013-04-03,,,,754,会議費,,,100,現金,,,4565,登龍　飲食代４名,,,,,,,
2013-04-04,,,,761,事務用品費,,,100,現金,,,826,萬力屋　文具,,,,,,,
2013-04-04,,,,761,事務用品費,,,100,現金,,,1650,萬力屋　文具,,,,,,,
2013-04-04,,,,754,会議費,,,100,現金,,,7575,炙り屋小鉄　飲食代４名,,,,,,,
2013-04-04,,,,760,消耗品費,,,410,短期借入金,1,柳澤葉子,1091,Ａｍａｚｏｎ　プラ板セット,,,,,,,
2013-04-05,,,,761,事務用品費,,,100,現金,,,549,ホームセンターコスモ　文具,,,,,,,
2013-04-05,,,,746,福利厚生費,,,100,現金,,,2269,くすりの福太郎　薬代,,,,,,,
2013-04-05,,,,754,会議費,,,100,現金,,,1435,成城石井　打合せ,,,,,,,
2013-04-05,,,,754,会議費,,,100,現金,,,27926,世界の山ちゃん　飲食代７名,,,,,,,
2013-04-05,,,,751,荷造運賃,,,100,現金,,,3015,ヤマト運輸㈱　宅急便代,,,,,,,
2013-04-06,,,,754,会議費,,,100,現金,,,5602,大菊　飲食代４名,,,,,,,
2013-04-06,,,,410,短期借入金,1,柳澤葉子,100,現金,,,226928,柳澤葉子,,,,,,,
2013-04-06,,,,751,荷造運賃,,,100,現金,,,1269,ヤマト運輸㈱　宅急便代,,,,,,,
2013-04-07,,,,761,事務用品費,,,100,現金,,,3015,M'sPLUS　文具,,,,,,,
2013-04-07,,,,754,会議費,,,100,現金,,,12649,マーケットレストランＡＧＩＯ　飲食代５名,,,,,,,
2013-04-08,,,,754,会議費,,,100,現金,,,4858,わたみん家　飲食代４名,,,,,,,
2013-04-08,,,,754,会議費,,,100,現金,,,686,EXCELSIORCAFFE　打合せ,,,,,,,
2013-04-09,,,,754,会議費,,,100,現金,,,7050,すし銀　飲食代４名,,,,,,,
2013-04-09,,,,427,預り金,1,源泉税,115,普通預金,2,三菱東京ＵＦＪ銀行,338964,源泉所得税,,,,,,,
2013-04-10,,,,754,会議費,,,100,現金,,,834,フロリダ　打合せ,,,,,,,
2013-04-10,,,,0,,,,115,普通預金,2,三菱東京ＵＦＪ銀行,29362,ＤＣ,,,,,,,
2013-04-10,,,,756,通信費,,,0,,,,3779,ワイマックス　４月分,,,,,,,
2013-04-10,,,,0,,,,0,,,,3779,ワイマックス　４月分,,,,,,,
2013-04-10,,,,756,通信費,,,0,,,,3779,ワイマックス　４月分,,,,,,,
2013-04-10,,,,0,,,,0,,,,3779,ワイマックス　４月分,,,,,,,
2013-04-10,,,,755,旅費交通費,,,0,,,,19630,ＥＴＣ　ＤＣ,,,,,,,
2013-04-10,,,,0,,,,0,,,,19630,ＥＴＣ　ＤＣ,,,,,,,
2013-04-11,,,,754,会議費,,,100,現金,,,8009,鮨乃家　飲食代４名,,,,,,,
2013-04-12,,,,754,会議費,,,100,現金,,,1380,VELOCE　打合せ,,,,,,,
2013-04-12,,,,754,会議費,,,100,現金,,,18713,四川飯店　飲食代７名,,,,,,,
2013-04-14,,,,754,会議費,,,100,現金,,,3473,寿々女庵　食事代４名,,,,,,,
2013-04-15,,,,754,会議費,,,100,現金,,,6735,わたみん家　飲食代４名,,,,,,,
2013-04-15,,,,100,現金,,,115,普通預金,2,三菱東京ＵＦＪ銀行,300000,現金引き出し,,,,,,,
2013-04-16,,,,754,会議費,,,100,現金,,,8520,なか村　飲食代４名,,,,,,,
2013-04-16,,,,751,荷造運賃,,,100,現金,,,1371,ヤマト運輸㈱　宅急便代,,,,,,,
2013-04-18,,,,754,会議費,,,100,現金,,,732,EXCELSIORCAFFE　打合せ,,,,,,,
2013-04-18,,,,410,短期借入金,1,柳澤葉子,100,現金,,,40805,楽天カード　支払い,,,,,,,
2013-04-18,,,,754,会議費,,,100,現金,,,7195,すし銀　飲食代３名,,,,,,,
2013-04-18,,,,766,支払手数料,,,115,普通預金,2,三菱東京ＵＦＪ銀行,3306,ＢＺ手数料,,,,,,,
2013-04-18,,,,766,支払手数料,,,115,普通預金,2,三菱東京ＵＦＪ銀行,4278,振込手数料,,,,,,,
2013-04-18,,,,765,諸会費,,,115,普通預金,2,三菱東京ＵＦＪ銀行,4000,ＪＡＦ年会費,,,,,,,
2013-04-19,,,,754,会議費,,,100,現金,,,760,ファミリーマート　打合せ,,,,,,,
2013-04-19,,,,761,事務用品費,,,100,現金,,,292,三立商会　プリント代,,,,,,,
2013-04-19,,,,100,現金,,,115,普通預金,2,三菱東京ＵＦＪ銀行,100000,現金引き出し,,,,,,,
2013-04-21,,,,751,荷造運賃,,,100,現金,,,1371,ヤマト運輸㈱　宅急便代,,,,,,,
2013-04-22,,,,756,通信費,,,115,普通預金,2,三菱東京ＵＦＪ銀行,3851,電話代,,,,,,,
2013-04-22,,,,763,水道光熱費,,,115,普通預金,2,三菱東京ＵＦＪ銀行,16182,電気代,,,,,,,
2013-04-22,,,,763,水道光熱費,,,100,現金,,,-8090,電気代　１／２損金否認,,,,,,,
2013-04-23,,,,754,会議費,,,100,現金,,,5727,すし銀　飲食代４名,,,,,,,
2013-04-23,,,,410,短期借入金,2,三澤利子,115,普通預金,2,三菱東京ＵＦＪ銀行,150317,三澤利子,,,,,,,
2013-04-24,,,,754,会議費,,,100,現金,,,1065,旭川らーめん男旭山　打合せ,,,,,,,
2013-04-24,,,,754,会議費,,,100,現金,,,1806,旭川らーめん男旭山　打合せ,,,,,,,
2013-04-24,,,,754,会議費,,,100,現金,,,13454,カミナリ屋　飲食代５名,,,,,,,
2013-04-24,,,,773,賃借料,,,115,普通預金,2,三菱東京ＵＦＪ銀行,16334,ファーストサーバ㈱　レンタルサーバー代,,,,,,,
2013-04-25,,,,0,,,,115,普通預金,2,三菱東京ＵＦＪ銀行,519300,柳澤葉子,,,,,,,
2013-04-25,,,,740,役員報酬,,,0,,,,600000,柳澤葉子,,,,,,,
2013-04-25,,,,0,,,,427,預り金,1,源泉税,47100,柳澤葉子・源泉所得税,,,,,,,
2013-04-25,,,,0,,,,427,預り金,2,住民税,33600,柳澤葉子・住民税,,,,,,,
2013-04-25,,,,0,,,,115,普通預金,2,三菱東京ＵＦＪ銀行,241170,三澤利子,,,,,,,
2013-04-25,,,,740,役員報酬,,,0,,,,250000,三澤利子,,,,,,,
2013-04-25,,,,0,,,,427,預り金,1,源泉税,6530,三澤利子・源泉所得税,,,,,,,
2013-04-25,,,,0,,,,427,預り金,2,住民税,2300,三澤利子・住民税,,,,,,,
2013-04-25,,,,0,,,,115,普通預金,2,三菱東京ＵＦＪ銀行,34900,柳澤将貴,,,,,,,
2013-04-25,,,,740,役員報酬,,,0,,,,40000,柳澤将貴,,,,,,,
2013-04-25,,,,0,,,,427,預り金,2,住民税,5100,柳澤将貴・住民税,,,,,,,
2013-04-25,,,,0,,,,115,普通預金,2,三菱東京ＵＦＪ銀行,538740,市村弘,,,,,,,
2013-04-25,,,,405,買掛金,,,0,,,,600000,市村弘,,,,,,,
2013-04-25,,,,0,,,,427,預り金,1,源泉税,61260,市村弘・源泉所得税,,,,,,,
2013-04-25,,,,0,,,,115,普通預金,2,三菱東京ＵＦＪ銀行,890717,佐藤桂司,,,,,,,
2013-04-25,,,,405,買掛金,,,0,,,,992000,佐藤桂司,,,,,,,
2013-04-25,,,,0,,,,427,預り金,1,源泉税,101283,佐藤桂司・源泉所得税,,,,,,,
2013-04-25,,,,0,,,,115,普通預金,2,三菱東京ＵＦＪ銀行,1034459,半澤文浩,,,,,,,
2013-04-25,,,,405,買掛金,,,0,,,,1171600,半澤文浩,,,,,,,
2013-04-25,,,,0,,,,427,預り金,1,源泉税,137141,半澤文浩・源泉所得税,,,,,,,
2013-04-26,,,,427,預り金,2,住民税,100,現金,,,41000,住民税　４月分,,,,,,,
2013-04-26,,,,753,交際費,,,100,現金,,,3774,成城石井　贈答品,,,,,,,
2013-04-26,,,,756,通信費,,,115,普通預金,2,三菱東京ＵＦＪ銀行,12115,ＪＣＮ市川　ケーブル使用料,,,,,,,
2013-04-27,,,,754,会議費,,,100,現金,,,3213,長寿庵　食事代３名,,,,,,,
2013-04-28,,,,754,会議費,,,100,現金,,,5602,長寿庵　飲食代３名,,,,,,,
2013-04-28,,,,753,交際費,,,100,現金,,,5834,㈱まるい　贈答品,,,,,,,
2013-04-29,,,,754,会議費,,,100,現金,,,12980,すし銀　飲食代５名,,,,,,,
2013-04-29,,,,0,,,,115,普通預金,2,三菱東京ＵＦＪ銀行,28437,安田会計事務所,,,,,,,
2013-04-29,,,,771,支払報酬料,,,0,,,,29167,安田会計事務所,,,,,,,
2013-04-29,,,,0,,,,0,,,,29167,安田会計事務所,,,,,,,
2013-04-29,,,,0,,,,427,預り金,1,源泉税,3063,安田会計事務所・源泉所得税,,,,,,,
2013-04-30,,,,751,荷造運賃,,,100,現金,,,982,ヤマト運輸㈱　宅急便代,,,,,,,
2013-04-30,,,,760,消耗品費,,,100,現金,,,704,浦安魚市場　ハッポウスチロール箱,,,,,,,
2013-04-30,,,,760,消耗品費,,,100,現金,,,3077,cieerbridge　ソフト代,,,,,,,
2013-04-30,,,,772,地代家賃,,,100,現金,,,14815,５月分駐車場代１７号,,,,,,,
2013-04-30,,,,772,地代家賃,,,100,現金,,,14815,５月分駐車場代１８号,,,,,,,
