日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-06-30,,,,166,売掛金,100,その他,511,売上高,,,50760,㈱１００ｐｅｒｃｅｎｔ　マグカップ,,,,,,,
2015-06-30,,,,166,売掛金,32,Ｅ－ｔｏ江藤智津子,511,売上高,,,15552,Ｅ－ｔｏ江藤智津子　ｍｕｌｅｔ,,,,,,,
2015-06-30,,,,166,売掛金,100,その他,511,売上高,,,24624,ＦＵＴＡＲＩＹＡ辻晃一　ｖａｇ,,,,,,,
2015-06-30,,,,166,売掛金,15,ｉｉｃｈｉ㈱,511,売上高,,,177739,ｉｉｃｈｉ㈱　ｗｅｂ販売、催事売上,,,,,,,
2015-06-30,,,,166,売掛金,10,㈱アバハウス,511,売上高,,,466560,㈱アバハウス　ｍｕｌｅｔ,,,,,,,
2015-06-30,,,,166,売掛金,3,㈱アレゴリー,511,売上高,,,17496,㈱アレゴリー　ｂｌｕｒ,,,,,,,
2015-06-30,,,,166,売掛金,11,㈱エンファクトリー,511,売上高,,,93636,㈱エンファクトリー　ｗｅｂ販売、店舗売上,,,,,,,
2015-06-30,,,,166,売掛金,26,㈱クリーマ,511,売上高,,,57990,㈱クリーマ　ｗｅｂ販売,,,,,,,
2015-06-20,,,,166,売掛金,100,その他,511,売上高,,,53460,㈱フィル・エ・クチーレ　ｍｕｌｅｔ,,,,,,,
2015-06-30,,,,166,売掛金,100,その他,511,売上高,,,33696,㈱ブルック　ｂｌｕｒ,,,,,,,
2015-06-30,,,,166,売掛金,9,㈱マグスタイル,511,売上高,,,118692,㈱マグスタイル　ｖａｇ,,,,,,,
2015-06-20,,,,166,売掛金,8,㈱ミィーミィーズ,511,売上高,,,226017,㈱ミィーミィーズ　ｖａｇ,,,,,,,
2015-06-30,,,,166,売掛金,5,㈱ミサワ,511,売上高,,,1180089,㈱ミサワ　ｂｌｕｒ,,,,,,,
2015-06-25,,,,166,売掛金,1,㈱ミヤマプランニング,511,売上高,,,248948,6月分㈱ミヤマプランニング　,,,,,,,
2015-06-30,,,,166,売掛金,25,㈲クロニカルワークスｍｏｄｅｒｎａｒｋ,511,売上高,,,34928,㈲クロニカルワークスｍｏｄｅｒｎａｒｋ　ｖａｇ,,,,,,,
2015-06-20,,,,166,売掛金,18,リンベル㈱,511,売上高,,,238499,リンベル㈱　ｖａｇ,,,,,,,
2015-06-20,,,,166,売掛金,7,㈱三越伊勢丹,511,売上高,,,30131,㈱三越伊勢丹　催事売上,,,,,,,
2015-06-30,,,,166,売掛金,27,㈱集英社,511,売上高,,,29160,㈱集英社　ｗｅｂ販売,,,,,,,
2015-06-30,,,,166,売掛金,21,土肥商店,511,売上高,,,41020,土肥商店　ｖａｇ,,,,,,,
2015-06-30,,,,166,売掛金,100,その他,511,売上高,,,195502,武蔵野画廊　催事売上,,,,,,,
2015-06-30,,,,166,売掛金,30,㈱脇木工,511,売上高,,,19872,㈱脇木工　ｍｕｌｅｔ,,,,,,,
2015-06-02,,,,550,仕入高,,,312,買掛金,10,吉川製型所,432050,吉川製型所,,,,,,,
2015-06-30,,,,550,仕入高,,,312,買掛金,10,吉川製型所,143450,吉川製型所,,,,,,,
2015-06-30,,,,550,仕入高,,,312,買掛金,100,その他,88800,渡邊喜代利　生地代,,,,,,,
2015-06-23,,,,550,仕入高,,,312,買掛金,96,岩城宏行,20400,岩城宏行,,,,,,,
2015-06-30,,,,550,仕入高,,,312,買掛金,96,岩城宏行,89323,岩城宏行　ファイアンス型,,,,,,,
2015-06-20,,,,550,仕入高,,,312,買掛金,100,その他,18400,㈱高根シルク　レクサスマーク108個付き,,,,,,,
2015-06-30,,,,550,仕入高,,,312,買掛金,3,九左コンフィデンシャ,768049,九左コンフィデンシャル,,,,,,,
2015-06-30,,,,550,仕入高,,,312,買掛金,4,岩田紙器㈱,84000,岩田紙器㈱　家の置物の箱ハス,,,,,,,
2015-06-30,,,,550,仕入高,,,312,買掛金,8,㈲堀製型所,45170,㈲堀製型所　ｍｕｌｅｔ,,,,,,,
2015-06-30,,,,550,仕入高,,,312,買掛金,2,㈱深山,638488,㈱深山,,,,,,,
2015-06-30,,,,550,仕入高,,,312,買掛金,1,㈲正村製陶所,698788,㈲正村製陶所,,,,,,,
2015-06-01,,,,999,,,,166,売掛金,8,㈱ミィーミィーズ,278424,㈱ミィーミィーズ,,,,,,,
2015-06-01,,,,121,三菱東京ＵＦＪ,,,999,,,,277776,㈱ミィーミィーズ,,,,,,,
2015-06-01,,,,734,支払手数料,,,999,,,,600,振込手数料　㈱ミィーミィーズ,,,,,,,
2015-06-01,,,,999,,,,166,売掛金,10,㈱アバハウス,988783,㈱アバハウス,,,,,,,
2015-06-01,,,,734,支払手数料,,,999,,,,700,振込手数料　㈱アバハウス,,,,,,,
2015-06-01,,,,121,三菱東京ＵＦＪ,,,999,,,,988027,㈱アバハウス,,,,,,,
2015-06-01,,,,121,三菱東京ＵＦＪ,,,166,売掛金,3,㈱アレゴリー,19829,㈱アレゴリー,,,,,,,
2015-06-01,,,,999,,,,166,売掛金,100,その他,68040,㈲デイリーズ,,,,,,,
2015-06-01,,,,121,三菱東京ＵＦＪ,,,999,,,,67608,㈲デイリーズ,,,,,,,
2015-06-01,,,,734,支払手数料,,,999,,,,400,振込手数料　㈲デイリーズ,,,,,,,
2015-06-01,,,,999,,,,166,売掛金,100,その他,3888,㈱陶翔舞千,,,,,,,
2015-06-01,,,,121,三菱東京ＵＦＪ,,,999,,,,3564,㈱陶翔舞千,,,,,,,
2015-06-01,,,,734,支払手数料,,,999,,,,300,振込手数料　㈱陶翔舞千,,,,,,,
2015-06-01,,,,121,三菱東京ＵＦＪ,,,166,売掛金,100,その他,48600,㈲カラーズ,,,,,,,
2015-06-10,,,,121,三菱東京ＵＦＪ,,,166,売掛金,100,その他,603808,㈱ルミネ,,,,,,,
2015-06-25,,,,121,三菱東京ＵＦＪ,,,166,売掛金,100,その他,97545,㈱ルミネ,,,,,,,
2015-06-10,,,,999,,,,166,売掛金,9,㈱マグスタイル,66582,㈱マグスタイル,,,,,,,
