日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-07-15,,,,121,みずほ普通預金,,,411,資本金,,,1000000,資本金　個人口座から振替,,,,,,,
2015-07-31,,,,166,売掛金,2000,㈱サイクロンクリエイティブ,511,売上高,2,単発/映像,162000,㈱サイクロンクリエイティブ　№150731-020,,,,,,,
2015-07-31,,,,166,売掛金,3600,デジタルハリウッド㈱,511,売上高,2,単発/映像,183600,デジタルハリウッド㈱　№150731-039,,,,,,,
2015-07-31,,,,166,売掛金,4000,㈱ナディア,511,売上高,2,単発/映像,213300,㈱ナディア　№150731-043,,,,,,,
2015-07-31,,,,166,売掛金,4000,㈱ナディア,511,売上高,2,単発/映像,81000,㈱ナディア　№150731-047,,,,,,,
2015-07-31,,,,166,売掛金,5400,㈱フラックス,511,売上高,3,単発/映像以外,41040,㈱フラックス　№150731-048,,,,,,,
2015-07-31,,,,166,売掛金,4000,㈱ナディア,514,その他売上高,,,29700,㈱ナディア　№150731-049,,,,,,,
2015-08-31,,,,166,売掛金,5400,㈱フラックス,511,売上高,3,単発/映像以外,151200,㈱フラックス　№150831-050,,,,,,,
2015-08-31,,,,166,売掛金,4000,㈱ナディア,511,売上高,1,レギュラー,108000,㈱ナディア　№150831-052,,,,,,,
2015-08-31,,,,166,売掛金,600,㈱ＭＬＩ,511,売上高,1,レギュラー,108000,㈱ＭＬＩ　№150831-053,,,,,,,
2015-07-27,,,,121,みずほ普通預金,,,511,売上高,2,単発/映像,200000,イノウエヒデトシ,,,,,,,
2015-07-31,,,,121,みずほ普通預金,,,731,賃借料,2,スタジオ,2000,㈲カプリ　新宿スタジオ使用料　駐車場補助金,,,,,,,
2015-08-03,,,,121,みずほ普通預金,,,512,商品売上高,,,60480,㈱ダーザイン　ウクレレ販売,,,,,,,
2015-08-05,,,,121,みずほ普通預金,,,511,売上高,2,単発/映像,200000,イノウエヒデトシ,,,,,,,
2015-08-14,,,,121,みずほ普通預金,,,166,売掛金,3600,デジタルハリウッド㈱,183600,デジタルハリウッド㈱,,,,,,,
2015-08-17,,1,,121,みずほ普通預金,,,999,,,,17,預金利子,,,,,,,
2015-08-17,,1,,999,,,,811,受取利息,,,21,預金利子,,,,,,,
2015-08-17,,1,,726,租税公課,1,利子税(国),999,,,,3,預金利子税(国）預金利子 預金利子税(国),,,,,,,
2015-08-17,,1,,726,租税公課,2,利子税(地方),999,,,,1,利子税(地方）預金利子 ,,,,,,,
2015-08-18,,,,121,みずほ普通預金,,,513,イベント売上高,,,5000,シバタマリカ,,,,,,,
2015-08-18,,,,121,みずほ普通預金,,,513,イベント売上高,,,5000,クボタミホ,,,,,,,
2015-08-18,,,,121,みずほ普通預金,,,513,イベント売上高,,,5000,ソウママイ,,,,,,,
2015-08-18,,,,121,みずほ普通預金,,,512,商品売上高,,,60480,㈱ダーザイン　ウクレレ販売,,,,,,,
2015-08-18,,,,121,みずほ普通預金,,,513,イベント売上高,,,5000,アマドメマサユキ,,,,,,,
2015-08-20,,,,121,みずほ普通預金,,,513,イベント売上高,,,5000,ノヨリマサヨ,,,,,,,
2015-08-20,,,,121,みずほ普通預金,,,513,イベント売上高,,,5000,コバヤシハルミ,,,,,,,
2015-08-20,,,,121,みずほ普通預金,,,513,イベント売上高,,,5000,イソザキタケシ,,,,,,,
2015-08-20,,,,121,みずほ普通預金,,,513,イベント売上高,,,5000,サクマタケシ,,,,,,,
