日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-07-01,,,,999,,,,166,売掛金,9999,その他,59676,楽天㈱マグカップＲ－ＣａｒｄＰｌｕｓ,,,,,,,
2013-07-01,,,,123,楽天銀行,,,999,,,,57683,楽天㈱マグカップＲ－ＣａｒｄＰｌｕｓ,,,,,,,
2013-07-01,,,,734,支払手数料,,,999,,,,1993,楽天㈱マグカップＲ－ＣａｒｄＰｌｕｓ,,,,,,,
2013-07-25,,,,999,,,,166,売掛金,9999,その他,29024,楽天㈱マグカップＲ－ＣａｒｄＰｌｕｓ,,,,,,,
2013-07-25,,,,123,楽天銀行,,,999,,,,28213,楽天㈱マグカップＲ－ＣａｒｄＰｌｕｓ,,,,,,,
2013-07-25,,,,734,支払手数料,,,999,,,,811,楽天㈱マグカップＲ－ＣａｒｄＰｌｕｓ,,,,,,,
2013-08-12,,,,999,,,,166,売掛金,9999,その他,9937,楽天㈱マグカップＲ－ＣａｒｄＰｌｕｓ,,,,,,,
2013-08-12,,,,999,,,,512,ＰＯＴＥＮ売上,,,16080,７月分楽天㈱マグカップＲ－ＣａｒｄＰｌ,,,,,,,
2013-08-12,,,,123,楽天銀行,,,999,,,,25193,７月分楽天㈱マグカップＲ－ＣａｒｄＰｌ,,,,,,,
2013-08-12,,,,734,支払手数料,,,999,,,,824,７月分楽天㈱マグカップＲ－ＣａｒｄＰｌ,,,,,,,
2013-07-12,,,,123,楽天銀行,,,512,ＰＯＴＥＮ売上,,,9021,楽天㈱ポイント,,,,,,,
2013-07-24,,,,123,楽天銀行,,,512,ＰＯＴＥＮ売上,,,6400,マエカワユウキ,,,,,,,
2013-07-25,,,,314,未払金,9999,その他,123,楽天銀行,,,16354,楽天㈱システム利用料,,,,,,,
2013-08-07,,,,123,楽天銀行,,,512,ＰＯＴＥＮ売上,,,1900,ニシオナオヒト,,,,,,,
