日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-12-31,,,,166,売掛金,2403,ＧＭＯ ＮＩＫＫＯ㈱,511,売上高,,,139558,ＧＭＯ ＮＩＫＫＯ㈱　12月分,,,,,,,
2013-12-31,,,,166,売掛金,801,㈱エデュース,511,売上高,,,2690100,㈱エデュース　12月分,,,,,,,
2013-12-31,,,,166,売掛金,1403,㈱教育企画センター,511,売上高,,,2269982,㈱教育企画センター　12月分,,,,,,,
2013-12-31,,,,166,売掛金,2001,㈱国際教育センター,511,売上高,,,157500,㈱国際教育センター　12月分,,,,,,,
2013-12-02,,,,741,地代家賃,2,機構駐車場,121,普通　三菱東京,,,45900,機構駐車場　12月分,,,,,,,
2013-12-02,,,,635,法定福利費,,,121,普通　三菱東京,,,633374,社会保険料,,,,,,,
2013-12-05,,,,727,接待交際費,,,121,普通　三菱東京,,,18953,ワールド商事㈱　㈱ﾋｭｰﾏﾝﾛｼﾞｯｸ研究所　贈答用花代,,,,,,,
2013-12-05,,,,734,支払手数料,,,121,普通　三菱東京,,,250,ワールド商事㈱　振込手数料,,,,,,,
2013-12-05,,,,718,広告宣伝費,,,121,普通　三菱東京,,,1225000,㈱マスメディアン　人材紹介料,,,,,,,
2013-12-05,,,,734,支払手数料,,,121,普通　三菱東京,,,200,㈱マスメディアン　振込手数料,,,,,,,
2013-12-05,,,,101,現金,,,121,普通　三菱東京,,,500000,現金引き出し,,,,,,,
2013-12-10,,,,314,未払金,5302,ダイナースクラブ,121,普通　三菱東京,,,76763,ダイナースクラブ　経費精算,,,,,,,
2013-12-06,,1,,722,旅費交通費,,,121,普通　三菱東京,,,35372,㈱セディナ　社長・井手出張旅費,,,,,,,
2013-12-10,,2,,316,預り金,1,給与源泉所得税,999,,,,118210,給与源泉所得税　11月分,,,,,,,
2013-12-10,,2,,316,預り金,2,報酬源泉所得税,999,,,,32467,報酬源泉所得税　11月分,,,,,,,
2013-12-10,,2,,999,,,,121,普通　三菱東京,,,150677,源泉所得税　納付　11月分,,,,,,,
2013-12-10,,,,121,普通　三菱東京,,,166,売掛金,1401,㈱ギブリー,113925,㈱ギブリー,,,,,,,
2013-12-10,,,,121,普通　三菱東京,,,166,売掛金,2001,㈱国際教育センター,157500,㈱国際教育センター,,,,,,,
2013-12-10,,,,121,普通　三菱東京,,,166,売掛金,1403,㈱教育企画センター,1973055,㈱教育企画センター,,,,,,,
2013-12-13,,,,312,買掛金,110,㈱ギブリー,121,普通　三菱東京,,,280697,㈱ギブリー,,,,,,,
2013-12-13,,,,734,支払手数料,,,121,普通　三菱東京,,,400,㈱ギブリー　振込手数料,,,,,,,
2013-12-13,,3,,312,買掛金,5010,個人）井澤悟,999,,,,294000,個人）井澤悟,,,,,,,
2013-12-13,,3,,999,,,,316,預り金,2,報酬源泉所得税,28588,井澤悟　報酬源泉所得税,,,,,,,
2013-12-13,,3,,999,,,,121,普通　三菱東京,,,265412,井澤悟,,,,,,,
2013-12-13,,4,,314,未払金,1,栗田哲朗,999,,,,900000,栗田哲朗,,,,,,,
2013-12-13,,4,,999,,,,716,法定福利費,,,96940,栗田哲朗　社会保険料,,,,,,,
2013-12-13,,4,,999,,,,316,預り金,1,給与源泉所得税,85000,栗田哲朗,,,,,,,
2013-12-13,,4,,999,,,,316,預り金,3,住民税,55500,栗田哲朗,,,,,,,
2013-12-13,,4,,999,,,,121,普通　三菱東京,,,662560,栗田哲朗,,,,,,,
2013-12-13,,5,,314,未払金,101,井手静華,999,,,,430000,井手静華,,,,,,,
2013-12-13,,5,,999,,,,635,法定福利費,,,61748,井手静華　社会保険料,,,,,,,
2013-12-13,,5,,999,,,,316,預り金,1,給与源泉所得税,14060,井手静華,,,,,,,
2013-12-13,,5,,999,,,,316,預り金,3,住民税,21100,井手静華,,,,,,,
2013-12-13,,5,,999,,,,121,普通　三菱東京,,,333092,井手静華,,,,,,,
2013-12-13,,6,,314,未払金,103,林尚希,999,,,,250000,林尚希,,,,,,,
2013-12-13,,6,,999,,,,635,法定福利費,,,36467,林尚希　社会保険料,,,,,,,
2013-12-13,,6,,999,,,,316,預り金,1,給与源泉所得税,5270,林尚希,,,,,,,
2013-12-13,,6,,999,,,,316,預り金,3,住民税,1600,林尚希,,,,,,,
2013-12-13,,6,,999,,,,121,普通　三菱東京,,,206663,林尚希,,,,,,,
2013-12-13,,6,,734,支払手数料,,,999,,,,400,林尚希　振込手数料,,,,,,,
2013-12-13,,6,,999,,,,121,普通　三菱東京,,,420,林尚希　振込手数料,,,,,,,
2013-12-13,,7,,314,未払金,104,坂本志穂,999,,,,240000,坂本志穂,,,,,,,
2013-12-13,,7,,999,,,,635,法定福利費,,,33708,坂本志穂　社会保険料,,,,,,,
2013-12-13,,7,,999,,,,316,預り金,1,給与源泉所得税,4980,坂本志穂,,,,,,,
2013-12-13,,7,,999,,,,121,普通　三菱東京,,,201312,坂本志穂,,,,,,,
2013-12-13,,7,,734,支払手数料,,,999,,,,200,坂本志穂　振込手数料,,,,,,,
2013-12-13,,7,,999,,,,121,普通　三菱東京,,,210,坂本志穂　振込手数料,,,,,,,
2013-12-13,,8,,314,未払金,105,村越弘昌,999,,,,190000,村越弘昌,,,,,,,
2013-12-13,,8,,999,,,,635,法定福利費,,,28040,村越弘昌　社会保険料,,,,,,,
2013-12-13,,8,,999,,,,316,預り金,1,給与源泉所得税,3410,村越弘昌　,,,,,,,
2013-12-13,,8,,999,,,,316,預り金,3,住民税,0,村越弘昌　,,,,,,,
2013-12-13,,8,,999,,,,121,普通　三菱東京,,,158550,村越弘昌　,,,,,,,
2013-12-13,,8,,734,支払手数料,,,999,,,,200,村越弘昌　　振込手数料,,,,,,,
2013-12-13,,8,,999,,,,121,普通　三菱東京,,,210,村越弘昌　　振込手数料,,,,,,,
2013-12-13,,9,,314,未払金,106,高石裕己,999,,,,250000,高石裕己,,,,,,,
2013-12-13,,9,,999,,,,635,法定福利費,,,36467,高石裕己　社会保険料,,,,,,,
2013-12-13,,9,,999,,,,316,預り金,1,給与源泉所得税,5270,高石裕己,,,,,,,
2013-12-13,,9,,999,,,,316,預り金,3,住民税,12500,高石裕己,,,,,,,
2013-12-13,,9,,999,,,,121,普通　三菱東京,,,195763,高石裕己,,,,,,,
2013-12-13,,9,,734,支払手数料,,,999,,,,200,高石裕己　振込手数料,,,,,,,
2013-12-13,,9,,999,,,,121,普通　三菱東京,,,210,高石裕己　振込手数料,,,,,,,
2013-12-13,,10,,314,未払金,9999,その他,121,普通　三菱東京,,,998760,㈱ウィンディーネットワーク,,,,,,,
2013-12-13,,10,,734,支払手数料,,,121,普通　三菱東京,,,400,㈱ウィンディーネットワーク　振込手数料,,,,,,,
2013-12-27,,11,,728,消耗品費,,,121,普通　三菱東京,,,6190,アスクル　備品購入代,,,,,,,
2013-12-27,,,,121,普通　三菱東京,,,166,売掛金,801,㈱エデュース,487725,㈱エデュース,,,,,,,
2013-12-27,,,,121,普通　三菱東京,,,166,売掛金,2403,ＧＭＯ ＮＩＫＫＯ㈱,123505,ＧＭＯ ＮＩＫＫＯ㈱,,,,,,,
2013-12-27,,12,,312,買掛金,5700,個人）山田麻里子,999,,,,72470,個人）山田麻里子,,,,,,,
2013-12-27,,12,,999,,,,316,預り金,2,報酬源泉所得税,7848,個人）山田麻里子,,,,,,,
2013-12-27,,12,,999,,,,121,普通　三菱東京,,,64621,個人）山田麻里子,,,,,,,
2013-12-27,,12,,734,支払手数料,,,999,,,,400,個人）山田麻里子　振込手数料,,,,,,,
2013-12-27,,12,,999,,,,121,普通　三菱東京,,,420,個人）山田麻里子　振込手数料,,,,,,,
2013-12-27,,12,,999,,,,641,労務外注費,,,1,個人）山田麻里子　消費税差額,,,,,,,
2013-12-27,,13,,741,地代家賃,3,芳栄産業駐車場,121,普通　三菱東京,,,40000,芳栄産業駐車場　１月分,,,,,,,
2013-12-27,,13,,734,支払手数料,,,121,普通　三菱東京,,,400,芳栄産業駐車場　振込手数料,,,,,,,
2013-12-27,,14,,741,地代家賃,1,事務所家賃,121,普通　三菱東京,,,476528,事務所家賃　1月分,,,,,,,
2013-12-27,,14,,734,支払手数料,,,121,普通　三菱東京,,,400,テイクオフィス㈱　振込手数料,,,,,,,
2013-12-27,,15,,312,買掛金,5200,個人）櫻木裕人,999,,,,87044,個人）櫻木裕人,,,,,,,
2013-12-27,,15,,999,,,,316,預り金,2,報酬源泉所得税,9086,個人）櫻木裕人,,,,,,,
2013-12-27,,15,,999,,,,121,普通　三菱東京,,,84364,個人）櫻木裕人,,,,,,,
2013-12-27,,15,,734,支払手数料,,,999,,,,400,個人）櫻木裕人　振込手数料,,,,,,,
2013-12-27,,15,,999,,,,121,普通　三菱東京,,,420,個人）櫻木裕人　振込手数料,,,,,,,
2013-12-27,,16,,636,福利厚生費,,,999,,,,20600,医）東京勤労者医療会　従業員健康診断,,,,,,,
2013-12-27,,16,,717,福利厚生費,,,999,,,,16041,医）東京勤労者医療会　役員健康診断,,,,,,,
2013-12-27,,16,,999,,,,121,普通　三菱東京,,,38473,医）東京勤労者医療会　健康診断,,,,,,,
2013-12-27,,16,,734,支払手数料,,,999,,,,200,医）東京勤労者医療会　振込手数料,,,,,,,
2013-12-27,,16,,999,,,,121,普通　三菱東京,,,210,医）東京勤労者医療会　振込手数料,,,,,,,
2013-12-30,,17,,739,顧問料,,,999,,,,28000,安田会計事務所　12月分,,,,,,,
2013-12-30,,17,,999,,,,316,預り金,2,報酬源泉所得税,2858,安田会計事務所　12月分,,,,,,,
2013-12-30,,17,,999,,,,121,普通　三菱東京,,,26542,安田会計事務所　12月分,,,,,,,
2013-12-13,,4,,734,支払手数料,,,999,,,,200,栗田哲朗　振込手数料,,,,,,,
2013-12-13,,4,,999,,,,121,普通　三菱東京,,,210,栗田哲朗　振込手数料,,,,,,,
2013-12-13,,5,,734,支払手数料,,,999,,,,200,井手静華　振込手数料,,,,,,,
2013-12-13,,5,,999,,,,121,普通　三菱東京,,,210,井手静華　振込手数料,,,,,,,
2013-12-13,,3,,734,支払手数料,,,999,,,,200,井澤悟　振込手数料,,,,,,,
2013-12-13,,3,,999,,,,121,普通　三菱東京,,,210,井澤悟　振込手数料,,,,,,,
2013-12-16,,19,,352,長期借入金,2,西武信金630万円口,999,,,,80000,西武信金630万円口,,,,,,,
2013-12-16,,19,,821,支払利息,2,西武信金630万円口,999,,,,5078,西武信金630万円口,,,,,,,
2013-12-16,,19,,999,,,,122,普通　西武信金,,,85078,西武信金630万円口　借入金返済,,,,,,,
2013-12-16,,19,,352,長期借入金,1,西武信金700万円口,999,,,,89000,西武信金700万円口,,,,,,,
2013-12-16,,19,,821,支払利息,1,西武信金700万円口,999,,,,4282,西武信金700万円口,,,,,,,
2013-12-16,,19,,999,,,,122,普通　西武信金,,,93282,西武信金700万円口　借入金返済,,,,,,,
2014-01-16,,20,,352,長期借入金,2,西武信金630万円口,999,,,,80000,西武信金630万円口,,,,,,,
