日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-01-01,0,,,165,受取手形,,,324,割引手形,1,みずほ小舟町・,75252007,期首振替,,,,,,,
2015-01-01,0,,,165,受取手形,,,324,割引手形,2,三井住友・,37453221,期首振替,,,,,,,
2015-01-01,0,,,165,受取手形,,,327,裏書手形,,,44511708,期首振替,,,,,,,
2015-01-05,0,,,722,交通費,2,移動費,101,現金小舟町,,,1540,日本交通　タクシー,11,,,,借,仕,
2015-01-05,0,,,722,交通費,2,移動費,101,現金小舟町,,,1450,㈱ハロートーキョー　タクシー,11,,,,借,仕,
2015-01-05,0,,,186,仮払金,,,101,現金小舟町,,,50000,錦糸センター　①,,,,,,,
2015-01-05,0,,,717,福利厚生費,4,その他,101,現金小舟町,,,3132,日田天領水,11,,,,借,仕,
2015-01-05,0,,,101,現金小舟町,,,166,売掛金,400,梅林製作所,102313,梅林製作所　小切手,,,,,,,
2015-01-05,0,,,722,交通費,2,移動費,101,現金小舟町,,,2090,タクシー２件社長,11,,,,借,仕,
2015-01-05,0,,,727,交際接待費,,,101,現金小舟町,,,27913,グレンオークスカントリー　プレー代　イシグロ,11,,,,借,仕,
2015-01-05,0,,,727,交際接待費,,,101,現金小舟町,,,1300,グレンオークスカントリー　利用税　イシグロ,4,,,,借,仕,
2015-01-05,0,,,717,福利厚生費,4,その他,101,現金小舟町,,,135399,琥珀宮　役員新年会,11,,,,借,仕,
2015-01-05,0,,,727,交際接待費,,,101,現金小舟町,,,3240,高島屋　お年賀,11,,,,借,仕,
2015-01-06,0,,,101,現金小舟町,,,112,当座みずほ小舟,,,300000,みずほ銀行小舟町・現金引出,,,,,,,
2015-01-06,0,,,722,交通費,1,通勤費,101,現金小舟町,,,24810,柴山定期券,11,,,,借,仕,
2015-01-07,0,,,112,当座みずほ小舟,,,101,現金小舟町,,,102313,梅林製作所　小切手,,,,,,,
2015-01-07,0,,,718,広告宣伝費,,,101,現金小舟町,,,27540,日東タオル　年賀タオル,11,,,,借,仕,
2015-01-07,0,,,722,交通費,2,移動費,101,現金小舟町,,,2890,ロイヤルリムジン㈱　タクシー,11,,,,借,仕,
2015-01-07,0,,,717,福利厚生費,4,その他,101,現金小舟町,,,20185,いせ源　品管新年会,11,,,,借,仕,
2015-01-07,0,,,724,通信費,1,電話料金,101,現金小舟町,,,14009,ＫＤＤＩ,11,,,,借,仕,
2015-01-07,0,,,734,支払手数料,7,その他,101,現金小舟町,,,2000,東京都旅券事務所手数料　田邉,11,,,,借,仕,
2015-01-07,0,,,726,租税公課,8,その他,101,現金小舟町,,,9000,収入印紙　田邉パスポート,,,,,,,
2015-01-08,0,,,101,現金小舟町,,,112,当座みずほ小舟,,,300000,みずほ銀行小舟町・現金引出,,,,,,,
2015-01-09,0,,,722,交通費,2,移動費,101,現金小舟町,,,10000,スイカチャージ池田,11,,,,借,仕,
2015-01-09,0,,,728,消耗品費,1,ガソリン代,101,現金小舟町,,,4087,㈱ＥＮＥＯＳ　ガソリン,11,,,,借,仕,
2015-01-09,0,,,728,消耗品費,3,その他,101,現金小舟町,,,8010,イトーヨーカ堂　センター洗剤他,11,,,,借,仕,
2015-01-09,0,,,722,交通費,2,移動費,101,現金小舟町,,,1450,城北タクシー,11,,,,借,仕,
2015-01-09,0,,,728,消耗品費,3,その他,101,現金小舟町,,,141,グッズカンパニー㈱　プロッター替紙,11,,,,借,仕,
2015-01-09,0,,,727,交際接待費,,,101,現金小舟町,,,34750,トラットリアコッレ　ＨＡＴ接待,11,,,,借,仕,
2015-01-13,0,,,728,消耗品費,1,ガソリン代,101,現金小舟町,,,6073,関東石油㈱　ガソリン,11,,,,借,仕,
2015-01-13,0,,,722,交通費,2,移動費,101,現金小舟町,,,730,大日本交通㈱　タクシー代,11,,,,借,仕,
2015-01-13,0,,,722,交通費,2,移動費,101,現金小舟町,,,820,日本交通　タクシー,11,,,,借,仕,
2015-01-13,0,,,722,交通費,3,駐輪代,101,現金小舟町,,,300,パーキング,11,,,,借,仕,
2015-01-13,0,,,727,交際接待費,,,101,現金小舟町,,,22544,グレンオークス　プレー代　日材センター,11,,,,借,仕,
2015-01-13,0,,,727,交際接待費,,,101,現金小舟町,,,1300,グレンオークス　利用税　日材センター,4,,,,借,仕,
2015-01-13,0,,,727,交際接待費,,,101,現金小舟町,,,8640,㈱松屋　お年賀,11,,,,借,仕,
2015-01-13,0,,,717,福利厚生費,2,食事補助,101,現金小舟町,,,2320,吉野家　残業弁当,11,,,,借,仕,
2015-01-13,0,,,745,雑費,4,その他,101,現金小舟町,,,13540,ウイルスバスター,11,,,,借,仕,
2015-01-13,0,,,726,租税公課,7,罰科金等,101,現金小舟町,,,6000,交通違反金　,,,,,,,
2015-01-13,0,,,728,消耗品費,3,その他,101,現金小舟町,,,603,アマゾン　センターマスク,11,,,,借,仕,
2015-01-13,0,,,745,雑費,4,その他,101,現金小舟町,,,41040,高島屋　応接間飾り絵,11,,,,借,仕,
2015-01-14,0,,,101,現金小舟町,,,166,売掛金,607,㈱エムエーシー,22265,エムエーシー　小切手,,,,,,,
2015-01-15,0,,,112,当座みずほ小舟,,,101,現金小舟町,,,22265,エムエーシー　　小切手,,,,,,,
2015-01-15,0,,,101,現金小舟町,,,112,当座みずほ小舟,,,300000,みずほ銀行小舟町・現金引出,,,,,,,
2015-01-15,0,,,722,交通費,1,通勤費,101,現金小舟町,,,55840,伊藤定期,11,,,,借,仕,
2015-01-15,0,,,717,福利厚生費,4,その他,101,現金小舟町,,,166320,慶応病院　社長健康診断,11,,,,借,仕,
2015-01-19,0,,,101,現金小舟町,,,166,売掛金,5007,長谷川機材㈱,112920,長谷川機材　小切手,,,,,,,
2015-01-19,0,,,112,当座みずほ小舟,,,101,現金小舟町,,,112920,長谷川機材　小切手,,,,,,,
2015-01-19,0,,,722,交通費,2,移動費,101,現金小舟町,,,16000,センター交通費　4名,11,,,,借,仕,
2015-01-19,0,,,722,交通費,2,移動費,101,現金小舟町,,,2450,タクシー２件社長,11,,,,借,仕,
2015-01-19,0,,,727,交際接待費,,,101,現金小舟町,,,5680,㈱オフィスワンツーテン　シオヤ会長お年賀,11,,,,借,仕,
2015-01-20,0,,,101,現金小舟町,,,112,当座みずほ小舟,,,300000,みずほ銀行小舟町・現金引出,,,,,,,
2015-01-20,0,,,725,水道光熱費,1,電気料金,101,現金小舟町,,,30295,電気代,11,,,,借,仕,
2015-01-20,0,,,745,雑費,4,その他,101,現金小舟町,,,5994,ブルックス　コーヒー,11,,,,借,仕,
2015-01-20,0,,,734,支払手数料,1,振込手数料,101,現金小舟町,,,64,振込手数料,11,,,,借,仕,
2015-01-13,0,,,727,交際接待費,,,101,現金小舟町,,,3564,高島屋　お年賀,11,,,,借,仕,
2015-01-16,0,,,727,交際接待費,,,101,現金小舟町,,,31000,ＫＯＴＡＮＩ　橋本総業,11,,,,借,仕,
2015-01-16,0,,,727,交際接待費,,,101,現金小舟町,,,16542,成田ゴルフ倶楽部　プレー代　橋本総業,11,,,,借,仕,
2015-01-16,0,,,727,交際接待費,,,101,現金小舟町,,,1050,成田ゴルフ倶楽部　利用税　橋本総業,4,,,,借,仕,
2015-01-21,0,,,723,会議費,,,101,現金小舟町,,,8720,無等山　営業打ち合わせ,11,,,,借,仕,
2015-01-21,0,,,727,交際接待費,,,101,現金小舟町,,,15444,高島屋　フォレスト森氏初孫祝い,11,,,,借,仕,
2015-01-23,0,,,723,会議費,,,101,現金小舟町,,,18060,湊　営業打ち合わせ,11,,,,借,仕,
2015-01-23,0,,,722,交通費,2,移動費,101,現金小舟町,,,1180,コーディアルタクシー㈱,11,,,,借,仕,
2015-01-23,0,,,734,支払手数料,7,その他,101,現金小舟町,,,300,中央区役所　住民票,2,,,,借,仕,
2015-01-24,0,,,728,消耗品費,1,ガソリン代,101,現金小舟町,,,3684,ヤマヒロ㈱　ガソリン,11,,,,借,仕,
2015-01-24,0,,,727,交際接待費,,,101,現金小舟町,,,32097,牧野　久保田パイプ接待,11,,,,借,仕,
2015-01-24,0,,,727,交際接待費,,,101,現金小舟町,,,13878,千葉国際カントリー　プレー代　ふなとや,11,,,,借,仕,
2015-01-24,0,,,727,交際接待費,,,101,現金小舟町,,,600,千葉国際カントリー　利用税　ふなとや,4,,,,借,仕,
2015-01-24,0,,,722,交通費,2,移動費,101,現金小舟町,,,730,坂本自動車,11,,,,借,仕,
2015-01-27,0,,,186,仮払金,,,101,現金小舟町,,,50000,錦糸センター　②,,,,,,,
2015-01-27,0,,,728,消耗品費,2,備品代,101,現金小舟町,,,91368,アップルジャパン㈱　ipad,11,,,,借,仕,
2015-01-27,0,,,728,消耗品費,1,ガソリン代,101,現金小舟町,,,6051,ヤマヒロ㈱　ガソリン,11,,,,借,仕,
2015-01-28,0,,,726,租税公課,8,その他,101,現金小舟町,,,35000,収入印紙,,,,,,,
2015-01-28,0,,,724,通信費,2,郵便料金,101,現金小舟町,,,4312,切手,11,,,,借,仕,
2015-01-28,0,,,722,交通費,2,移動費,101,現金小舟町,,,10000,スイカチャージ池田,11,,,,借,仕,
2015-01-29,0,,,101,現金小舟町,,,166,売掛金,3816,ドゥ・ヤマモト㈱,3601,ドゥヤマモト　小切手,,,,,,,
2015-01-30,0,,,101,現金小舟町,,,166,売掛金,5402,㈱富士ロック,14862,富士ロック　小切手,,,,,,,
2015-01-30,0,,,101,現金小舟町,,,166,売掛金,7006,㈱山田パイプ店,54636,山田パイプ店　小切手,,,,,,,
2015-01-30,0,,,101,現金小舟町,,,166,売掛金,1004,川口スチール㈱,182089,川口スチール　小切手,,,,,,,
2015-01-30,0,,,727,交際接待費,,,101,現金小舟町,,,40824,吉星　三亥,11,,,,借,仕,
2015-01-30,0,,,112,当座みずほ小舟,,,101,現金小舟町,,,3601,ドゥヤマモト　小切手,,,,,,,
2015-01-30,0,,,112,当座みずほ小舟,,,101,現金小舟町,,,14862,富士ロック　小切手,,,,,,,
2015-01-30,0,,,112,当座みずほ小舟,,,101,現金小舟町,,,54636,山田パイプ店　小切手,,,,,,,
2015-01-30,0,,,112,当座みずほ小舟,,,101,現金小舟町,,,182089,川口スチール　小切手,,,,,,,
2015-01-05,0,,,745,雑費,4,その他,102,現金錦糸町,,,1728,ダスキンアクテイブ,11,,,,借,仕,
2015-01-06,0,,,102,現金錦糸町,,,318,仮受金,,,50000,1回目,,,,,,,
2015-01-09,0,,,722,交通費,3,駐輪代,102,現金錦糸町,,,400,駐車場代,11,,,,借,仕,
2015-01-16,0,,,722,交通費,3,駐輪代,102,現金錦糸町,,,300,駐車場代,11,,,,借,仕,
2015-01-21,0,,,745,雑費,2,廃棄処分,102,現金錦糸町,,,5184,コトブキ環境（廃棄処分代）,11,,,,借,仕,
2015-01-22,0,,,727,交際接待費,,,102,現金錦糸町,,,12000,かまどか（HAT、吉年）,11,,,,借,仕,
2015-01-22,0,,,727,交際接待費,,,102,現金錦糸町,,,4800,とんかつくり家(三笠),11,,,,借,仕,
2015-01-23,0,,,722,交通費,3,駐輪代,102,現金錦糸町,,,1200,駐車場代,11,,,,借,仕,
2015-01-23,0,,,722,交通費,3,駐輪代,102,現金錦糸町,,,900,駐車場代,11,,,,借,仕,
2015-01-23,0,,,722,交通費,3,駐輪代,102,現金錦糸町,,,800,駐車場代,11,,,,借,仕,
2015-01-28,0,,,102,現金錦糸町,,,318,仮受金,,,50000,2回目,,,,,,,
2015-01-29,0,,,729,事務用消耗品費,1,事務用品代,102,現金錦糸町,,,2709,島忠ﾎ-ﾑｾﾝﾀ-（品管用筆、ﾍﾟﾝｷ）,11,,,,借,仕,
2015-01-29,0,,,722,交通費,3,駐輪代,102,現金錦糸町,,,300,駐車場代,11,,,,借,仕,
2015-01-29,0,,,722,交通費,3,駐輪代,102,現金錦糸町,,,400,駐車場代,11,,,,借,仕,
2015-01-30,0,,,727,交際接待費,,,102,現金錦糸町,,,1080,ﾗｲﾌ（金子産業手土産）,11,,,,借,仕,
2015-01-30,0,,,722,交通費,3,駐輪代,102,現金錦糸町,,,800,駐車場代,11,,,,借,仕,
2015-01-30,0,,,312,買掛金,3016,㈱田崎アサヒ,102,現金錦糸町,,,3618,田崎アサヒ（在庫分）,,,,,,,
2015-01-05,0,,,352,長期借入金,9,みずほ中央区利息補填,112,当座みずほ小舟,,,120000,みずほ１．３千万円口　1.0,,,,,,,
2015-01-05,0,,,722,交通費,2,移動費,112,当座みずほ小舟,,,109780,ＥＴＣ,11,,,,借,仕,
2015-01-06,0,,,729,事務用消耗品費,3,ゼロックス使用料,112,当座みずほ小舟,,,1941,富士ゼロックス,11,,,,借,仕,
2015-01-09,0,,,719,運搬費,,,112,当座みずほ小舟,,,154240,赤帽スリーピース,11,,,,借,仕,
2015-01-09,0,,,111,当座預金東京東,,,112,当座みずほ小舟,,,1850000,振替,,,,,,,
2015-01-09,0,,,550,仕入,3,輸入諸掛,112,当座みずほ小舟,,,563300,㈱宇徳　立替輸入税,41,,,,借,仕,
2015-01-09,0,,,352,長期借入金,38,みずほ小舟１億,112,当座みずほ小舟,,,1670000,みずほ1億円口　1.05,,,,,,,
