日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-09-10,,,,314,未払金,999,他：,111,当座興産信金,,,80041,他：VISAしんきんカード,,,,,,,
2015-09-10,,,,314,未払金,999,他：,111,当座興産信金,,,107740,他：JCBしんきんカード,,,,,,,
2015-09-10,,1,,724,通信費,,,999,,,,9376,ＮＴＴ電話代,,,,,,,
2015-09-10,,1,,999,,,,114,当座千葉多古,,,10756,ＮＴＴ電話代,,,,,,,
2015-09-10,,1,,724,通信費,,,999,,,,630,ＮＴＴ海外通話料,,,,,,,
2015-09-25,,2,,724,通信費,,,999,,,,36300,NTT通話料,,,,,,,
2015-09-25,,2,,999,,,,114,当座千葉多古,,,41679,NTT通話料,,,,,,,
2015-09-25,,2,,724,通信費,,,999,,,,2475,NTT海外通話料,,,,,,,
2015-09-07,,,,722,旅費交通費,,,101,現金,,,8815,葵交通　タクシー料金,,,,,,,
2015-09-16,,,,722,旅費交通費,,,101,現金,,,6343,森川タクシー　タクシー料金,,,,,,,
2015-09-16,,,,738,会議費,,,101,現金,,,2362,神山楼　打合せ食事代,,,,,,,
2015-09-12,,,,658,[製]消耗品費,,,101,現金,,,1934,カインズホーム　ヤッケ,,,,,,,
2015-09-11,,,,726,租税公課,99,他：,101,現金,,,8800,他：収入印紙,,,,,,,
2015-09-11,,,,724,通信費,,,101,現金,,,8467,栗源郵便局　切手,,,,,,,
2015-09-09,,,,658,[製]消耗品費,,,101,現金,,,1525,しんしん　コンテナ,,,,,,,
2015-09-05,,,,658,[製]消耗品費,,,101,現金,,,828,カインズホーム　モップ,,,,,,,
2015-09-08,,,,658,[製]消耗品費,,,101,現金,,,298,エービン　電池,,,,,,,
2015-09-08,,,,658,[製]消耗品費,,,101,現金,,,7223,ジョイフル本田　布テープ他,,,,,,,
2015-09-02,,,,314,未払金,704,㈲江沢自動車販売,111,当座興産信金,,,20000,㈲江沢自動車販売,,,,,,,
2015-09-04,,,,725,水道光熱費,,,111,当座興産信金,,,2739,水道料金,,,,,,,
2015-09-04,,,,725,水道光熱費,,,111,当座興産信金,,,2739,水道料金,,,,,,,
2015-09-04,,,,725,水道光熱費,,,111,当座興産信金,,,2739,水道料金,,,,,,,
2015-09-04,,,,725,水道光熱費,,,111,当座興産信金,,,17651,水道料金,,,,,,,
2015-09-10,,,,314,未払金,108,協同組合双助会,111,当座興産信金,,,23047,協同組合双助会,,,,,,,
2015-09-10,,,,314,未払金,108,協同組合双助会,111,当座興産信金,,,75224,協同組合双助会,,,,,,,
2015-09-10,,,,314,未払金,300,佐川急便㈱,111,当座興産信金,,,3909,佐川急便㈱,,,,,,,
2015-09-14,,,,314,未払金,108,協同組合双助会,111,当座興産信金,,,175754,協同組合双助会,,,,,,,
2015-09-14,,,,314,未払金,503,㈱サニクリーン,111,当座興産信金,,,14558,㈱サニクリーン,,,,,,,
2015-09-15,,,,734,支払手数料,,,111,当座興産信金,,,3000,ＦＢ基本料,,,,,,,
2015-09-15,,,,313,短期借入金,2,加藤賢二,111,当座興産信金,,,1000000,加藤賢二　返済,,,,,,,
2015-09-17,,,,725,水道光熱費,,,111,当座興産信金,,,4164,ガス代,,,,,,,
2015-09-17,,,,725,水道光熱費,,,111,当座興産信金,,,7670,ガス代,,,,,,,
2015-09-17,,,,725,水道光熱費,,,111,当座興産信金,,,640,ガス代,,,,,,,
2015-09-17,,,,652,[製]電力費,,,111,当座興産信金,,,713891,電気料金,,,,,,,
2015-09-17,,,,652,[製]電力費,,,111,当座興産信金,,,740141,電気料金,,,,,,,
2015-09-10,,,,314,未払金,999,他：,111,当座興産信金,,,630212,他：アメックス,,,,,,,
2015-09-29,,,,631,[製]賃金手当,,,101,現金,,,4592945,従業員　給料,,,,,,,
2015-09-29,,,,711,役員報酬,,,101,現金,,,2300000,役員報酬,,,,,,,
2015-09-29,,,,722,旅費交通費,,,101,現金,,,177344,従業員　通勤交通費,,,,,,,
2015-09-29,,,,722,旅費交通費,,,101,現金,,,49056,役員　通勤交通費,,,,,,,
2015-09-29,,,,101,現金,,,316,預り金,3,社会保険料,593201,社会保険料,,,,,,,
2015-09-29,,,,101,現金,,,716,法定福利費,,,15078,雇用保険料,,,,,,,
2015-09-29,,,,101,現金,,,316,預り金,1,源泉所得税,598393,源泉所得税,,,,,,,
2015-09-29,,,,101,現金,,,316,預り金,2,住民税,111000,住民税,,,,,,,
2015-09-29,,,,101,現金,,,722,旅費交通費,,,19645,ガソリン代　相殺,,,,,,,
