日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-04-30,0,,"",722,"旅費交通費",,,314,"未払金",2,"岡本将治",44680,"４月分　岡本将治　立替経費",11,,,,借,仕,
2015-04-01,0,,"",741,"新聞図書費",,,314,"未払金",1,"浅井重幸",4200,"日経ID決済",11,,,,借,仕,
2015-04-05,0,,"",724,"通信費",,,314,"未払金",1,"浅井重幸",23998,"ソフトバンク　社長携帯電話料金",11,,,,借,仕,
2015-04-14,0,,"",722,"旅費交通費",,,314,"未払金",1,"浅井重幸",18940,"ANAインターネットチケットサービス　出張旅費",11,,,,借,仕,
2015-04-02,0,,"",727,"交際費",,,314,"未払金",1,"浅井重幸",44100,"利久　飲食代",11,,,,借,仕,
2015-04-28,0,,"",727,"交際費",,,314,"未払金",1,"浅井重幸",32500,"瞳企画　飲食代",11,,,,借,仕,
2015-04-25,0,,"",727,"交際費",,,314,"未払金",1,"浅井重幸",22028,"万木城カントリークラブ　ゴルフプレー代",11,,,,借,仕,
2015-04-25,0,,"",727,"交際費",,,314,"未払金",1,"浅井重幸",750,"万木城カントリークラブ　ゴルフ場利用税",4,,,,借,仕,
2015-04-25,0,,"",722,"旅費交通費",,,314,"未払金",1,"浅井重幸",1990,"ダイワタクシー　タクシー代",11,,,,借,仕,
2015-04-26,0,,"",722,"旅費交通費",,,314,"未払金",1,"浅井重幸",11220,"阿部タクシー　タクシー代",11,,,,借,仕,
2015-04-29,0,,"",717,"福利厚生費",,,314,"未払金",1,"浅井重幸",6134,"㈱弁慶　作業服",11,,,,借,仕,
2015-04-29,0,,"",728,"消耗品費",,,314,"未払金",1,"浅井重幸",6178,"ウエルシア砺波豊町店　　消耗雑貨",11,,,,借,仕,
2015-04-30,0,,"",728,"消耗品費",,,314,"未払金",1,"浅井重幸",3075,"㈱ニトリ砺波店　消耗雑貨",11,,,,借,仕,
2015-04-28,0,,"",722,"旅費交通費",,,314,"未払金",1,"浅井重幸",14350,"陸王交通㈱　タクシー代",11,,,,借,仕,
2015-04-28,0,,"",722,"旅費交通費",,,314,"未払金",1,"浅井重幸",1000,"日の丸自動車交通㈱　タクシー代",11,,,,借,仕,
2015-04-28,0,,"",727,"交際費",,,314,"未払金",1,"浅井重幸",19440,"まかないきいち　飲食代",11,,,,借,仕,
2015-04-25,0,,"",727,"交際費",,,314,"未払金",1,"浅井重幸",9070,"Italian　Dining　CANTINONE　飲食代",11,,,,借,仕,
2015-04-12,0,,"",727,"交際費",,,314,"未払金",1,"浅井重幸",6426,"イタリー亭　飲食代",11,,,,借,仕,
2015-04-09,0,,"",728,"消耗品費",,,314,"未払金",1,"浅井重幸",3937,"㈱湯浅　ガソリン代",11,,,,借,仕,
