日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-11-12,0,,"",731,"賃借料",,,121,"普通三菱東京",,,5830,"月分ヴァーチャルオフィス利用料",205,,,,借,仕,
2013-11-18,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,2100,"月分三菱東京UFJ銀行　BizStation利用料",205,,,,借,仕,
2013-11-28,0,,"",999,"諸口",,,121,"普通三菱東京",,,18011,"月分安田会計事務所",,,,,,,
2013-11-29,0,,"",121,"普通三菱東京",,,166,"売掛金",1,"ブリングアップ",45150,"ブリングアップ",,,,,,,
2013-12-12,0,,"",731,"賃借料",,,121,"普通三菱東京",,,6120,"月分ヴァーチャルオフィス利用料",205,,,,借,仕,
2013-12-18,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,2100,"月分三菱東京UFJ銀行　BizStation利用料",205,,,,借,仕,
2013-12-24,0,,"",121,"普通三菱東京",,,166,"売掛金",4,"シーズ・クリエイト",7350,"シーズ・クリエイト",,,,,,,
2013-12-26,0,,"",314,"未払金",1,"ブリングアップ",121,"普通三菱東京",,,4200,"ブリングアップ",,,,,,,
2013-12-26,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,105,"振込手数料　ブリングアップ",205,,,,借,仕,
2013-12-27,0,,"",323,"未払法人税等",,,121,"普通三菱東京",,,70000,"平成２５年度確定法人都民税",,,,,,,
2013-12-30,0,,"",999,"諸口",,,121,"普通三菱東京",,,18011,"月分安田会計事務所",,,,,,,
2013-12-30,0,,"",121,"普通三菱東京",,,166,"売掛金",1,"ブリングアップ",45150,"ブリングアップ",,,,,,,
2014-01-10,0,,"",316,"預り金",,,121,"普通三菱東京",,,13676,"源泉所得税",,,,,,,
2014-01-14,0,,"",731,"賃借料",,,121,"普通三菱東京",,,5540,"１月分ヴァーチャルオフィス利用料",205,,,,借,仕,
2014-01-17,0,,"",121,"普通三菱東京",,,166,"売掛金",4,"シーズ・クリエイト",8036,"シーズ・クリエイト",,,,,,,
2014-01-17,0,,"",314,"未払金",1,"ブリングアップ",121,"普通三菱東京",,,4592,"ブリングアップ",,,,,,,
2014-01-17,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,105,"振込手数料　ブリングアップ",205,,,,借,仕,
2014-01-20,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,2100,"１月分三菱東京UFJ銀行　BizStation利用料",205,,,,借,仕,
2014-01-28,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,15750,"１月分さくら中央税理士法人",205,,,,借,仕,
2014-01-31,0,,"",121,"普通三菱東京",,,166,"売掛金",1,"ブリングアップ",45150,"ブリングアップ",,,,,,,
2014-02-10,0,,"",314,"未払金",1,"ブリングアップ",121,"普通三菱東京",,,4592,"ブリングアップ",,,,,,,
2014-02-10,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,105,"振込手数料　ブリングアップ",205,,,,借,仕,
2014-02-10,0,,"",121,"普通三菱東京",,,166,"売掛金",4,"シーズ・クリエイト",8036,"シーズ・クリエイト",,,,,,,
2014-02-12,0,,"",731,"賃借料",,,121,"普通三菱東京",,,6830,"２月分ヴァーチャルオフィス利用料",205,,,,借,仕,
2014-02-18,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,2100,"２月分三菱東京UFJ銀行　BizStation利用料",205,,,,借,仕,
2014-02-26,0,,"",121,"普通三菱東京",,,166,"売掛金",2,"オオタキカク",8400,"オオタキカク",,,,,,,
2014-02-28,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,15750,"２月分さくら中央税理士法人",205,,,,借,仕,
2014-02-28,0,,"",121,"普通三菱東京",,,166,"売掛金",1,"ブリングアップ",45150,"ブリングアップ",,,,,,,
2014-03-06,0,,"",121,"普通三菱東京",,,166,"売掛金",4,"シーズ・クリエイト",8036,"シーズ・クリエイト",,,,,,,
2014-03-07,0,,"",121,"普通三菱東京",,,166,"売掛金",4,"シーズ・クリエイト",31500,"シーズ・クリエイト",,,,,,,
2014-03-12,0,,"",731,"賃借料",,,121,"普通三菱東京",,,5540,"３月分ヴァーチャルオフィス利用料",205,,,,借,仕,
2014-03-12,0,,"",314,"未払金",1,"ブリングアップ",121,"普通三菱東京",,,4592,"ブリングアップ",,,,,,,
2014-03-12,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,105,"振込手数料　ブリングアップ",205,,,,借,仕,
2014-03-18,0,,"",734,"支払手数料",,,121,"普通三菱東京",,,1680,"３月分三菱東京UFJ銀行　BizStation利用料",205,,,,借,仕,
2013-11-28,0,,"",734,"支払手数料",,,999,"諸口",,,19950,"月分安田会計事務所",205,,,,借,仕,
2013-12-30,0,,"",734,"支払手数料",,,999,"諸口",,,19950,"月分安田会計事務所",205,,,,借,仕,
2013-11-28,0,,"",999,"諸口",,,316,"預り金",,,1939,"月分安田会計事務所・源泉所得税",,,,,,,
2013-12-30,0,,"",999,"諸口",,,316,"預り金",,,1939,"月分安田会計事務所・源泉所得税",,,,,,,
2013-11-30,0,,"",166,"売掛金",1,"ブリングアップ",511,"売上高",,,3150,"月分ブリングアップ　バックアップサーバー利用料",205,,,,貸,売,
2013-12-31,0,,"",166,"売掛金",1,"ブリングアップ",511,"売上高",,,3150,"月分ブリングアップ　バックアップサーバー利用料",205,,,,貸,売,
