日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2011-07-11,0,,"",313,"短期借入金",2,"鳥飼達夫",999,"諸口",,,228988,"DCｶ-ﾄﾞ　前期計上分",,,,,,,
2011-07-11,0,,"",722,"旅費交通費",,,999,"諸口",,,2240,"６／２　東京無線協同組合　嘉門利用分",11,,,,借,仕,
2011-07-11,0,,"",722,"旅費交通費",,,999,"諸口",,,540,"６／２　さくらタクシー　嘉門利用分",11,,,,借,仕,
2011-07-11,0,,"",722,"旅費交通費",,,999,"諸口",,,1590,"６／３　さくらタクシー　嘉門利用分",11,,,,借,仕,
2011-07-11,0,,"",722,"旅費交通費",,,999,"諸口",,,2000,"６／９　未来都ハイタク　嘉門利用分",11,,,,借,仕,
2011-07-11,0,,"",999,"諸口",,,121,"普通三菱東京①",,,426644,"ＤＣカード　経費精算",,,,,,,
2011-07-11,0,,"",722,"旅費交通費",,,999,"諸口",,,7710,"６／４　ハロー・トーキョー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",313,"短期借入金",2,"鳥飼達夫",999,"諸口",,,9420,"DCｶ-ﾄﾞ　前期計上分　嘉門利用分",,,,,,,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1700,"６／２　瑞穂タクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1040,"６／２　大阪タクシー交友会　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1700,"６／２　大阪タクシー交友会　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1860,"６／２　大阪タクシー交友会　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1520,"６／３　東京都個人タクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1970,"６／３　チェッカーキャブ　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,690,"６／４　三和交通　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,2500,"６／４　野々市タクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,560,"６／５　石川グリーンタクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,2250,"６／６　第一交通産業　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,850,"６／６　福岡西鉄タクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,7840,"６／６　東京都個人タクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,710,"６／８　国際自動車　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,800,"６／８　国際自動車　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1690,"６／９　北港梅田ハイタク事業　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,820,"６／９　珊瑚交通　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,2060,"６／９　日本交通　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,4940,"６／１０　帝都自動車交通　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,2140,"６／１０　アシスト　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,5120,"６／１０　共同無線タクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1780,"６／１０　関西ハイタク事業　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1200,"６／１０　日本交通　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,650,"６／１２　タクシーチケットサービス　嘉門",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,650,"６／１２　タクシーチケットサービス　嘉門",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,2420,"６／１４　大和自動車　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1970,"６／１５　ハロー・トーキョー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1300,"６／１６　関西ハイタク事業　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1450,"６／１７　さくらタクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,2150,"６／１７　日本交通　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,2500,"６／１７　関西ハイタク事業　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,710,"６／１７　チェッカーキャブ　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1880,"６／１７　東京無線協同組合　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,800,"６／１８　帝都自動車交通　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1430,"６／１８　日個連　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,710,"６／１８　国際自動車　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1700,"６／１９　荏原交通　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1790,"６／１９　日幸　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,890,"６／２０　グリーンキャブ　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,980,"６／２３　国際興業大阪　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1140,"６／２３　国際興業大阪　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1170,"６／２３　さくらタクシー　嘉門利用分",11,,,,借,仕,
2011-08-10,0,,"",722,"旅費交通費",,,999,"諸口",,,1970,"６／２４　国際自動車　嘉門利用分",11,,,,借,仕,
