日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2012-12-31,1,,"",314,"未払金",9999,"他・",716,"法定福利費",9999,"他・",2025570,"期首再振替　月分社会保険料",4,,,,貸,仕,
2012-12-31,1,,"",316,"預り金",999,"他・",716,"法定福利費",9999,"他・",809664,"期首再振替　下期賞与社会保険料",4,,,,貸,仕,
2012-12-31,1,,"",715,"外注費",9998,"他・",187,"前払費用",4,"㈱マスメディアン",1304100,"期首再振替　㈱マスメディアン",11,,,,借,仕,
2012-01-06,0,,"",101,"現金",,,121,"城南信金普通",,,300000,"現金引き出し",,,,,,,
2012-01-13,0,,"",101,"現金",,,121,"城南信金普通",,,300000,"現金引き出し",,,,,,,
2012-01-23,0,,"",101,"現金",,,121,"城南信金普通",,,500000,"現金引き出し",,,,,,,
2012-01-26,0,,"",101,"現金",,,121,"城南信金普通",,,300000,"現金引き出し",,,,,,,
2012-01-04,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,590,"電車代　新百合ヶ丘→横浜",11,,,,借,仕,
2012-01-04,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,150,"電車代　横浜→黄金町",11,,,,借,仕,
2012-01-11,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,160,"電車代　新富町→銀座一丁目",11,,,,借,仕,
2012-01-12,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,460,"電車代　新百合ヶ丘→銀座",11,,,,借,仕,
2012-01-12,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,160,"電車代　銀座一丁目→新富町",11,,,,借,仕,
2012-01-13,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,320,"電車代　新富町→銀座一丁目（往復）",11,,,,借,仕,
2012-01-18,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,160,"電車代　新富町→銀座一丁目",11,,,,借,仕,
2012-01-18,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,460,"電車代　新百合ヶ丘→日比谷",11,,,,借,仕,
2012-01-18,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,160,"電車代　銀座→築地",11,,,,借,仕,
2012-01-19,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,460,"電車代　新百合ヶ丘→築地",11,,,,借,仕,
2012-01-19,0,,"",722,"旅費交通費",9999,"共通・",101,"現金",,,160,"電車代　新富町→銀座一丁目",11,,,,借,仕,
