日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-04-01,0,16,"0002",121,"普通預金",1,"",101,"現金",,,180000,"現金預入",,,,,,,
2014-04-01,0,17,"0002",728,"消耗品費",,,101,"現金",,,2130,"ﾊﾟｿｺﾝｾｷｭﾘﾃｨﾛｯｸ　ﾖﾄﾞﾊﾞｼｶﾒﾗ",11,,3,,借,仕,
2014-04-01,0,18,"0002",316,"預り金",117,"",101,"現金",,,4500,"預かり金支払　301551　澤文人",,,,,,,
2014-04-01,0,19,"0002",999,"諸口",,,101,"現金",,,42804,"預かり金支払　400031　中口家",,,,,,,
2014-04-01,0,19,"0002",316,"預り金",113,"",999,"諸口",,,40860,"預かり金支払　400031　中口家",,,,,,,
2014-04-01,0,19,"0002",734,"支払手数料",,,999,"諸口",,,1944,"",11,,3,,借,仕,
2014-04-01,0,19,"0000",999,"諸口",,,999,"諸口",,,1944,"",,,,,,,
2014-04-01,0,76,"0003",731,"賃借料",3,"",187,"前払費用",,,202568,"4月分家賃　　　　　　ＹＫＫ㈱",11,,3,,借,仕,
2014-04-01,0,76,"0003",726,"租税公課",,,187,"前払費用",,,10000,"収入印紙　　　　　　藤森酒店",4,,,,借,仕,
2014-04-01,0,76,"0003",724,"通信費",,,187,"前払費用",,,9170,"切手　　　　　　　　藤森酒店",11,,3,,借,仕,
2014-04-01,0,76,"0003",316,"預り金",64,"",184,"立替金",,,1277793,"団Ｂ40-04-01支払",,,,,,,
2014-04-01,0,77,"0003",101,"現金",,,999,"諸口",,,340040,"",,,,,,,
2014-04-01,0,77,"0003",999,"諸口",,,185,"未収入金",0,"",296240,"",,,,,,,
2014-04-01,0,77,"0000",999,"諸口",,,999,"諸口",,,43800,"砂浦44　　　　　　　ＪＲ切符代",,,,,,,
2014-04-01,0,77,"0003",999,"諸口",,,315,"前受金",,,43800,"砂浦44　　　　　　　ＪＲ切符代",,,,,,,
2014-04-01,0,77,"0003",999,"諸口",,,101,"現金",,,270296,"",,,,,,,
2014-04-01,0,77,"0003",185,"未収入金",0,"",999,"諸口",,,166520,"",,,,,,,
2014-04-01,0,77,"0003",319,"未払費用",42,"",999,"諸口",,,13776,"ＥＤカ－ド　　　　　ロジレックス",,,,,,,
2014-04-01,0,77,"0000",999,"諸口",,,999,"諸口",,,13776,"ＥＤカ－ド　　　　　ロジレックス",,,,,,,
2014-04-01,0,77,"0003",121,"普通預金",10,"",999,"諸口",,,90000,"現金を普通預金へ預け入れ",,,,,,,
2014-04-01,0,77,"0000",999,"諸口",,,999,"諸口",,,90000,"現金を普通預金へ預け入れ",,,,,,,
