日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2016-01-01,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",3304,"楽　天㈱",,,,,,,
2016-01-03,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",3750,"楽　天㈱",,,,,,,
2016-01-04,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",8434,"楽　天㈱",,,,,,,
2016-01-04,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",1200,"楽　天㈱",,,,,,,
2016-01-04,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",7,"ナショナル物産",51219,"ナショナル物産",,,,,,,
2016-01-05,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",13,"自社サイト",56372,"日本郵便㈱",,,,,,,
2016-01-05,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",4,"アマゾン",287577,"アマゾン",,,,,,,
2016-01-05,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",5996,"楽　天㈱",,,,,,,
2016-01-05,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",11160,"楽　天㈱",,,,,,,
2016-01-05,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",4374,"楽　天㈱",,,,,,,
2016-01-05,0,,"",745,"雑費",,,122,"ゆうちょ銀行",,,194400,"ﾃﾞ-ﾀｻｲｴﾝﾃｨｽﾄ",11,,,,借,仕,
2016-01-05,0,,"",734,"支払手数料",,,122,"ゆうちょ銀行",,,432,"ﾃﾞ-ﾀｻｲｴﾝﾃｨｽﾄ　振込手数料",11,,,,借,仕,
2016-01-05,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",2260,"楽　天㈱",,,,,,,
2016-01-05,0,,"",312,"買掛金",37,"ｺｽﾓｼｮｸﾋﾝ㈱",122,"ゆうちょ銀行",,,28425,"ｺｽﾓｼｮｸﾋﾝ㈱",,,,,,,
2016-01-05,0,,"",734,"支払手数料",,,122,"ゆうちょ銀行",,,216,"ｺｽﾓｼｮｸﾋﾝ㈱　振込手数料",11,,,,借,仕,
2016-01-05,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",5173,"楽　天㈱",,,,,,,
2016-01-05,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",1234,"楽　天㈱",,,,,,,
2016-01-06,0,,"",550,"仕入高",,,122,"ゆうちょ銀行",,,38828,"㈱ｿｳｹﾝｼｬ",11,,,,借,仕,
2016-01-06,0,,"",734,"支払手数料",,,122,"ゆうちょ銀行",,,216,"㈱ｿｳｹﾝｼｬ　振込手数料",11,,,,借,仕,
2016-01-06,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",3304,"楽　天㈱",,,,,,,
2016-01-06,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",7335,"楽　天㈱",,,,,,,
2016-01-06,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",6838,"楽　天㈱",,,,,,,
2016-01-06,0,,"",550,"仕入高",,,122,"ゆうちょ銀行",,,29302,"㈱ｱｼﾞｾﾝｼｵｼﾞ",11,,,,借,仕,
2016-01-06,0,,"",734,"支払手数料",,,122,"ゆうちょ銀行",,,216,"㈱ｱｼﾞｾﾝｼｵｼﾞ　振込手数料",11,,,,借,仕,
2016-01-07,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",4374,"楽　天㈱",,,,,,,
2016-01-07,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",5700,"楽　天㈱",,,,,,,
2016-01-07,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",4336,"楽　天㈱",,,,,,,
2016-01-07,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",3980,"楽　天㈱",,,,,,,
2016-01-08,0,,"",312,"買掛金",16,"ﾅｶﾞｻｷｶｲｻﾝ㈱",122,"ゆうちょ銀行",,,77112,"ﾅｶﾞｻｷｶｲｻﾝ㈱",,,,,,,
2016-01-08,0,,"",734,"支払手数料",,,122,"ゆうちょ銀行",,,432,"ﾅｶﾞｻｷｶｲｻﾝ㈱　振込手数料",11,,,,借,仕,
2016-01-08,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",4399,"楽　天㈱",,,,,,,
2016-01-08,0,,"",122,"ゆうちょ銀行",,,166,"売掛金",1,"楽　天㈱",2260,"楽　天㈱",,,,,,,
2016-01-08,0,,"",550,"仕入高",,,122,"ゆうちょ銀行",,,51710,"㈱ｿｳｹﾝｼｬ",11,,,,借,仕,
