日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-04-01,0,1,"",317,"源泉税預り金",,,121,"普通預金",1,"北陸銀行",76464,"所得税納付",,,,,,,
2014-04-01,0,2,"",121,"普通預金",1,"北陸銀行",101,"現金",,,10500,"現金を普通預金へ預け入れ（＠10×50枚、＠",,,,,,,
2014-04-01,0,9,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",5670,"売掛金(一般)入金 赤池一元",,,,,,,
2014-04-01,0,43,"0005",728,"通信費",,,102,"小口現金",5,"墨田倶楽部",834,"切手代　ファミリーマート",11,,,,借,仕,
2014-04-02,0,10,"",111,"当座預金",,,184,"立替金",0,"その他",21666,"芦崎さん負担分　入金",,,,,,,
2014-04-02,0,10,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",5698,"売掛金(一般)入金 三浦 純子",,,,,,,
2014-04-02,0,39,"0005",731,"支払手数料",0,"その他",121,"普通預金",6,"第一勧業信用組合",648,"残高証明書発行手数料支払　第一勧業信用組",11,,,,借,仕,
2014-04-03,0,3,"",101,"現金",,,166,"売掛金",7,"コーヒー製品",750,"売掛金(一般)現金入金　一般の方",,,,,,,
2014-04-03,0,3,"",101,"現金",,,166,"売掛金",7,"コーヒー製品",1650,"売掛金(一般)現金入金　YKK保険ｻ-ﾋﾞｽ　宇都",,,,,,,
2014-04-03,0,3,"0001",727,"租税公課",,,101,"現金",,,4000,"収入印紙代（＠4",4,,,,借,仕,
2014-04-03,0,7,"",121,"普通預金",1,"北陸銀行",166,"売掛金",7,"コーヒー製品",9450,"売掛金(一般)入金 木元トモコ",,,,,,,
2014-04-03,0,7,"",121,"普通預金",1,"北陸銀行",166,"売掛金",7,"コーヒー製品",3749,"売掛金(一般)入金 須藤 隆",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",10702,"売掛金(一般)入金 宮保 正",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",9450,"売掛金(一般)入金 遠藤　正義",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",5670,"売掛金(一般)入金 坂口秀男",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",9450,"売掛金(一般)入金 笹尾郁郎",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",9450,"売掛金(一般)入金 ㈱SSCマツヤ",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",5523,"売掛金(一般)入金 株式会社田原建築設計事",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",2024,"売掛金(一般)入金 山田 美穂子",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",8248,"売掛金(一般)入金 広瀬 留理子",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",6248,"売掛金(一般)入金 松尾 勉",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",4274,"売掛金(一般)入金 茶谷 雄一",,,,,,,
2014-04-03,0,11,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",4949,"売掛金(一般)入金 山口 俊彦",,,,,,,
2014-04-04,0,4,"",101,"現金",,,166,"売掛金",7,"コーヒー製品",6600,"売掛金(一般)現金入金　加納",,,,,,,
2014-04-04,0,12,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",9450,"売掛金(一般)入金 金子 八重子",,,,,,,
2014-04-04,0,12,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",3299,"売掛金(一般)入金 西村 茂和",,,,,,,
2014-04-07,0,8,"",121,"普通預金",1,"北陸銀行",166,"売掛金",7,"コーヒー製品",7560,"売掛金(一般)入金　入部　照子",,,,,,,
2014-04-07,0,8,"",121,"普通預金",1,"北陸銀行",166,"売掛金",7,"コーヒー製品",9450,"売掛金(一般)入金 飯野義満",,,,,,,
2014-04-07,0,13,"0003",719,"賃借料",8,"三菱電機クレジット㈱",111,"当座預金",,,6300,"リース料支払い　三菱電機ｸﾚｼﾞｯﾄ㈱",11,,,,借,仕,
2014-04-07,0,13,"0005",719,"賃借料",3,"日立キャピタル㈱",111,"当座預金",,,35784,"リース料支払い　日立キャピタル㈱",11,,,,借,仕,
2014-04-07,0,13,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",5390,"売掛金(一般)入金 木村 美津子",,,,,,,
2014-04-07,0,13,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",5670,"売掛金(一般)入金 山下 康則",,,,,,,
2014-04-07,0,13,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",2134,"売掛金(一般)入金 有限会社 吉田興産",,,,,,,
2014-04-07,0,13,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",3299,"売掛金(一般)入金 山本 邦江",,,,,,,
2014-04-08,0,5,"",101,"現金",,,166,"売掛金",7,"コーヒー製品",3300,"売掛金(一般)現金入金　YKK㈱監査室　永田",,,,,,,
2014-04-08,0,5,"0001",745,"雑費",,,101,"現金",,,50000,"初穂料　レストラン",4,,,,借,仕,
2014-04-08,0,14,"0003",728,"通信費",,,111,"当座預金",,,7277,"国内電話料  ｿﾌﾄﾊﾞﾝｸﾃﾚｺﾑﾊﾟ-ﾄﾅ-ｽﾞ㈱",11,,,,借,仕,
2014-04-08,0,14,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",3299,"売掛金(一般)入金 石橋 茂",,,,,,,
2014-04-08,0,14,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",9450,"売掛金(一般)入金 千田和憲",,,,,,,
2014-04-08,0,14,"",111,"当座預金",,,166,"売掛金",7,"コーヒー製品",10823,"売掛金(一般)入金 田中 彰登",,,,,,,
2014-04-09,0,44,"0010",550,"仕入原材料",,,102,"小口現金",5,"墨田倶楽部",513,"原材料購入代　まいばすけっと",11,,,,借,仕,
2014-04-10,0,6,"",101,"現金",,,166,"売掛金",7,"コーヒー製品",750,"売掛金(一般)現金入金　YKKﾌｧｽﾆﾝｸﾞ人事G 人",,,,,,,
