日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-01-02,0,,"",613,"材料仕入高",,,101,"現金",,,1000,"ドリーム　生地代",11,,,,借,仕,
2013-01-02,0,,"",613,"材料仕入高",,,101,"現金",,,997,"織部　和紙",11,,,,借,仕,
2013-01-02,0,,"",716,"福利厚生費",1,"事業用：",101,"現金",,,2389,"事業用：ｓａｎｗａ　従業員残業食事代",11,,,,借,仕,
2013-01-02,0,,"",716,"福利厚生費",1,"事業用：",101,"現金",,,3000,"事業用：タリーズ　従業員おやつ代",11,,,,借,仕,
2013-01-02,0,,"",722,"消耗品費",,,101,"現金",,,3990,"グラフィックステーション　カレンダー代",11,,,,借,仕,
2013-01-03,0,,"",721,"旅費交通費",,,101,"現金",,,710,"川崎個人タクシー協同組合　タクシー代",11,,,,借,仕,
2013-01-03,0,,"",721,"旅費交通費",,,101,"現金",,,1000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
2013-01-03,0,,"",716,"福利厚生費",2,"共　通：",101,"現金",,,415,"共　通：フォルサム　従業員早朝出勤食事代",11,,,,借,仕,
2013-01-04,0,,"",613,"材料仕入高",,,101,"現金",,,67,"ドリーム　ファスナー代",11,,,,借,仕,
2013-01-04,0,,"",726,"接待交際費",,,101,"現金",,,5240,"藤澤南口〒　得意先贈答品",11,,,,借,仕,
2013-01-04,0,,"",716,"福利厚生費",2,"共　通：",101,"現金",,,5805,"共　通：鎌倉パスタ　従業員早朝出勤食事代",11,,,,借,仕,
2013-01-04,0,,"",717,"広告宣伝費",,,101,"現金",,,320,"藤澤南口〒　年賀はがき",11,,,,借,仕,
2013-01-04,0,,"",723,"通信費",1,"事業用：",101,"現金",,,800,"事業用：藤澤南口〒　切手",11,,,,借,仕,
2013-01-04,0,,"",716,"福利厚生費",2,"共　通：",101,"現金",,,420,"共　通：ロンドンパブ　従業員早朝出勤食事代",11,,,,借,仕,
2013-01-05,0,,"",722,"消耗品費",,,101,"現金",,,924,"置地広場　店内装飾",11,,,,借,仕,
2013-01-07,0,,"",721,"旅費交通費",,,101,"現金",,,5000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
2013-01-07,0,,"",613,"材料仕入高",,,101,"現金",,,470,"ドリーム　ロック糸",11,,,,借,仕,
2013-01-07,0,,"",716,"福利厚生費",1,"事業用：",101,"現金",,,680,"事業用：ファーストキッチン　従業員残業食事代",11,,,,借,仕,
2013-01-07,0,,"",723,"通信費",1,"事業用：",101,"現金",,,850,"事業用：藤沢南口〒　レターパック代",11,,,,借,仕,
2013-01-07,0,,"",716,"福利厚生費",2,"共　通：",101,"現金",,,400,"共　通：ロンドンパブ　従業員早朝出勤食事代",11,,,,借,仕,
2013-01-08,0,,"",716,"福利厚生費",2,"共　通：",101,"現金",,,380,"共　通：ドトールコーヒー　従業員早朝出勤食事代",11,,,,借,仕,
2013-01-09,0,,"",827,"新聞図書費",,,101,"現金",,,540,"くまざわ書店　書籍代",11,,,,借,仕,
2013-01-09,0,,"",723,"通信費",1,"事業用：",101,"現金",,,700,"事業用：藤沢南口〒　レターパック代",11,,,,借,仕,
2013-01-09,0,,"",831,"賃借料",1,"事業用：",101,"現金",,,1050,"事業用：㈱サニクリーン東京　モップ代他",11,,,,借,仕,
2013-01-09,0,,"",716,"福利厚生費",1,"事業用：",101,"現金",,,700,"事業用：キオスク　従業員おやつ代",11,,,,借,仕,
2013-01-09,0,,"",196,"店主勘定",,,101,"現金",,,3432,"ノジマ　ドライヤー他",,,,,,,
2013-01-09,0,,"",728,"事務用品費",,,101,"現金",,,1197,"ロイヤルホームセンター　ホッチキス他",11,,,,借,仕,
2013-01-10,0,,"",728,"事務用品費",,,101,"現金",,,5000,"ノジマ　店内用スピーカー",11,,,,借,仕,
2013-01-10,0,,"",721,"旅費交通費",,,101,"現金",,,800,"㈱八重洲タクシー　タクシー代",11,,,,借,仕,
2013-01-10,0,,"",716,"福利厚生費",2,"共　通：",101,"現金",,,400,"共　通：ロンドンパブ　従業員早朝出勤食事代",11,,,,借,仕,
2013-01-10,0,,"",722,"消耗品費",,,101,"現金",,,892,"グラフィックステーション　カレンダー代",11,,,,借,仕,
2013-01-10,0,,"",721,"旅費交通費",,,101,"現金",,,1000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
2013-01-11,0,,"",721,"旅費交通費",,,101,"現金",,,1000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
2013-01-12,0,,"",716,"福利厚生費",1,"事業用：",101,"現金",,,1072,"事業用：ミスタードーナツ　従業員おやつ代",11,,,,借,仕,
2013-01-14,0,,"",721,"旅費交通費",,,101,"現金",,,5800,"東横ＩＮＮ湘南鎌倉藤沢駅北口　宿泊代",11,,,,借,仕,
2013-01-14,0,,"",726,"接待交際費",,,101,"現金",,,3627,"ｓａｎｗａ　仏花　お見舞い",11,,,,借,仕,
2013-01-14,0,,"",721,"旅費交通費",,,101,"現金",,,1000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
2013-01-15,0,,"",721,"旅費交通費",,,101,"現金",,,1000,"ＪＲ東日本　スイカチャージ代",11,,,,借,仕,
2013-01-15,0,,"",723,"通信費",1,"事業用：",101,"現金",,,700,"事業用：藤沢南口〒　レターパック代",11,,,,借,仕,
2013-01-16,0,,"",722,"消耗品費",,,101,"現金",,,1365,"ダイソー　ガムテープ他",11,,,,借,仕,
2013-01-16,0,,"",716,"福利厚生費",1,"事業用：",101,"現金",,,1575,"事業用：お茶と海苔　店用お茶代",11,,,,借,仕,
2013-01-17,0,,"",716,"福利厚生費",1,"事業用：",101,"現金",,,216,"事業用：サーティーワン　従業員おやつ代",11,,,,借,仕,
2013-01-18,0,,"",722,"消耗品費",,,101,"現金",,,2000,"㈲菊屋商店　ハサミ研ぎ代",11,,,,借,仕,
2013-01-18,0,,"",723,"通信費",1,"事業用：",101,"現金",,,500,"事業用：野辺地〒　レターパック代",11,,,,借,仕,
2013-01-18,0,,"",723,"通信費",1,"事業用：",101,"現金",,,2500,"事業用：日本〒　レターパック代",11,,,,借,仕,
2013-01-18,0,,"",723,"通信費",1,"事業用：",101,"現金",,,350,"事業用：平塚紅谷〒　レターパック代",11,,,,借,仕,
2013-01-20,0,,"",827,"新聞図書費",,,101,"現金",,,979,"有隣堂　書籍代",11,,,,借,仕,
2013-01-23,0,,"",716,"福利厚生費",1,"事業用：",101,"現金",,,878,"事業用：おめで鯛焼き　従業員おやつ代",11,,,,借,仕,
2013-01-23,0,,"",716,"福利厚生費",2,"共　通：",101,"現金",,,500,"共　通：ｅｃｕｔｅ　従業員早朝出勤食事代",11,,,,借,仕,
2013-01-23,0,,"",831,"賃借料",1,"事業用：",101,"現金",,,1050,"事業用：㈱サニクリーン東京　モップ代他",11,,,,借,仕,
2013-01-23,0,,"",827,"新聞図書費",,,101,"現金",,,970,"くまざわ書店　書籍代",11,,,,借,仕,
2013-01-24,0,,"",613,"材料仕入高",,,101,"現金",,,840,"ドリーム　ファスナー仕入",11,,,,借,仕,
2013-01-24,0,,"",613,"材料仕入高",,,101,"現金",,,8300,"菊池ネーム店　カケハギ代",11,,,,借,仕,
2013-01-24,0,,"",613,"材料仕入高",,,101,"現金",,,610,"ユザワヤ　ファスナー仕入",11,,,,借,仕,
2013-01-24,0,,"",314,"未払金",6,"駐車場：宮田千鶴子",101,"現金",,,16000,"２月分駐車場：宮田千鶴子",,,,,,,
