日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-11-02,,,,727,交際費,,,101,現金,,,26880,日光カントリークラブ　ゴルフプレー代,,,,,,,
2014-11-02,,,,727,交際費,,,101,現金,,,1100,日光カントリークラブ　ゴルフ場利用税,,,,,,,
2014-11-01,,,,722,旅費交通費,,,101,現金,,,1093,高砂自動車株式会社　タクシー代,,,,,,,
2014-11-08,,,,727,交際費,,,101,現金,,,5000,スターバックスコーヒー　コーヒーチケット贈答,,,,,,,
2014-11-01,,,,727,交際費,,,101,現金,,,1111,三井製パン舗　差入,,,,,,,
2014-11-09,,,,722,旅費交通費,,,101,現金,,,8908,かんぽの宿　那覇リクセンター　出張宿泊費,,,,,,,
2014-11-02,,,,722,旅費交通費,,,101,現金,,,6019,宇都宮東部ホテルグランデ　出張宿泊費,,,,,,,
2014-11-01,,,,722,旅費交通費,,,101,現金,,,42945,全日本空輸㈱　沖縄出張　11/8-11/9,,,,,,,
2014-11-08,,,,722,旅費交通費,,,101,現金,,,649,沖縄都市モノレール㈱　乗車券,,,,,,,
2014-11-08,,,,737,会議費,,,101,現金,,,528,かんぽの　那覇リクセンター　会議費,,,,,,,
2014-11-10,,,,724,通信費,,,101,現金,,,382,日本橋浜町郵便局　郵送料,,,,,,,
2014-11-10,,,,742,研修費,,,101,現金,,,926,関東磁気共鳴画像研究会　参加費,,,,,,,
2014-11-05,,,,728,消耗品費,,,101,現金,,,200,１００円ショップまさし　　消耗品,,,,,,,
2014-11-12,,,,727,交際費,,,101,現金,,,4168,㈱成城石井　贈答品,,,,,,,
2014-11-14,,,,737,会議費,,,101,現金,,,992,三井製パン舗　食事代（お茶の水）,,,,,,,
2014-11-14,,,,741,新聞図書費,,,101,現金,,,3800,文教堂書店　書籍購入代,,,,,,,
2014-11-12,,,,734,支払手数料,,,101,現金,,,491,コニカミノルタビジネスソリューションズ　コピー代,,,,,,,
2014-11-15,,,,734,支払手数料,,,101,現金,,,1922,国立国会図書館複写受託センター　コピー代,,,,,,,
2014-11-15,,,,734,支払手数料,,,101,現金,,,820,国立国会図書館複写受託センター　コピー代,,,,,,,
2014-11-19,,,,727,交際費,,,101,現金,,,3800,㈱ロイヤルパークホテル　贈答品,,,,,,,
2014-11-26,,,,729,事務用品費,,,101,現金,,,900,㈱かめや　事務用消耗品,,,,,,,
2014-11-28,,,,729,事務用品費,,,101,現金,,,800,㈱かめや　事務用消耗品代,,,,,,,
2014-11-28,,,,741,新聞図書費,,,101,現金,,,815,文教堂書店　書籍購入代,,,,,,,
2014-11-28,,,,734,支払手数料,,,101,現金,,,275,Kinko's　コピー代,,,,,,,
2014-11-28,,,,741,新聞図書費,,,101,現金,,,1417,文教堂書店　書籍購入代,,,,,,,
2014-11-22,,,,727,交際費,,,101,現金,,,3667,全日本空輸㈱　お土産,,,,,,,
2014-11-29,,,,727,交際費,,,101,現金,,,2130,Lumiire お土産,,,,,,,
2014-11-13,,,,724,通信費,,,101,現金,,,13482,宇都宮中央郵便局　年賀状,,,,,,,
2014-11-05,,,,737,会議費,,,101,現金,,,973,BOOKSHELFCAFE　移動時昼食,,,,,,,
2014-11-16,,,,737,会議費,,,101,現金,,,1112,coloR.Tokyo Night Cafe 　勉強会（お茶の水・慈恵）,,,,,,,
2014-11-21,,,,727,交際費,,,101,現金,,,2800,三越日本橋本店フォートナムメイソン　贈答用紅茶,,,,,,,
2014-11-01,,,,727,交際費,,,101,現金,,,13889,㈱存じやす　飲食代（小野先生、計2名）,,,,,,,
2014-11-09,,,,737,会議費,,,101,現金,,,5861,レストランラグー　会議費（医事新報編集者、自社2名　計3名）,,,,,,,
2014-11-10,,,,737,会議費,,,101,現金,,,2319,かっぽうぎアレア品川店　会議費　佐藤先生　計2名,,,,,,,
2014-11-15,,,,737,会議費,,,101,現金,,,6482,MARUGO GRANDE　会議費　古賀先生　計2名,,,,,,,
2014-11-20,,,,737,会議費,,,101,現金,,,6019,㈲味乃曙　役員会議費３名　役員報酬検討,,,,,,,
2014-11-21,,,,737,会議費,,,101,現金,,,2778,SCIROCCO　会議費　丸子先生　計2名,,,,,,,
2014-11-28,,,,727,交際費,,,101,現金,,,35186,みやはら　飲食代　慈恵会多田教授　喜寿祝い,,,,,,,
2014-11-05,,,,737,会議費,,,101,現金,,,4075,BOOKSHELFCAFE　移動時昼食,,,,,,,
2014-11-14,,,,742,研修費,,,101,現金,,,463,かしわ画像研究会　参加費,,,,,,,
2014-11-15,,,,742,研修費,,,101,現金,,,926,Radio　Update学術講演会　講演会参加費,,,,,,,
2014-11-04,,1,,999,,,,166,売掛金,1,（医）慈恵会,280000,（医）慈恵会　売掛金回収,,,,,,,
2014-11-04,,1,,121,普通預金みずほ,,,999,,,,279136,(医)慈圭会　 振込入金,,,,,,,
2014-11-04,,1,,734,支払手数料,,,999,,,,800,みずほ銀行小舟町支店　 送金手数料,,,,,,,
2014-11-05,,2,,121,普通預金みずほ,,,166,売掛金,3,㈱竹中工務店,70000,㈱竹中工務店　売掛金回収,,,,,,,
2014-11-05,,3,,319,未払費用,,,121,普通預金みずほ,,,96910,田中宏　未払役員報酬・地代家賃　,,,,,,,
2014-11-05,,3,,319,未払費用,,,121,普通預金みずほ,,,167116,田中美恵子　未払役員報酬,,,,,,,
2014-11-05,,3,,319,未払費用,,,121,普通預金みずほ,,,50000,鷲津　光郎　未払役員報酬,,,,,,,
2014-11-05,,3,,319,未払費用,,,121,普通預金みずほ,,,50000,鷲津　ミツイ　未払役員報酬,,,,,,,
2014-11-05,,3,,734,支払手数料,,,121,普通預金みずほ,,,800,みずほ銀行小舟町支店　 振込手数料,,,,,,,
2014-11-17,,4,,734,支払手数料,,,121,普通預金みずほ,,,2000,みずほ銀行　小舟町支店　WEB手数料,,,,,,,
2014-11-17,,5,,121,普通預金みずほ,,,166,売掛金,4,日本健康管理協会,202948,日本健康管理協会　売掛金回収,,,,,,,
2014-11-28,,6,,121,普通預金みずほ,,,166,売掛金,5,お茶の水駿河台クリニック,490000,お茶の水駿河台クリニック　売掛金回収,,,,,,,
2014-11-28,,7,,734,支払手数料,,,121,普通預金みずほ,,,27000,さくら中央税理士法人　 税理士報酬,,,,,,,
2014-11-28,,8,,121,普通預金みずほ,,,166,売掛金,6,昭正会,100000,昭正会　売掛金回収,,,,,,,
2014-11-28,,9,,121,普通預金みずほ,,,166,売掛金,2,八反丸善文,64800,八反丸善文 　売掛金回収,,,,,,,
2014-11-30,,10,,744,地代家賃,,,121,普通預金みずほ,,,252900,独）都市再生機構　社宅家賃,,,,,,,
2014-11-30,,11,,716,法定福利費,,,121,普通預金みずほ,,,140707,中央年金事務所　 社会保険料,,,,,,,
2014-11-30,,12,,319,未払費用,,,121,普通預金みずほ,,,276910,田中　宏　未払役員報酬・地代家賃,,,,,,,
2014-11-30,,12,,319,未払費用,,,121,普通預金みずほ,,,167116,田中美恵子　未払役員報酬,,,,,,,
2014-11-30,,12,,319,未払費用,,,121,普通預金みずほ,,,50000,鷲津　光郎　未払役員報酬,,,,,,,
2014-11-30,,12,,319,未払費用,,,121,普通預金みずほ,,,50000,鷲津　ミツイ　未払役員報酬,,,,,,,
2014-11-30,,12,,734,支払手数料,,,121,普通預金みずほ,,,800,みずほ銀行小舟町支店　 振込手数料,,,,,,,
2014-11-30,,13,,711,役員報酬,,,999,,,,270000,田中宏　 役員報酬,,,,,,,
2014-11-30,,13,,711,役員報酬,,,999,,,,200000,田中美恵子　 役員報酬,,,,,,,
2014-11-30,,13,,711,役員報酬,,,999,,,,50000,鷲津光郎　 役員報酬,,,,,,,
2014-11-30,,13,,711,役員報酬,,,999,,,,50000,鷲津ミツイ　 役員報酬,,,,,,,
2014-11-30,,13,,999,,,,716,法定福利費,,,16366,田中宏　 健康保険料,,,,,,,
2014-11-30,,13,,999,,,,716,法定福利費,,,24464,田中宏　 厚生年金保険料,,,,,,,
2014-11-30,,13,,999,,,,316,預り金,1,給与源泉税,5810,田中宏　 源泉所得税,,,,,,,
2014-11-30,,13,,999,,,,716,法定福利費,,,11690,田中美恵子　 健康保険料,,,,,,,
2014-11-30,,13,,999,,,,716,法定福利費,,,17474,田中美恵子　 厚生年金保険料,,,,,,,
2014-11-30,,13,,999,,,,316,預り金,1,給与源泉税,3720,田中美恵子　 源泉所得税,,,,,,,
2014-11-30,,13,,999,,,,813,雑収入,,,126450,田中宏　社宅負担金,,,,,,,
2014-11-30,,13,,999,,,,319,未払費用,,,96910,田中宏　未払役員報酬,,,,,,,
2014-11-30,,13,,999,,,,319,未払費用,,,167116,田中美恵子　未払役員報酬,,,,,,,
2014-11-30,,13,,999,,,,319,未払費用,,,50000,鷲津光郎　未払役員報酬,,,,,,,
2014-11-30,,13,,999,,,,319,未払費用,,,50000,鷲津ミツイ　未払役員報酬,,,,,,,
2014-11-30,,14,,744,地代家賃,,,319,未払費用,,,166667,田中宏　 未払事務所家賃,,,,,,,
2014-11-05,,3,,187,前払費用,,,121,普通預金みずほ,,,180000,田中宏　前払事務所家賃,,,,,,,
2014-12-09,,,,729,事務用品費,,,101,現金,,,1358,㈱かめや　事務用消耗品,,,,,,,
2014-12-09,,,,722,旅費交通費,,,101,現金,,,676,大和自動車㈱　タクシー代,,,,,,,
2014-12-09,,,,728,消耗品費,,,101,現金,,,100,100円ショップまさし　消耗雑貨代,,,,,,,
2014-12-09,,,,741,新聞図書費,,,101,現金,,,2778,書籍購入代,,,,,,,
2014-12-09,,,,734,支払手数料,,,101,現金,,,370,日本橋人形町郵便局　郵便小為替代金,,,,,,,
2014-12-09,,,,728,消耗品費,,,101,現金,,,500,100円ショップまさし　消耗雑貨代,,,,,,,
2014-12-09,,,,729,事務用品費,,,101,現金,,,1100,㈱かめや　事務用消耗品,,,,,,,
2014-12-09,,,,727,交際費,,,101,現金,,,4650,三越サティー　贈答品,,,,,,,
2014-12-09,,,,727,交際費,,,101,現金,,,13806,中華料理翠蓮　飲食代,,,,,,,
2014-12-09,,,,722,旅費交通費,,,101,現金,,,9259,チャージ代,,,,,,,
2014-12-09,,,,728,消耗品費,,,101,現金,,,1697,Ｔｏｍｏｄ’ｓ　消耗雑貨代,,,,,,,
2014-12-09,,,,741,新聞図書費,,,101,現金,,,12852,文永堂書店　医学書代,,,,,,,
2014-12-09,,,,724,通信費,,,101,現金,,,402,日本橋人形町郵便局　　切手代,,,,,,,
2014-12-09,,,,734,支払手数料,,,101,現金,,,7740,Kinko's　年賀状印刷代,,,,,,,
2014-12-09,,,,737,会議費,,,101,現金,,,1309,ロイヤルデリカ　会議弁当代,,,,,,,
2014-12-09,,,,727,交際費,,,101,現金,,,798,オクシタニアル　贈答品,,,,,,,
2014-12-09,,,,727,交際費,,,101,現金,,,1559,オクシタニアル　贈答品,,,,,,,
2014-12-09,,,,739,諸会費,,,101,現金,,,12000,慈光会　会費,,,,,,,
2014-12-09,,,,316,預り金,1,給与源泉税,101,現金,,,35070,日本橋税務署　給与源泉税納付,,,,,,,
2014-12-09,,,,323,未払法人税等,,,101,現金,,,70000,中央都税事務所　法人市民税納付,,,,,,,
2014-12-09,,,,724,通信費,,,101,現金,,,306,日本橋浜町郵便局　郵送料,,,,,,,
2014-12-09,,,,741,新聞図書費,,,101,現金,,,1809,アトレヴィ三鷹店　書籍代,,,,,,,
2014-12-09,,,,724,通信費,,,101,現金,,,144,日本橋浜町郵便局　郵送料,,,,,,,
2014-12-09,,,,728,消耗品費,,,101,現金,,,1466,Ｔｏｍｏｄ’ｓ　消耗雑貨代,,,,,,,
2014-12-09,,,,724,通信費,,,101,現金,,,130,日本橋浜町郵便局　郵送料,,,,,,,
2014-12-09,,,,724,通信費,,,101,現金,,,1444,日本橋浜町郵便局　年賀状,,,,,,,
2014-12-09,,,,727,交際費,,,101,現金,,,4000,ロイヤルデリカ　贈答品,,,,,,,
2014-12-09,,,,734,支払手数料,,,101,現金,,,10000,Lavocボーカル教室　受講料,,,,,,,
2014-12-09,,,,729,事務用品費,,,101,現金,,,1529,㈱かめや　事務用消耗品,,,,,,,
2014-12-09,,,,742,研修費,,,101,現金,,,926,東京マグネトム研究会事務局　研究会参加会費,,,,,,,
2014-12-09,,,,737,会議費,,,101,現金,,,926,東京マグネトム研究会事務局　懇親会会費,,,,,,,
