日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-01-05,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",3660,"靴修理売上",11,,,1,貸,売,
2015-01-06,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6476,"靴修理売上",11,,,1,貸,売,
2015-01-07,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",15340,"靴修理売上",11,,,1,貸,売,
2015-01-08,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",11100,"靴修理売上",11,,,1,貸,売,
2015-01-09,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",13740,"靴修理売上",11,,,1,貸,売,
2015-01-10,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",15640,"靴修理売上",11,,,1,貸,売,
2015-01-12,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",16410,"靴修理売上",11,,,1,貸,売,
2015-01-13,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7980,"靴修理売上",11,,,1,貸,売,
2015-01-14,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",9610,"靴修理売上",11,,,1,貸,売,
2015-01-15,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",4530,"靴修理売上",11,,,1,貸,売,
2015-01-16,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",5730,"靴修理売上",11,,,1,貸,売,
2015-01-17,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",11640,"靴修理売上",11,,,1,貸,売,
2015-01-19,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",21900,"靴修理売上",11,,,1,貸,売,
2015-01-20,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",13880,"靴修理売上",11,,,1,貸,売,
2015-01-21,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",10570,"靴修理売上",11,,,1,貸,売,
2015-01-22,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7540,"靴修理売上",11,,,1,貸,売,
2015-01-23,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6910,"靴修理売上",11,,,1,貸,売,
2015-01-24,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",8260,"靴修理売上",11,,,1,貸,売,
2015-01-26,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7760,"靴修理売上",11,,,1,貸,売,
2015-01-27,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7660,"靴修理売上",11,,,1,貸,売,
2015-01-28,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",16280,"靴修理売上",11,,,1,貸,売,
2015-01-29,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",12200,"靴修理売上",11,,,1,貸,売,
2015-01-31,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",5400,"靴修理売上",11,,,1,貸,売,
2015-02-02,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",4960,"靴修理売上",11,,,1,貸,売,
2015-02-03,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6830,"靴修理売上",11,,,1,貸,売,
2015-02-04,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",4970,"靴修理売上",11,,,1,貸,売,
2015-02-05,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",5180,"靴修理売上",11,,,1,貸,売,
2015-02-06,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",11220,"靴修理売上",11,,,1,貸,売,
2015-02-07,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",14140,"靴修理売上",11,,,1,貸,売,
2015-02-09,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",13140,"靴修理売上",11,,,1,貸,売,
2015-02-10,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6580,"靴修理売上",11,,,1,貸,売,
2015-02-11,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",8530,"靴修理売上",11,,,1,貸,売,
2015-02-12,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",8840,"靴修理売上",11,,,1,貸,売,
2015-02-13,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",3900,"靴修理売上",11,,,1,貸,売,
2015-02-14,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",14160,"靴修理売上",11,,,1,貸,売,
2015-02-16,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7780,"靴修理売上",11,,,1,貸,売,
2015-02-17,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",9480,"靴修理売上",11,,,1,貸,売,
2015-02-18,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",8320,"靴修理売上",11,,,1,貸,売,
2015-02-19,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",1720,"靴修理売上",11,,,1,貸,売,
2015-02-20,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6900,"靴修理売上",11,,,1,貸,売,
2015-02-21,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",9810,"靴修理売上",11,,,1,貸,売,
2015-02-23,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",1300,"靴修理売上",11,,,1,貸,売,
2015-02-24,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7760,"靴修理売上",11,,,1,貸,売,
2015-02-25,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6140,"靴修理売上",11,,,1,貸,売,
2015-02-26,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",5400,"靴修理売上",11,,,1,貸,売,
2015-02-27,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",9920,"靴修理売上",11,,,1,貸,売,
2015-02-28,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7760,"靴修理売上",11,,,1,貸,売,
2015-01-05,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",4860,"合鍵作製売上",11,,,10,貸,売,
2015-01-06,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",4320,"合鍵作製売上",11,,,10,貸,売,
2015-01-07,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",540,"合鍵作製売上",11,,,10,貸,売,
2015-01-08,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",6480,"合鍵作製売上",11,,,10,貸,売,
2015-01-09,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",6660,"合鍵作製売上",11,,,10,貸,売,
2015-01-12,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",1080,"合鍵作製売上",11,,,10,貸,売,
2015-01-13,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",1620,"合鍵作製売上",11,,,10,貸,売,
2015-01-14,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",1620,"合鍵作製売上",11,,,10,貸,売,
2015-01-15,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",4860,"合鍵作製売上",11,,,10,貸,売,
2015-01-16,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",30780,"合鍵作製売上",11,,,10,貸,売,
2015-01-17,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",1080,"合鍵作製売上",11,,,10,貸,売,
2015-01-19,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2700,"合鍵作製売上",11,,,10,貸,売,
2015-01-20,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2700,"合鍵作製売上",11,,,10,貸,売,
2015-01-21,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2700,"合鍵作製売上",11,,,10,貸,売,
2015-01-22,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",540,"合鍵作製売上",11,,,10,貸,売,
2015-01-23,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",1080,"合鍵作製売上",11,,,10,貸,売,
2015-01-24,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2160,"合鍵作製売上",11,,,10,貸,売,
2015-01-26,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",4320,"合鍵作製売上",11,,,10,貸,売,
2015-01-27,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",4860,"合鍵作製売上",11,,,10,貸,売,
2015-01-28,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2160,"合鍵作製売上",11,,,10,貸,売,
2015-01-29,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2480,"合鍵作製売上",11,,,10,貸,売,
2015-01-30,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",8100,"合鍵作製売上",11,,,10,貸,売,
2015-01-31,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",5940,"合鍵作製売上",11,,,10,貸,売,
2015-02-02,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2160,"合鍵作製売上",11,,,10,貸,売,
2015-02-03,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",3780,"合鍵作製売上",11,,,10,貸,売,
2015-02-04,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",7560,"合鍵作製売上",11,,,10,貸,売,
2015-02-05,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",3780,"合鍵作製売上",11,,,10,貸,売,
2015-02-06,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2480,"合鍵作製売上",11,,,10,貸,売,
2015-02-07,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",1080,"合鍵作製売上",11,,,10,貸,売,
2015-02-09,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2970,"合鍵作製売上",11,,,10,貸,売,
2015-02-10,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",5400,"合鍵作製売上",11,,,10,貸,売,
2015-02-11,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2160,"合鍵作製売上",11,,,10,貸,売,
2015-02-12,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",860,"合鍵作製売上",11,,,10,貸,売,
2015-02-13,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",3560,"合鍵作製売上",11,,,10,貸,売,
2015-02-14,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",7992,"合鍵作製売上",11,,,10,貸,売,
2015-02-16,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",4320,"合鍵作製売上",11,,,10,貸,売,
2015-02-17,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",3240,"合鍵作製売上",11,,,10,貸,売,
2015-02-18,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",5500,"合鍵作製売上",11,,,10,貸,売,
2015-02-19,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",11340,"合鍵作製売上",11,,,10,貸,売,
2015-02-20,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",4860,"合鍵作製売上",11,,,10,貸,売,
2015-02-21,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",5400,"合鍵作製売上",11,,,10,貸,売,
2015-02-23,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2700,"合鍵作製売上",11,,,10,貸,売,
2015-02-24,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2160,"合鍵作製売上",11,,,10,貸,売,
2015-02-25,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",2160,"合鍵作製売上",11,,,10,貸,売,
2015-02-26,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",1620,"合鍵作製売上",11,,,10,貸,売,
2015-02-27,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",1080,"合鍵作製売上",11,,,10,貸,売,
2015-02-28,0,,"",101,"現金",,,511,"売上高",101,"合鍵作製売上",4860,"合鍵作製売上",11,,,10,貸,売,
2015-01-05,0,,"",101,"現金",,,511,"売上高",102,"小物販売売上",2160,"小物販売売上",11,,,100,貸,売,
2015-01-07,0,,"",101,"現金",,,511,"売上高",102,"小物販売売上",648,"小物販売売上",11,,,100,貸,売,
2015-01-09,0,,"",101,"現金",,,511,"売上高",102,"小物販売売上",1920,"小物販売売上",11,,,100,貸,売,
2015-01-10,0,,"",101,"現金",,,511,"売上高",102,"小物販売売上",756,"小物販売売上",11,,,100,貸,売,
2015-01-13,0,,"",101,"現金",,,511,"売上高",102,"小物販売売上",756,"小物販売売上",11,,,100,貸,売,
2015-01-14,0,,"",101,"現金",,,511,"売上高",102,"小物販売売上",540,"小物販売売上",11,,,100,貸,売,
