日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2012-01-01,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",10700,"靴修理売上",11,,,1,貸,売,
2012-01-05,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",2600,"靴修理売上",11,,,1,貸,売,
2012-01-06,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7600,"靴修理売上",11,,,1,貸,売,
2012-01-07,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",9400,"靴修理売上",11,,,1,貸,売,
2012-01-09,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",15500,"靴修理売上",11,,,1,貸,売,
2012-01-10,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",4600,"靴修理売上",11,,,1,貸,売,
2012-01-11,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7600,"靴修理売上",11,,,1,貸,売,
2012-01-12,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",9300,"靴修理売上",11,,,1,貸,売,
2012-01-13,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",10600,"靴修理売上",11,,,1,貸,売,
2012-01-14,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",12300,"靴修理売上",11,,,1,貸,売,
2012-01-16,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6400,"靴修理売上",11,,,1,貸,売,
2012-01-17,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",14200,"靴修理売上",11,,,1,貸,売,
2012-01-18,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",11200,"靴修理売上",11,,,1,貸,売,
2012-01-19,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",11200,"靴修理売上",11,,,1,貸,売,
2012-01-20,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7800,"靴修理売上",11,,,1,貸,売,
2012-01-21,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6600,"靴修理売上",11,,,1,貸,売,
2012-01-23,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7900,"靴修理売上",11,,,1,貸,売,
2012-01-24,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7700,"靴修理売上",11,,,1,貸,売,
2012-01-25,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",9100,"靴修理売上",11,,,1,貸,売,
2012-01-26,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",13600,"靴修理売上",11,,,1,貸,売,
2012-01-27,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",15100,"靴修理売上",11,,,1,貸,売,
2012-01-28,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",8700,"靴修理売上",11,,,1,貸,売,
2012-01-30,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7600,"靴修理売上",11,,,1,貸,売,
2012-01-31,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",10300,"靴修理売上",11,,,1,貸,売,
2012-02-01,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6500,"靴修理売上",11,,,1,貸,売,
2012-02-02,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7400,"靴修理売上",11,,,1,貸,売,
2012-02-03,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",9300,"靴修理売上",11,,,1,貸,売,
2012-02-04,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7100,"靴修理売上",11,,,1,貸,売,
2012-02-06,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7600,"靴修理売上",11,,,1,貸,売,
2012-02-07,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",7000,"靴修理売上",11,,,1,貸,売,
2012-02-08,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",6000,"靴修理売上",11,,,1,貸,売,
2012-02-09,0,,"",101,"現金",,,511,"売上高",100,"靴修理売上",10800,"靴修理売上",11,,,1,貸,売,
