日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-01-05,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,19000,現金売上,,,,,,,
2015-01-06,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,6000,現金売上,,,,,,,
2015-01-07,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,19000,現金売上,,,,,,,
2015-01-08,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,20000,現金売上,,,,,,,
2015-01-09,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,19000,現金売上,,,,,,,
2015-01-10,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,4000,現金売上,,,,,,,
2015-01-13,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,21000,現金売上,,,,,,,
2015-01-14,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,8000,現金売上,,,,,,,
2015-01-15,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,14000,現金売上,,,,,,,
2015-01-16,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,33000,現金売上,,,,,,,
2015-01-17,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,11000,現金売上,,,,,,,
2015-01-19,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,15000,現金売上,,,,,,,
2015-01-20,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,35000,現金売上,,,,,,,
2015-01-21,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,21000,現金売上,,,,,,,
2015-01-22,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,22000,現金売上,,,,,,,
2015-01-23,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,60000,現金売上,,,,,,,
2015-01-24,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,6000,現金売上,,,,,,,
2015-01-26,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,17000,現金売上,,,,,,,
2015-01-27,,,,102,現金（ロングラン）,2,売上現金,701,売上高（ロングラン）,1,店内飲食,21000,現金売上,,,,,,,
