日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2012-12-01,0,,"0006",722,"旅費交通費",2,"本社：",133,"普通三井新横１",,,27250,"本社：ﾄﾖﾀF.ETC通行料金",11,,3,,借,仕,
2012-12-03,0,,"",314,"未払金",700,"黒岩勇夫",133,"普通三井新横１",,,27360,"黒岩勇夫",,,,,,,
2012-12-05,0,,"0006",720,"役員賞与",,,999,"諸口",,,4980000,"冬期賞与　黒岩為人",4,,,,借,仕,
2012-12-05,0,,"0006",720,"役員賞与",,,999,"諸口",,,320000,"冬期賞与　黒岩勇夫",4,,,,借,仕,
2012-12-05,0,,"0006",720,"役員賞与",,,999,"諸口",,,280000,"冬期賞与　江川由夏",4,,,,借,仕,
2012-12-05,0,,"0006",720,"役員賞与",,,999,"諸口",,,100000,"冬期賞与　米田進",4,,,,借,仕,
2012-12-05,0,,"",999,"諸口",,,316,"預り金",4,"・健康保険料",29560,"冬期役員賞与・健康保険料　",,,,,,,
2012-12-05,0,,"",999,"諸口",,,316,"預り金",5,"・厚生年金保険料",23472,"冬期役員賞与・厚生年金保険料",,,,,,,
2012-12-05,0,,"",999,"諸口",,,316,"預り金",1,"・給与源泉所得税",1930383,"冬期役員賞与・給与源泉所得税",,,,,,,
2012-12-05,0,,"",314,"未払金",9998,"他:",999,"諸口",,,5744,"他:黒岩勇夫　",,,,,,,
2012-12-05,0,,"",314,"未払金",9998,"他:",999,"諸口",,,385,"他:江川由夏",,,,,,,
2012-12-05,0,,"",999,"諸口",,,133,"普通三井新横１",,,3702714,"冬期役員賞与　至急",,,,,,,
2012-12-10,0,,"",133,"普通三井新横１",,,318,"仮受金",,,107514,"硝子健保組合　竹内浩二分傷病手当金",,,,,,,
2012-12-10,0,,"",314,"未払金",1100,"JCBｶｰﾄﾞ:",133,"普通三井新横１",,,59029,"JCBｶ-ﾄﾞ:",,,,,,,
2012-12-10,0,,"",316,"預り金",3,"・住民税",133,"普通三井新横１",,,708200,"月分・住民税　納付",,,,,,,
2012-12-10,0,,"",316,"預り金",1,"・給与源泉所得税",999,"諸口",,,2064850,"月分・給与源泉所得税　納付",,,,,,,
2012-12-10,0,,"",316,"預り金",1,"・給与源泉所得税",999,"諸口",,,262510,"冬期賞与・給与源泉所得税　納付",,,,,,,
2012-12-10,0,,"",316,"預り金",2,"・報酬源泉所得税",999,"諸口",,,168410,"月分・報酬源泉所得税　納付",,,,,,,
2012-12-10,0,,"",999,"諸口",,,133,"普通三井新横１",,,2495770,"月分源泉所得税　納付",,,,,,,
2012-12-13,0,,"0006",734,"支払手数料",,,133,"普通三井新横１",,,1144,"三井住友 地方税ｗｅｂ手数料",11,,3,,借,仕,
2012-12-14,0,,"0006",734,"支払手数料",,,133,"普通三井新横１",,,840,"三井住友　残高証明書",11,,3,,借,仕,
2012-12-17,0,,"0006",734,"支払手数料",,,999,"諸口",,,5250,"三井住友 EB手数料",11,,3,,借,仕,
2012-12-17,0,,"0006",734,"支払手数料",,,999,"諸口",,,735,"三井住友 為替関係手数料",11,,3,,借,仕,
2012-12-17,0,,"",999,"諸口",,,133,"普通三井新横１",,,5985,"三井住友 為替関係手数料　他",,,,,,,
2012-12-17,0,,"0006",734,"支払手数料",,,133,"普通三井新横１",,,80745,"三井住友 為替関係手数料",11,,3,,借,仕,
2012-12-17,0,,"0006",724,"通信費",,,133,"普通三井新横１",,,29849,"10月分NTT 電話料金　045-472-5711　本社：",11,,3,,借,仕,
2012-12-17,0,,"0006",724,"通信費",,,133,"普通三井新横１",,,3471,"10月分NTT 電話料金　045-472-0255　本社：",11,,3,,借,仕,
2012-12-17,0,,"0006",657,"支払保険料",,,133,"普通三井新横１",,,54990,"㈲東京ﾗｲﾌｻﾎﾟ-ﾄ　東京海上日動火災保険　賠償保険料",2,,,,借,仕,
2012-12-17,0,,"0006",657,"支払保険料",,,133,"普通三井新横１",,,3260,"㈲東京ﾗｲﾌｻﾎﾟ-ﾄ　東京海上日動火災保険　賠償保険料",2,,,,借,仕,
2012-12-25,0,,"0001",712,"給料手当",,,999,"諸口",,,3505348,"月分給料 海老名17名",4,,,,借,仕,
2012-12-25,0,,"0001",722,"旅費交通費",1,"通勤定期代：",999,"諸口",,,409990,"通勤定期代：月分給料 海老名17名",11,,1,,借,仕,
2012-12-25,0,,"0002",712,"給料手当",,,999,"諸口",,,1042060,"月分給料 ﾌｧｼﾘﾃｨ7名",4,,,,借,仕,
2012-12-25,0,,"0002",722,"旅費交通費",1,"通勤定期代：",999,"諸口",,,23964,"通勤定期代：月分給料 ﾌｧｼﾘﾃｨ7名",11,,1,,借,仕,
2012-12-25,0,,"0003",712,"給料手当",,,999,"諸口",,,8848981,"月分給料 川崎45名",4,,,,借,仕,
2012-12-25,0,,"0003",722,"旅費交通費",1,"通勤定期代：",999,"諸口",,,475823,"通勤定期代：月分給料 川崎45名",11,,1,,借,仕,
