日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-04-01,0,1,"0010",731,"賃借料",,,999,"諸口",,,26250,"リース料(HP保守代)",205,,,,借,仕,
2015-04-01,0,1,"0001",999,"諸口",,,314,"未払金",2,"リース料",26250,"リース料(HP保守代)",,,,,,,
2015-04-01,0,1,"0010",731,"賃借料",,,999,"諸口",,,19950,"リース料(赤羽店ビジネスフォン代)",205,,,,借,仕,
2015-04-01,0,1,"0001",999,"諸口",,,314,"未払金",2,"リース料",19950,"リース料(赤羽店ビジネスフォン代)",,,,,,,
2015-04-01,0,1,"0010",731,"賃借料",,,999,"諸口",,,10500,"リース料(荒川店ビジネスフォン代)",205,,,,借,仕,
2015-04-01,0,1,"0001",999,"諸口",,,314,"未払金",2,"リース料",10500,"リース料(荒川店ビジネスフォン代)",,,,,,,
2015-04-01,0,1,"0010",999,"諸口",,,999,"諸口",,,60795,"リース料(赤羽店複合機・福井コンピュータ",,,,,,,
2015-04-01,0,1,"0001",999,"諸口",,,314,"未払金",2,"リース料",60795,"リース料(赤羽店複合機・福井コンピュータ",,,,,,,
2015-04-01,0,1,"0010",731,"賃借料",,,999,"諸口",,,46620,"リース料(赤羽店複合機・福井コンピュータ",205,,,,借,仕,
2015-04-01,0,1,"0001",999,"諸口",,,999,"諸口",,,46620,"リース料(赤羽店複合機・福井コンピュータ",,,,,,,
2015-04-01,0,1,"0010",731,"賃借料",,,999,"諸口",,,14175,"リース料(赤羽店複合機)",205,,,,借,仕,
2015-04-01,0,1,"0010",999,"諸口",,,999,"諸口",,,145842,"リース料(赤羽店車両8％分)",,,,,,,
2015-04-01,0,1,"0001",999,"諸口",,,314,"未払金",2,"リース料",145842,"リース料(赤羽店車両8％分)",,,,,,,
2015-04-01,0,1,"0010",731,"賃借料",,,999,"諸口",,,73440,"リース料(赤羽店車両8％分)",11,,,,借,仕,
2015-04-01,0,1,"0001",999,"諸口",,,999,"諸口",,,73440,"リース料(赤羽店車両8％分)",,,,,,,
2015-04-01,0,1,"0010",731,"賃借料",,,999,"諸口",,,28770,"リース料(赤羽店車両5％分)",205,,,,借,仕,
