日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-07-01,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",38550,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-02,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",68190,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-03,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",38080,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-04,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",42980,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-07,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",32960,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-08,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",53250,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-09,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",14800,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-10,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",34550,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-11,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",60950,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-14,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",28130,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-15,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",30700,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-16,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",36630,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-17,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",23200,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-18,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",37350,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-22,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",29720,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-23,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",41760,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-24,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",41850,"現金売上（昼）店内飲食",11,,,,貸,売,
2014-07-25,0,,"",102,"店舗現金",1,"売上",512,"現金売上",1,"昼",38930,"現金売上（昼）店内飲食",11,,,,貸,売,
