日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-06-22,,,,115,普通預金,,,500,資本金,,,4000000,設立,,,,,,,
2015-06-22,,1,,260,創立費,,,000,,,,51980,定款認証,,,,,,,
2015-06-22,,1,,000,,,,420,未払金,1,金子,225520,創立費　金子,,,,,,,
2015-06-22,,1,,260,創立費,,,000,,,,150000,印紙代,,,,,,,
2015-06-22,,1,,000,,,,420,未払金,2,傳田,9104,創立費　傳田,,,,,,,
2015-06-22,,1,,761,事務用品費,,,000,,,,21797,ハンコ代,,,,,,,
2015-06-22,,1,,260,創立費,,,000,,,,4930,電子定款作成代行料,,,,,,,
2015-06-24,,,,205,工具器具備品,,,420,未払金,2,傳田,206800,Sony　VAIO Pro13　ノートPC,,,,,,,
2015-06-26,,,,761,事務用品費,,,420,未払金,2,傳田,1433,傳田 ウイルスソフト,,,,,,,
2015-06-22,,1,,756,通信費,,,000,,,,3500,システム利用料,,,,,,,
2015-06-29,,,,783,租税公課,,,420,未払金,1,金子,2850,金子　印紙代,,,,,,,
2015-06-30,,,,761,事務用品費,,,420,未払金,1,金子,2423,金子　事務用品,,,,,,,
2015-07-13,,3,,999,税理士等報酬,,,000,,,,10800,社労士,,,,,,,
2015-07-13,,3,,000,,,,115,普通預金,,,9779,社労士,,,,,,,
2015-07-13,,3,,000,,,,427,預り金,1,源泉所得税,1021,社労士源泉,,,,,,,
2015-07-13,,3,,766,支払手数料,,,000,,,,500,振込手数料,,,,,,,
2015-07-13,,3,,000,,,,115,普通預金,,,540,振込手数料,,,,,,,
2015-07-16,,4,,782,賃借料,,,115,普通預金,,,100000,７月・８月分,,,,,,,
2015-07-16,,4,,766,支払手数料,,,115,普通預金,,,700,振込手数料,,,,,,,
2015-07-28,,5,,999,税理士等報酬,,,115,普通預金,,,10800,税理士,,,,,,,
2015-08-06,,6,,427,預り金,2,住民税,115,普通預金,,,15600,傳田　住民税,,,,,,,
2015-08-06,,6,,427,預り金,2,住民税,115,普通預金,,,23500,金子　住民税,,,,,,,
2015-08-14,,7,,420,未払金,2,傳田,115,普通預金,,,418928,傳田給与,,,,,,,
2015-08-14,,7,,420,未払金,1,金子,115,普通預金,,,469324,金子給与,,,,,,,
2015-08-14,,7,,766,支払手数料,,,115,普通預金,,,1400,振込手数料,,,,,,,
2015-08-19,,8,,999,税理士等報酬,,,000,,,,10800,社労士,,,,,,,
2015-08-19,,8,,000,,,,115,普通預金,,,9779,社労士源泉,,,,,,,
2015-08-19,,8,,000,,,,427,預り金,1,源泉所得税,1021,社労士源泉,,,,,,,
2015-08-19,,8,,766,支払手数料,,,000,,,,500,振込手数料,,,,,,,
2015-08-19,,8,,000,,,,115,普通預金,,,540,振込手数料,,,,,,,
