日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-06-02,,1,,314,未払金,12,名鉄運輸(株)小牧,999,,,,2700,名鉄運輸(株)小牧　４月分,,,,,,,
2014-06-02,,1,,999,,,,121,普通東京三菱,,,2268,名鉄運輸(株)小牧　４月分 ,,,,,,,
2014-06-02,,1,,999,,,,121,普通東京三菱,,,108,名鉄運輸(株)小牧　 振込手数料,,,,,,,
2014-06-02,,1,,999,,,,719,運賃,,,324,名鉄運輸(株)小牧　値引,,,,,,,
2014-06-02,,2,,314,未払金,7,ｾｲﾉｰｽｰﾊﾟｰE㈱岡山,999,,,,2835,西武運輸㈱岡山　４月分 ,,,,,,,
2014-06-02,,2,,999,,,,121,普通東京三菱,,,2403,西武運輸㈱岡山　４月分,,,,,,,
2014-06-02,,2,,999,,,,121,普通東京三菱,,,108,西武運輸㈱岡山　 振込手数料,,,,,,,
2014-06-02,,2,,999,,,,719,運賃,,,324,西武運輸㈱岡山　値引,,,,,,,
2014-06-02,,3,,314,未払金,15,九州西濃運輸㈱,121,普通東京三菱,,,6717,九州西濃運輸㈱　４月分,,,,,,,
2014-06-02,,3,,734,支払手数料,,,121,普通東京三菱,,,500,九州西濃運輸㈱　 振込手数料,,,,,,,
2014-06-02,,4,,312,買掛金,601,(株)エビスヤ,999,,,,10080,(株)エビスヤ　３月分,,,,,,,
2014-06-02,,4,,999,,,,121,普通東京三菱,,,9432,(株)エビスヤ　,,,,,,,
2014-06-02,,4,,999,,,,121,普通東京三菱,,,108,(株)エビスヤ　 振込手数料,,,,,,,
2014-06-02,,4,,999,,,,550,仕入,,,540,(株)エビスヤ　 値引,,,,,,,
2014-06-02,,5,,312,買掛金,5,暁石鹸㈱,999,,,,13230,暁石鹸㈱　４月分,,,,,,,
2014-06-02,,5,,999,,,,121,普通東京三菱,,,12582,暁石鹸㈱　,,,,,,,
2014-06-02,,5,,999,,,,121,普通東京三菱,,,540,暁石鹸㈱　 振込手数料,,,,,,,
2014-06-02,,5,,999,,,,550,仕入,,,108,暁石鹸㈱　 値引,,,,,,,
2014-06-02,,6,,314,未払金,11,ヤマト運輸(株),999,,,,15963,ヤマト運輸(株)　４月分,,,,,,,
2014-06-02,,6,,999,,,,121,普通東京三菱,,,15531,ヤマト運輸(株)　,,,,,,,
2014-06-02,,6,,734,支払手数料,,,999,,,,500,ヤマト運輸(株)　 振込手数料,,,,,,,
2014-06-02,,6,,999,,,,121,普通東京三菱,,,540,ヤマト運輸(株)　 振込手数料,,,,,,,
2014-06-02,,6,,999,,,,719,運賃,,,432,ヤマト運輸(株)　値引,,,,,,,
2014-06-02,,7,,312,買掛金,203,㈱井上,999,,,,21609,㈱井上　３月分,,,,,,,
2014-06-02,,7,,999,,,,121,普通東京三菱,,,20961,㈱井上,,,,,,,
2014-06-02,,7,,999,,,,121,普通東京三菱,,,540,㈱井上　 振込手数料,,,,,,,
2014-06-02,,7,,999,,,,550,仕入,,,108,㈱井上　 値引,,,,,,,
2014-06-02,,8,,314,未払金,6,ｾｲﾉｰｽｰﾊﾟｰE㈱関西,999,,,,23852,西武運輸㈱門真,,,,,,,
2014-06-02,,8,,999,,,,121,普通東京三菱,,,23420,西武運輸㈱門真,,,,,,,
2014-06-02,,8,,999,,,,121,普通東京三菱,,,108,西武運輸㈱門真　 振込手数料,,,,,,,
2014-06-02,,8,,999,,,,719,運賃,,,324,西武運輸㈱門真　 値引,,,,,,,
2014-06-02,,9,,312,買掛金,5600,(株)ベスト,999,,,,29862,(株)ベスト　３月分,,,,,,,
2014-06-02,,9,,999,,,,121,普通東京三菱,,,29214,(株)ベスト,,,,,,,
