日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2012-01-07,0,,"",101,"現金",,,515,"売上高",,,39500,"仕入商品売上",11,,,100,貸,売,
2012-01-08,0,,"",101,"現金",,,515,"売上高",,,2000,"仕入商品売上",11,,,100,貸,売,
2012-01-10,0,,"",101,"現金",,,515,"売上高",,,3500,"仕入商品売上",11,,,100,貸,売,
2012-01-11,0,,"",101,"現金",,,515,"売上高",,,2000,"仕入商品売上",11,,,100,貸,売,
2012-01-15,0,,"",101,"現金",,,515,"売上高",,,327000,"仕入商品売上",11,,,100,貸,売,
2012-01-19,0,,"",101,"現金",,,515,"売上高",,,133500,"仕入商品売上",11,,,100,貸,売,
2012-01-21,0,,"",101,"現金",,,515,"売上高",,,7700,"仕入商品売上",11,,,100,貸,売,
2012-01-25,0,,"",101,"現金",,,515,"売上高",,,219500,"仕入商品売上",11,,,100,貸,売,
2012-01-27,0,,"",101,"現金",,,515,"売上高",,,17800,"仕入商品売上",11,,,100,貸,売,
2012-01-31,0,,"",101,"現金",,,515,"売上高",,,61700,"仕入商品売上",11,,,100,貸,売,
2012-02-08,0,,"",101,"現金",,,515,"売上高",,,37000,"仕入商品売上",11,,,100,貸,売,
2012-02-22,0,,"",101,"現金",,,515,"売上高",,,486800,"仕入商品売上",11,,,100,貸,売,
2012-02-24,0,,"",101,"現金",,,515,"売上高",,,217000,"仕入商品売上",11,,,100,貸,売,
2012-02-02,0,,"",166,"売掛金",4,"ＳＡＩＳＯＮ",515,"売上高",,,170000,"ＳＡＩＳＯＮ　なおいみはる　一括",11,,,100,貸,売,
2012-02-19,0,,"",166,"売掛金",1,"ＮＩＣＯＳ",515,"売上高",,,58000,"ＮＩＣＯＳ　ジュエリー　せきぐちえつこ　一括",11,,,100,貸,売,
2012-02-19,0,,"",166,"売掛金",1,"ＮＩＣＯＳ",515,"売上高",,,39000,"ＮＩＣＯＳ　ジュエリー　せきぐちえつこ　一括",11,,,100,貸,売,
2012-02-22,0,,"",166,"売掛金",3,"ＪＣＢ",515,"売上高",,,99000,"ＪＣＢ　ジュエリー　なべくらいずみ　一括",11,,,100,貸,売,
2012-02-23,0,,"",166,"売掛金",4,"ＳＡＩＳＯＮ",515,"売上高",,,90000,"ＳＡＩＳＯＮ　ジュエリー　そめやともこ　分割２回",11,,,100,貸,売,
2012-01-25,0,,"",166,"売掛金",1,"ＮＩＣＯＳ",515,"売上高",,,8000,"ＮＩＣＯＳ　かわぐちれいこ　一括",11,,,100,貸,売,
2012-01-01,0,,"",101,"現金",,,327,"事業主借",,,17482,"事業主より入金",,,,,,,
2012-01-03,0,,"",101,"現金",,,327,"事業主借",,,10573,"事業主より入金",,,,,,,
2012-01-04,0,,"",101,"現金",,,327,"事業主借",,,4356,"事業主より入金",,,,,,,
2012-01-05,0,,"",101,"現金",,,327,"事業主借",,,700,"事業主より入金",,,,,,,
2012-01-10,0,,"",101,"現金",,,327,"事業主借",,,176626,"事業主より入金",,,,,,,
2012-01-11,0,,"",101,"現金",,,327,"事業主借",,,1990,"事業主より入金",,,,,,,
2012-01-12,0,,"",101,"現金",,,327,"事業主借",,,2310,"事業主より入金",,,,,,,
2012-01-13,0,,"",101,"現金",,,327,"事業主借",,,7595,"事業主より入金",,,,,,,
2012-01-14,0,,"",101,"現金",,,327,"事業主借",,,3466,"事業主より入金",,,,,,,
2012-01-22,0,,"",101,"現金",,,327,"事業主借",,,10786,"事業主より入金",,,,,,,
2012-01-24,0,,"",101,"現金",,,327,"事業主借",,,552100,"事業主より入金",,,,,,,
2012-01-26,0,,"",101,"現金",,,327,"事業主借",,,60030,"事業主より入金",,,,,,,
2012-01-27,0,,"",101,"現金",,,327,"事業主借",,,42990,"事業主より入金",,,,,,,
2012-01-28,0,,"",101,"現金",,,327,"事業主借",,,3542,"事業主より入金",,,,,,,
2012-02-01,0,,"",101,"現金",,,327,"事業主借",,,108039,"事業主より入金",,,,,,,
