日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",8726,"月分前原泉",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",205243,"月分満島美奈子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",10908,"月分杉本恵",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",23673,"月分小栗由美子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",23718,"月分岩松教子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",20170,"月分八木宏子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",221391,"月分高田重之",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",52218,"月分金子朋代",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",54615,"月分石川朱美",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",17496,"月分池田光子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",113864,"月分古池めぐみ",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",89618,"月分倉持久美",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",30250,"月分楊翊倫",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",13726,"月分山本智香子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",37692,"月分大島信子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",40359,"月分松井春奈",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",17496,"月分藤井知美",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",17172,"月分末浪薫",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",19537,"月平間亜季",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",35391,"月分栂野里香",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",28879,"月分岩山敦子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",6201,"月分仲林夏実",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",22410,"月分阿部千春",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",63653,"月分岡村あや",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",38631,"月分前田裕子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",6534,"月分中村尚子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",9612,"月分野瀬敦子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",11286,"月分溝渕奈穂子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",8964,"月分手塚麻由",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",32108,"月分北川美見",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",89100,"月分座間綾子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",50511,"月分立石明子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",111726,"月分加藤祐子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",23727,"月分中村寛子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",18468,"月分小原麻美",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",5043,"月分川原敦子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",194780,"月分高橋順子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",8802,"月分若三千恵子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",15508,"月分島敬子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",79457,"月分浮田麻美",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",26082,"月分生山和恵",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",33123,"月分福田はるみ",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",21870,"月分山脇招子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",5670,"月分小堀和枝",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",4968,"月分川守田香里",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",28566,"月分北村由美子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",3477,"月分金子律子",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",22248,"月分三浦一枝",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",2106,"月分佐々木香織",11,,,,借,仕,
2014-12-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",1944,"月分松山美有",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",51557,"１月分岩松教子",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",44368,"１月分八木宏子",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",6771,"１月分前原泉",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",476694,"１月分高田重之",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",17398,"１月分内田美由紀",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",49204,"１月分小林朋代",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",68111,"１月分中川和恵",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",364230,"１月分岩出孝美",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",70930,"１月分石川朱美",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",42967,"１月分池田光子",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",164652,"１月分古池めぐみ",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",181839,"１月分田部井玲子",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",132019,"１月分倉持久美",11,,,,借,仕,
2015-01-31,0,,"",551,"外注費",,,314,"未払金",4,"外注",275000,"１月分満島美奈子",11,,,,借,仕,
