日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-01-09,,1,,734,支払手数料,,,314,未払金,1,（名）田中商店,700,振込手数料（名）田中商店立替,,,,,,,
2015-01-13,,2,,312,買掛金,2000,三和紙業㈱,314,未払金,1,（名）田中商店,4266,三和紙業㈱ （名）田中商店立替,,,,,,,
2015-01-20,,3,,726,租税公課,4,他租公・,314,未払金,1,（名）田中商店,2000,他租公・ 印紙代（名）田中商店立替,,,,,,,
2015-01-20,,3,,312,買掛金,9999,その他№,314,未払金,1,（名）田中商店,2073,ハート㈱　（名）田中商店立替,,,,,,,
2015-02-16,,4,,166,売掛金,600,営業企画部,511,売上高,,,33048,No.27001　リテール受託,,,,,,,
2015-03-16,,5,,166,売掛金,1203,岐阜支店,511,売上高,,,36774,No.27002　岐阜支店,,,,,,,
2015-03-16,,6,,166,売掛金,1203,岐阜支店,511,売上高,,,1520,No.27003　岐阜支店,,,,,,,
2015-03-13,,7,,166,売掛金,3002,多摩桜ヶ丘支店,511,売上高,,,12960,No.27004　多摩桜ヶ丘支店,,,,,,,
2015-03-13,,8,,166,売掛金,3002,多摩桜ヶ丘支店,511,売上高,,,1088,No.27005　多摩桜ヶ丘支店,,,,,,,
2015-03-20,,9,,166,売掛金,4005,名古屋支店,511,売上高,,,65469,No.27006　名古屋営業部,,,,,,,
2015-03-20,,10,,166,売掛金,4005,名古屋支店,511,売上高,,,5864,No.27007　名古屋営業部,,,,,,,
2015-02-23,,11,,165,売掛金（一般）,9003,和田食品㈱,511,売上高,,,131976,No.27002　和田食品㈱,,,,,,,
2015-02-20,,12,,165,売掛金（一般）,9998,その他,511,売上高,,,43416,No.27003　港南台プリンスハイツ管理組合,,,,,,,
2015-02-20,,13,,165,売掛金（一般）,2200,新日本管財㈱,511,売上高,,,105516,No.27004　新日本管財㈱,,,,,,,
2015-02-20,,14,,165,売掛金（一般）,2200,新日本管財㈱,511,売上高,,,12636,No.27005　新日本管財㈱,,,,,,,
2015-02-20,,15,,165,売掛金（一般）,2200,新日本管財㈱,511,売上高,,,12636,No.27006　新日本管財㈱,,,,,,,
2015-02-20,,16,,165,売掛金（一般）,12,㈱アスプ（ＡＳＰ）,511,売上高,,,201668,No.27008　㈱アスプ（ＡＳＰ）,,,,,,,
2015-03-18,,17,,165,売掛金（一般）,9998,その他,511,売上高,,,80784,No.27009　㈱FPG投資顧問,,,,,,,
2015-01-20,,18,,165,売掛金（一般）,5012,㈱博報堂プロダクツ,511,売上高,,,1013157,1/16　㈱博報堂プロダクツ,,,,,,,
2015-01-20,,19,,165,売掛金（一般）,5012,㈱博報堂プロダクツ,511,売上高,,,813918,1/16　㈱博報堂プロダクツ,,,,,,,
2015-01-20,,20,,165,売掛金（一般）,5012,㈱博報堂プロダクツ,511,売上高,,,219775,1/15　㈱博報堂プロダクツ,,,,,,,
2015-03-20,,21,,165,売掛金（一般）,5012,㈱博報堂プロダクツ,511,売上高,,,8934706,3月分　㈱博報堂プロダクツ,,,,,,,
2015-01-20,,22,,165,売掛金（一般）,5004,㈱博報堂,511,売上高,,,648000,1/13　㈱博報堂,,,,,,,
2015-01-20,,23,,165,売掛金（一般）,5004,㈱博報堂,511,売上高,,,1058400,1/13　㈱博報堂,,,,,,,
