日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-04-01,,,,171,立替金,,,100,現金,,,12000,㈱経営状況分析ｾﾝﾀｰ　分析代・㈲タカヤマ設,,,,,,,
2013-04-01,,,,171,立替金,,,100,現金,,,600,東京法務局　未登記証明・徳丸管工㈱,,,,,,,
2013-04-01,,,,171,立替金,,,101,三菱東京UFJ･普,,,997,2月分　ＯＣＮ光フレッツ基本料　山口由香,,,,,,,
2013-04-01,,,,426,未払費用,,,101,三菱東京UFJ･普,,,145023,2月分社会保険料,,,,,,,
2013-04-05,,,,757,消耗品費,,,100,現金,,,1886,ヨドバシカメラ　電球,,,,,,,
2013-04-08,,,,171,立替金,,,100,現金,,,2500,岩本町郵便局　小為替代・ｵﾑﾛﾝﾌｨｰﾙﾄﾞｴﾝｼﾞﾆｱ,,,,,,,
2013-04-08,,,,758,事務用品費,,,100,現金,,,640,オフィス24　カードホルダー,,,,,,,
2013-04-08,,,,171,立替金,,,100,現金,,,4000,都市整備局　許可証明手数料・ﾔﾏﾊｻｳﾝﾄﾞｼｽﾃﾑ,,,,,,,
2013-04-09,,,,171,立替金,,,101,三菱東京UFJ･普,,,8716,3月分　東京電力　電気代（低圧）,,,,,,,
2013-04-09,,,,171,立替金,,,101,三菱東京UFJ･普,,,16503,3月分　東京電力（その他）,,,,,,,
2013-04-10,,,,100,現金,,,5,売掛金,,,336000,3月分業務協力費　山口由香,,,,,,,
2013-04-10,,,,100,現金,,,5,売掛金,,,31500,3月分帳簿記帳代行料　山口由香,,,,,,,
2013-04-10,,,,100,現金,,,171,立替金,,,33110,3月分立替金　山口由香,,,,,,,
2013-04-10,,,,100,現金,,,171,立替金,,,47352,2月分電気代等立替金　山口由香,,,,,,,
2013-04-10,,,,782,地代家賃,,,100,現金,,,30000,4月分家賃　山口由香,,,,,,,
2013-04-10,,,,426,未払費用,,,100,現金,,,136597,3月分,,,,,,,
2013-04-10,,,,426,未払費用,,,100,現金,,,143817,3月分,,,,,,,
2013-04-10,,,,426,未払費用,,,100,現金,,,137597,3月分,,,,,,,
2013-04-10,,,,427,預り金,2,住民税,100,現金,,,12900,住民税,,,,,,,
2013-04-10,,,,758,事務用品費,,,100,現金,,,112,オフィス24　クリップ,,,,,,,
2013-04-12,,,,171,立替金,,,100,現金,,,7920,Ｊマーケット　収入印紙代・チョコン,,,,,,,
2013-04-12,,,,171,立替金,,,100,現金,,,13500,東京都弘済会　経審証紙代・㈲タカヤマ設備,,,,,,,
2013-04-16,,,,758,事務用品費,,,100,現金,,,429,ビックカメラ　ファイル,,,,,,,
2013-04-17,,,,757,消耗品費,,,100,現金,,,9029,ＰＣソフト,,,,,,,
2013-04-17,,,,757,消耗品費,,,100,現金,,,4705,ＬＡＮケーブル,,,,,,,
