日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-04-01,0,,"",102,"現金店舗月島",101,"レジ現金",101,"現金",,,40000,"レジ現金の補充",,,,,,,
2014-04-01,0,,"",102,"現金店舗月島",102,"小口現金",101,"現金",,,55249,"小口現金の補充",,,,,,,
2014-04-01,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",78400,"メロンパンの売上",11,,,10,貸,売,
2014-04-02,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",88390,"メロンパンの売上",11,,,10,貸,売,
2014-04-03,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",76290,"メロンパンの売上",11,,,10,貸,売,
2014-04-04,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",70760,"メロンパンの売上",11,,,10,貸,売,
2014-04-05,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",192220,"メロンパンの売上",11,,,10,貸,売,
2014-04-06,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",144530,"メロンパンの売上",11,,,10,貸,売,
2014-04-07,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",48160,"メロンパンの売上",11,,,10,貸,売,
2014-04-08,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",63140,"メロンパンの売上",11,,,10,貸,売,
2014-04-09,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",67980,"メロンパンの売上",11,,,10,貸,売,
2014-04-10,0,,"",102,"現金店舗月島",101,"レジ現金",512,"店舗売上",101,"メロンパンの売上",60810,"メロンパンの売上",11,,,10,貸,売,
