日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2016-02-18,,1,,531,材料費,,,312,買掛金,4,フィード㈱,5800,フィード㈱,,,,,,,
2016-02-18,,2,,531,材料費,,,312,買掛金,4,フィード㈱,6800,フィード㈱,,,,,,,
2016-05-18,,3,,531,材料費,,,312,買掛金,4,フィード㈱,5205,フィード㈱,,,,,,,
2016-05-18,,4,,531,材料費,,,312,買掛金,4,フィード㈱,5759,フィード㈱,,,,,,,
2016-05-18,,5,,531,材料費,,,312,買掛金,4,フィード㈱,4115,フィード㈱,,,,,,,
2016-04-20,,6,,532,歯科技工費,,,312,買掛金,2,ユラデザイン㈱,237480,ユラデザイン㈱　歯科技工費,,,,,,,
2016-01-31,,7,,531,材料費,,,312,買掛金,14,㈱新生堂商会,35290,㈱新生堂商会,,,,,,,
2016-02-29,,8,,531,材料費,,,312,買掛金,8,㈱MSS,13059,㈱MSS,,,,,,,
2016-04-30,,9,,531,材料費,,,312,買掛金,8,㈱MSS,15899,㈱MSS,,,,,,,
2016-01-31,,10,,531,材料費,,,312,買掛金,11,日本メガケア㈱,14952,日本メガケア㈱,,,,,,,
2016-01-31,,11,,531,材料費,,,312,買掛金,6,㈱カイマンデンタル,436400,㈱カイマンデンタル,,,,,,,
2016-02-29,,12,,531,材料費,,,312,買掛金,6,㈱カイマンデンタル,33000,㈱カイマンデンタル,,,,,,,
2016-03-31,,13,,531,材料費,,,312,買掛金,6,㈱カイマンデンタル,66000,㈱カイマンデンタル,,,,,,,
2016-02-26,,14,,531,材料費,,,312,買掛金,5,日本ﾀﾞｸﾞﾗｽﾗﾎﾞﾗﾄﾘｰｽﾞ㈱,11715,日本ﾀﾞｸﾞﾗｽﾗﾎﾞﾗﾄﾘｰｽﾞ㈱,,,,,,,
2016-04-27,,15,,531,材料費,,,312,買掛金,5,日本ﾀﾞｸﾞﾗｽﾗﾎﾞﾗﾄﾘｰｽﾞ㈱,66240,日本ﾀﾞｸﾞﾗｽﾗﾎﾞﾗﾄﾘｰｽﾞ㈱,,,,,,,
2016-04-27,,16,,531,材料費,,,312,買掛金,5,日本ﾀﾞｸﾞﾗｽﾗﾎﾞﾗﾄﾘｰｽﾞ㈱,65519,日本ﾀﾞｸﾞﾗｽﾗﾎﾞﾗﾄﾘｰｽﾞ㈱,,,,,,,
2016-01-20,,17,,531,材料費,,,312,買掛金,3,㈱コサカ,45770,㈱コサカ　材料費,,,,,,,
2016-03-20,,18,,531,材料費,,,312,買掛金,3,㈱コサカ,29455,㈱コサカ　材料費,,,,,,,
2016-04-20,,19,,531,材料費,,,312,買掛金,3,㈱コサカ,35040,㈱コサカ　材料費,,,,,,,
2016-05-20,,20,,531,材料費,,,312,買掛金,7,㈱オカムラ,15500,㈱オカムラ,,,,,,,
2016-02-20,,21,,531,材料費,,,312,買掛金,17,大信貿易㈱,22500,大信貿易㈱,,,,,,,
2016-01-20,,22,,531,材料費,,,312,買掛金,18,㈱デンタリード,40700,㈱デンタリード,,,,,,,
2016-02-20,,23,,531,材料費,,,312,買掛金,3,㈱コサカ,62020,㈱コサカ　材料費,,,,,,,
2016-04-28,,24,,717,広告宣伝費,,,314,未払金,,,100000,1/18カスタムメディア㈱　★支払方法確認要,,,,,,,
2016-06-30,,25,,717,広告宣伝費,,,314,未払金,,,75000,3/31カスタムメディア㈱　雑誌掲載料　★支払日にて仕訳訂正要,,,,,,,
2016-07-31,,26,,717,広告宣伝費,,,314,未払金,,,75000,4/30カスタムメディア㈱　雑誌掲載料　★支払日にて仕訳訂正要,,,,,,,
2016-02-29,,27,,717,広告宣伝費,,,314,未払金,,,39000,エンパワーヘルスケア㈱　マイクリニックエクスプレスホスティング1GB　★支払方法確認要,,,,,,,
2016-01-15,,28,,717,広告宣伝費,,,124,三菱銀座,,,40000,アクティブ・メディア㈱　H27.8-H28.1月分　サニーポイントシステム使用料未払分　,,,,,,,
2016-01-15,,29,,717,広告宣伝費,,,124,三菱銀座,,,85000,消火栓標識㈱　広告宣伝費,,,,,,,
2016-01-21,,30,,189,事業主貸１,1,店主,124,三菱銀座,,,7962,東京電力㈱　自宅電気代,,,,,,,
2016-03-23,,31,,189,事業主貸１,1,店主,124,三菱銀座,,,7553,東京電力㈱　自宅電気代,,,,,,,
2016-04-21,,32,,189,事業主貸１,1,店主,124,三菱銀座,,,6758,東京電力㈱　自宅電気代,,,,,,,
2016-05-24,,33,,189,事業主貸１,1,店主,124,三菱銀座,,,5778,東京電力㈱　自宅電気代,,,,,,,
2016-04-26,,34,,189,事業主貸１,1,店主,124,三菱銀座,,,6140,東京都水道局　自宅水道代,,,,,,,
2016-01-04,,35,,189,事業主貸１,1,店主,124,三菱銀座,,,11423,東京ガス㈱　自宅ガス代,,,,,,,
2016-02-01,,36,,189,事業主貸１,1,店主,124,三菱銀座,,,16721,東京ガス㈱　自宅ガス代,,,,,,,
2016-02-29,,37,,189,事業主貸１,1,店主,124,三菱銀座,,,14431,東京ガス㈱　自宅ガス代,,,,,,,
2016-03-31,,38,,189,事業主貸１,1,店主,124,三菱銀座,,,12380,東京ガス㈱　自宅ガス代,,,,,,,
2016-05-02,,39,,189,事業主貸１,1,店主,124,三菱銀座,,,8433,東京ガス㈱　自宅ガス代,,,,,,,
2016-03-16,,40,,733,支払手数料,,,314,未払金,,,3056,中央シルバー人材センター　PC操作指導料　★支払方法確認要,,,,,,,
2016-01-19,,41,,733,支払手数料,,,124,三菱銀座,,,9259,フォーシーズ㈱　更新保証委託料,,,,,,,
2016-02-12,,42,,723,通信費,,,124,三菱銀座,,,2015,さくらインターネット㈱　ドメイン利用料,,,,,,,
2016-03-15,,43,,723,通信費,,,314,未払金,,,5061,さくらインターネット㈱　H28電話料金~H29.4月分　レンタルサーバー年間利用料　★支払方法確認要,,,,,,,
2016-05-18,,44,,717,広告宣伝費,,,314,未払金,,,25000,㈱デザインワン　エキテン利用料　★支払方法確認要,,,,,,,
2016-01-31,,46,,826,地代家賃,,,000,,,,415725,泰平商事㈱　2月分事務所家賃,,,,,,,
2016-01-31,,46,,724,水道光熱費,,,000,,,,36089,泰平商事㈱　1月分電気料金,,,,,,,
2016-01-31,,46,,000,,,,124,三菱銀座,,,488283,泰平商事㈱　事務所家賃・電気料金,,,,,,,
2016-02-29,,47,,826,地代家賃,,,000,,,,488025,泰平商事㈱　3月分事務所家賃,,,,,,,
2016-02-29,,47,,724,水道光熱費,,,000,,,,42389,泰平商事㈱　2月分電気料金,,,,,,,
2016-02-29,,47,,000,,,,124,三菱銀座,,,581621,泰平商事㈱　事務所家賃・電気料金・水道料金,,,,,,,
2016-02-29,,47,,724,水道光熱費,,,000,,,,7824,泰平商事㈱　2月分水道料金,,,,,,,
2016-03-31,,48,,826,地代家賃,,,000,,,,488025,泰平商事㈱　4月分事務所家賃,,,,,,,
2016-03-31,,48,,724,水道光熱費,,,000,,,,42977,泰平商事㈱　3月分電気料金,,,,,,,
2016-03-31,,48,,000,,,,314,未払金,,,573482,泰平商事㈱　事務所家賃・電気料金　★支払方法確認要,,,,,,,
2016-04-27,,50,,826,地代家賃,,,000,,,,488025,泰平商事㈱　5月分事務所家賃,,,,,,,
2016-04-27,,50,,724,水道光熱費,,,000,,,,37412,泰平商事㈱　4月分電気料金,,,,,,,
2016-04-27,,50,,000,,,,314,未払金,,,577624,泰平商事㈱　事務所家賃・電気料金・水道料金　★支払方法確認要,,,,,,,
2016-04-27,,50,,724,水道光熱費,,,000,,,,9400,泰平商事㈱　4月分水道料金,,,,,,,
2016-05-30,,52,,826,地代家賃,,,000,,,,488025,泰平商事㈱　6月分事務所家賃,,,,,,,
2016-05-30,,52,,724,水道光熱費,,,000,,,,28319,泰平商事㈱　5月分電気料金,,,,,,,
2016-05-30,,52,,000,,,,314,未払金,,,557652,泰平商事㈱　事務所家賃・電気料金　★支払方法確認要,,,,,,,
2016-02-29,,53,,728,事務用品費,,,124,三菱銀座,,,20411,アスクル山﨑　事務用品費,,,,,,,
2016-03-28,,54,,728,事務用品費,,,124,三菱銀座,,,10523,アスクル山﨑　事務用品費,,,,,,,
2016-04-27,,55,,728,事務用品費,,,124,三菱銀座,,,14141,アスクル山﨑　事務用品費,,,,,,,
2016-05-27,,56,,728,事務用品費,,,124,三菱銀座,,,10176,アスクル山﨑　事務用品費,,,,,,,
2016-01-22,,57,,121,みずほガーデン,,,520,他売上高,,,207459,アサヒプリテック㈱　撤去冠デンタル合金買取,,,,,,,
2016-03-15,,58,,121,みずほガーデン,,,000,,,,132544,JMS　2/17　自費売上分,,,,,,,
2016-03-15,,58,,000,,,,166,売掛金　カード,,,136080,JMS　2/17　自費売上分,,,,,,,
2016-03-15,,58,,821,支払利息,,,000,,,,3536,JMS　2/17　自費分,,,,,,,
2016-03-22,,59,,124,三菱銀座,,,168,売掛金,,,20448,東京都国民健康保険団体連合会,,,,,,,
2016-04-20,,60,,124,三菱銀座,,,168,売掛金,,,23069,東京都国民健康保険団体連合会,,,,,,,
2016-05-20,,61,,124,三菱銀座,,,168,売掛金,,,27893,東京都国民健康保険団体連合会,,,,,,,
2016-03-22,,62,,124,三菱銀座,,,168,売掛金,,,258916,東京都国民健康保険団体連合会,,,,,,,
2016-04-20,,63,,124,三菱銀座,,,168,売掛金,,,330407,東京都国民健康保険団体連合会,,,,,,,
2016-05-20,,64,,124,三菱銀座,,,168,売掛金,,,221505,東京都国民健康保険団体連合会,,,,,,,
2016-03-23,,65,,189,事業主貸１,1,店主,000,,,,244284,社会保険診療報酬支払基金　差押（渋谷区支払）,,,,,,,
2016-03-23,,65,,000,,,,168,売掛金,,,249319,社会保険診療報酬支払基金　差押（渋谷区支払）,,,,,,,
2016-03-23,,65,,187,仮払源泉税,,,000,,,,5035,社会保険診療報酬支払基金　1月分報酬源泉所得税,,,,,,,
