日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2016-01-01,,7,,732,新聞図書費,,,101,現金（大平正司）,,,269,ファミマ　店用雑誌等　,,,,,,,
2016-01-02,,8,,731,会議費,,,101,現金（大平正司）,,,22338,わん　打合せ食事代　,,,,,,,
2016-01-03,,9,,710,消耗品費,,,101,現金（大平正司）,,,28000,トモローランド　講習の衣装,,,,,,,
2016-01-03,,9,,704,旅費交通費,,,101,現金（大平正司）,,,1176,日光タクシー㈱　タクシー,,,,,,,
2016-01-04,,10,,610,化粧品仕入,,,101,現金（大平正司）,,,7000,クオレ㈱　ｼｬﾝﾌﾟｰ仕入,,,,,,,
2016-01-04,,10,,713,福利厚生費,,,101,現金（大平正司）,,,302,ローソン　従業員おやつ代　,,,,,,,
2016-01-04,,10,,713,福利厚生費,,,101,現金（大平正司）,,,403,ファミマ　従業員おやつ代　,,,,,,,
2016-01-04,,10,,713,福利厚生費,,,101,現金（大平正司）,,,10426,たち吉　従業員残業食事代　,,,,,,,
2016-01-04,,10,,732,新聞図書費,,,101,現金（大平正司）,,,149,駅売店購入　日経新聞　,,,,,,,
2016-01-05,,11,,731,会議費,,,101,現金（大平正司）,,,315,エクセルシオールカフェ　早朝ミーティングコーヒー代　,,,,,,,
2016-01-05,,11,,713,福利厚生費,,,101,現金（大平正司）,,,2128,京王百貨店　従業員おやつ代　　,,,,,,,
2016-01-05,,11,,713,福利厚生費,,,101,現金（大平正司）,,,5186,トンチンカン　従業員残業食事代　,,,,,,,
2016-01-05,,11,,732,新聞図書費,,,101,現金（大平正司）,,,149,駅売店購入　日経新聞　,,,,,,,
2016-01-06,,12,,731,会議費,,,101,現金（大平正司）,,,3561,やまと　打合せ食事代　,,,,,,,
2016-01-06,,12,,731,会議費,,,101,現金（大平正司）,,,7737,三是　打合せ食事代　,,,,,,,
2016-01-06,,12,,713,福利厚生費,,,101,現金（大平正司）,,,728,セブンイレブン　従業員おやつ代　,,,,,,,
2016-01-06,,12,,713,福利厚生費,,,101,現金（大平正司）,,,10501,株式会社ヘルシーネットワーク　従業員弁当代　,,,,,,,
2016-01-06,,12,,731,会議費,,,101,現金（大平正司）,,,241,カフェドクリエ　早朝ミーティングコーヒー代　,,,,,,,
2016-01-06,,12,,731,会議費,,,101,現金（大平正司）,,,306,エスプレっソ　早朝ミーティングコーヒー代　,,,,,,,
2016-01-06,,12,,732,新聞図書費,,,101,現金（大平正司）,,,149,駅売店購入　日経新聞　,,,,,,,
2016-01-07,,13,,713,福利厚生費,,,101,現金（大平正司）,,,587,ファミマ　従業員おやつ代　,,,,,,,
2016-01-07,,13,,732,新聞図書費,,,101,現金（大平正司）,,,525,啓文堂書店　店用雑誌等　,,,,,,,
2016-01-07,,13,,713,福利厚生費,,,101,現金（大平正司）,,,416,ローソン　従業員おやつ代　,,,,,,,
