日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-01-01,,,,324,前受金,,,166,立替金,,,285899,期首再振替,,,,,,,
2013-01-02,,,,704,通勤費,,,390,事業主借,,,36620,通勤定期代　山口由香,,,,,,,
2013-01-04,,,,721,会議費,,,390,事業主借,,,620,デイリーヤマザキ　社内打ち合わせ,,,,,,,
2013-01-04,,,,721,会議費,,,390,事業主借,,,407,コクミン　社内打ち合わせ,,,,,,,
2013-01-04,,,,117,みずほ銀行,,,390,事業主借,,,64680,,,,,,,,
2013-01-04,,,,291,事業主貸,,,117,みずほ銀行,,,11440,引出し,,,,,,,
2013-01-04,,,,291,事業主貸,,,117,みずほ銀行,,,38450,引出し,,,,,,,
2013-01-05,,,,722,新聞図書費,,,390,事業主借,,,1762,有隣堂　書籍代,,,,,,,
2013-01-08,,,,703,旅費交通費,,,390,事業主借,,,1524,東京メトロ　回数券,,,,,,,
2013-01-09,,,,325,預り金,,,390,事業主借,,,323100,源泉所得税　7～12月分,,,,,,,
2013-01-09,,,,721,会議費,,,390,事業主借,,,429,コクミン　社内打ち合わせ,,,,,,,
2013-01-09,,,,721,会議費,,,390,事業主借,,,386,ローソン　社内打ち合わせ,,,,,,,
2013-01-09,,,,291,事業主貸,,,117,みずほ銀行,,,323100,引出し,,,,,,,
2013-01-09,,,,291,事業主貸,,,117,みずほ銀行,,,163959,引出し,,,,,,,
2013-01-10,,,,322,未払金,,,390,事業主借,,,819420,12月分中央行政ｺﾝｻﾙﾃｨﾝｸﾞ㈲　業務協力費,,,,,,,
2013-01-10,,,,322,未払金,,,390,事業主借,,,47419,12月分中央行政ｺﾝｻﾙﾃｨﾝｸﾞ㈲　家賃等,,,,,,,
2013-01-10,,,,322,未払金,,,390,事業主借,,,31500,12月分中央行政ｺﾝｻﾙﾃｨﾝｸﾞ㈲ 帳簿記帳代行料,,,,,,,
2013-01-10,,,,166,立替金,,,8540,,,,358300,12月分中央行政ｺﾝｻﾙﾃｨﾝｸﾞ㈲　立替金,,,,,,,
2013-01-10,,,,8540,,,,390,事業主借,,,279250,12月分中央行政ｺﾝｻﾙﾃｨﾝｸﾞ㈲　立替金,,,,,,,
2013-01-10,,,,291,事業主貸,,,5,売掛金,,,31500,1月分中央行政ｺﾝｻﾙﾃｨﾝｸﾞ㈲　家賃,,,,,,,
2013-01-10,,,,8540,,,,167,仮払金,,,79050,10月誤請求分,,,,,,,
2013-01-10,,,,323,未払費用,,,390,事業主借,,,206600,12月分平賀猛,,,,,,,
2013-01-10,,,,323,未払費用,,,390,事業主借,,,141300,12月分斉藤有紀子,,,,,,,
2013-01-10,,,,324,前受金,,,390,事業主借,,,13020,建退共証紙代・ｵﾑﾛﾝﾌｨｰﾙﾄﾞｴﾝｼﾞﾆｱﾘﾝｸﾞ㈱,,,,,,,
2013-01-10,,,,324,前受金,,,390,事業主借,,,9920,建退共証紙代・㈱産機,,,,,,,
2013-01-10,,,,324,前受金,,,390,事業主借,,,6510,建退共証紙代・テクトエース㈱,,,,,,,
2013-01-10,,,,324,前受金,,,390,事業主借,,,6510,建退共証紙代・㈲伸栄機器,,,,,,,
2013-01-10,,,,324,前受金,,,390,事業主借,,,64480,建退共証紙代・㈲ﾀｶﾔﾏ設備,,,,,,,
2013-01-10,,,,324,前受金,,,390,事業主借,,,13020,建退共証紙代・㈲白子建設,,,,,,,
2013-01-10,,,,324,前受金,,,390,事業主借,,,6510,建退共証紙代・㈱金丸電機工業社,,,,,,,
2013-01-10,,,,721,会議費,,,390,事業主借,,,475,ローソン　社内打ち合わせ,,,,,,,
2013-01-10,,,,705,通信費,,,390,事業主借,,,900,11月分　有線ﾌﾞﾛｰﾄﾞ使用料,,,,,,,
2013-01-10,,,,722,新聞図書費,,,390,事業主借,,,3496,12月分　新聞購読料,,,,,,,
2013-01-10,,,,291,事業主貸,,,117,みずほ銀行,,,1600000,引出し,,,,,,,
2013-01-11,,,,721,会議費,,,390,事業主借,,,1420,ほっともっと　社内打ち合わせ,,,,,,,
2013-01-11,,,,721,会議費,,,390,事業主借,,,833,ローソン　社内打ち合わせ,,,,,,,
2013-01-15,,,,721,会議費,,,390,事業主借,,,1010,ローソン　社内打ち合わせ,,,,,,,
2013-01-16,,,,721,会議費,,,390,事業主借,,,1381,ほっともっと　社内打ち合わせ,,,,,,,
2013-01-17,,,,721,会議費,,,390,事業主借,,,1429,アトレ秋葉原　社内打ち合わせ,,,,,,,
2013-01-17,,,,703,旅費交通費,,,390,事業主借,,,1524,東京メトロ　回数券,,,,,,,
2013-01-17,,,,721,会議費,,,390,事業主借,,,2011,amazon　お茶代,,,,,,,
2013-01-18,,,,721,会議費,,,390,事業主借,,,1433,デイリーヤマザキ　社内打ち合わせ,,,,,,,
2013-01-21,,,,117,みずほ銀行,,,324,前受金,,,202430,ｶｲﾀｲ工業㈱　建退共証紙代,,,,,,,
2013-01-22,,,,721,会議費,,,390,事業主借,,,1730,ローソン　社内打ち合わせ,,,,,,,
2013-01-22,,,,723,諸会費,,,390,事業主借,,,21000,行政書士会会費　1～3月分　山口由香,,,,,,,
2013-01-22,,,,723,諸会費,,,390,事業主借,,,21000,行政書士会会費　1～3月分　平賀猛,,,,,,,
2013-01-23,,,,324,前受金,,,390,事業主借,,,202430,建退共証紙代・ｶｲﾀｲ工業㈱,,,,,,,
2013-01-23,,,,721,会議費,,,390,事業主借,,,448,ローソン　社内打ち合わせ,,,,,,,
2013-01-23,,,,291,事業主貸,,,117,みずほ銀行,,,202430,引出し,,,,,,,
2013-01-24,,,,721,会議費,,,390,事業主借,,,429,キムラヤ　社内打ち合わせ,,,,,,,
2013-01-24,,,,721,会議費,,,390,事業主借,,,1677,アトレ秋葉原　社内打ち合わせ,,,,,,,
2013-01-24,,,,721,会議費,,,390,事業主借,,,323,デイリーヤマザキ　社内打ち合わせ,,,,,,,
2013-01-24,,,,703,旅費交通費,,,390,事業主借,,,1524,東京メトロ　回数券,,,,,,,
