日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-01-06,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",22680,"ランチ売上",11,,,,貸,売,
2015-01-07,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",21600,"ランチ売上",11,,,,貸,売,
2015-01-08,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",15120,"ランチ売上",11,,,,貸,売,
2015-01-09,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",10800,"ランチ売上",11,,,,貸,売,
2015-01-11,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",48600,"ランチ売上",11,,,,貸,売,
2015-01-13,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",45560,"ランチ売上",11,,,,貸,売,
2015-01-14,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",45846,"ランチ売上",11,,,,貸,売,
2015-01-15,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",31492,"ランチ売上",11,,,,貸,売,
2015-01-17,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",4320,"ランチ売上",11,,,,貸,売,
2015-01-20,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",27216,"ランチ売上",11,,,,貸,売,
2015-01-21,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",36720,"ランチ売上",11,,,,貸,売,
2015-01-22,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",21600,"ランチ売上",11,,,,貸,売,
2015-01-23,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",4320,"ランチ売上",11,,,,貸,売,
2015-01-24,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",11340,"ランチ売上",11,,,,貸,売,
2015-01-25,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",12960,"ランチ売上",11,,,,貸,売,
2015-01-27,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",4320,"ランチ売上",11,,,,貸,売,
2015-01-28,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",22680,"ランチ売上",11,,,,貸,売,
2015-01-29,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",10800,"ランチ売上",11,,,,貸,売,
2015-01-30,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",23868,"ランチ売上",11,,,,貸,売,
2015-01-31,0,,"0001",101,"現金",,,511,"売上高",2,"ランチ売上",35588,"ランチ売上",11,,,,貸,売,
2015-01-03,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",70404,"店売上",11,,,,貸,売,
2015-01-04,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",43588,"店売上",11,,,,貸,売,
2015-01-07,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",66034,"店売上",11,,,,貸,売,
2015-01-08,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",134179,"店売上",11,,,,貸,売,
2015-01-09,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",174247,"店売上",11,,,,貸,売,
2015-01-10,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",232459,"店売上",11,,,,貸,売,
2015-01-14,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",24138,"店売上",11,,,,貸,売,
2015-01-15,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",84435,"店売上",11,,,,貸,売,
2015-01-16,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",107449,"店売上",11,,,,貸,売,
2015-01-17,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",61635,"店売上",11,,,,貸,売,
2015-01-18,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",143834,"店売上",11,,,,貸,売,
2015-01-20,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",21200,"店売上",11,,,,貸,売,
2015-01-21,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",17377,"店売上",11,,,,貸,売,
2015-01-22,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",36590,"店売上",11,,,,貸,売,
2015-01-23,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",93204,"店売上",11,,,,貸,売,
2015-01-24,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",86939,"店売上",11,,,,貸,売,
2015-01-25,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",53136,"店売上",11,,,,貸,売,
2015-01-27,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",108988,"店売上",11,,,,貸,売,
2015-01-28,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",89423,"店売上",11,,,,貸,売,
2015-01-29,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",43416,"店売上",11,,,,貸,売,
2015-01-30,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",33372,"店売上",11,,,,貸,売,
2015-01-31,0,,"0001",101,"現金",,,511,"売上高",1,"店売上",36826,"店売上",11,,,,貸,売,
2015-01-01,0,,"0001",101,"現金",,,189,"事業主貸",,,16222,"小菅　俊弘",,,,,,,
2015-01-02,0,,"0001",101,"現金",,,189,"事業主貸",,,9930,"小菅　俊弘",,,,,,,
2015-01-05,0,,"0001",101,"現金",,,189,"事業主貸",,,2764,"小菅　俊弘",,,,,,,
2015-01-06,0,,"0001",101,"現金",,,189,"事業主貸",,,62577,"小菅　俊弘",,,,,,,
2015-01-12,0,,"0001",101,"現金",,,189,"事業主貸",,,80200,"小菅　俊弘",,,,,,,
2015-01-13,0,,"0001",101,"現金",,,189,"事業主貸",,,13832,"小菅　俊弘",,,,,,,
2015-01-17,0,,"0001",101,"現金",,,189,"事業主貸",,,1255,"小菅　俊弘",,,,,,,
2015-01-19,0,,"0001",101,"現金",,,189,"事業主貸",,,38382,"小菅　俊弘",,,,,,,
2015-01-20,0,,"0001",101,"現金",,,189,"事業主貸",,,29840,"小菅　俊弘",,,,,,,
2015-01-27,0,,"0001",101,"現金",,,189,"事業主貸",,,29739,"小菅　俊弘",,,,,,,
2015-01-03,0,,"0001",189,"事業主貸",,,101,"現金",,,60404,"小菅　俊弘",,,,,,,
2015-01-04,0,,"0001",189,"事業主貸",,,101,"現金",,,33856,"小菅　俊弘",,,,,,,
2015-01-07,0,,"0001",189,"事業主貸",,,101,"現金",,,82829,"小菅　俊弘",,,,,,,
2015-01-08,0,,"0001",189,"事業主貸",,,101,"現金",,,113140,"小菅　俊弘",,,,,,,
2015-01-09,0,,"0001",189,"事業主貸",,,101,"現金",,,85363,"小菅　俊弘",,,,,,,
2015-01-10,0,,"0001",189,"事業主貸",,,101,"現金",,,178616,"小菅　俊弘",,,,,,,
2015-01-11,0,,"0001",189,"事業主貸",,,101,"現金",,,40635,"小菅　俊弘",,,,,,,
2015-01-14,0,,"0001",189,"事業主貸",,,101,"現金",,,69984,"小菅　俊弘",,,,,,,
2015-01-15,0,,"0001",189,"事業主貸",,,101,"現金",,,94807,"小菅　俊弘",,,,,,,
2015-01-16,0,,"0001",189,"事業主貸",,,101,"現金",,,53158,"小菅　俊弘",,,,,,,
2015-01-18,0,,"0001",189,"事業主貸",,,101,"現金",,,143834,"小菅　俊弘",,,,,,,
2015-01-21,0,,"0001",189,"事業主貸",,,101,"現金",,,47925,"小菅　俊弘",,,,,,,
2015-01-22,0,,"0001",189,"事業主貸",,,101,"現金",,,26912,"小菅　俊弘",,,,,,,
2015-01-23,0,,"0001",189,"事業主貸",,,101,"現金",,,50519,"小菅　俊弘",,,,,,,
2015-01-24,0,,"0001",189,"事業主貸",,,101,"現金",,,90290,"小菅　俊弘",,,,,,,
2015-01-25,0,,"0001",189,"事業主貸",,,101,"現金",,,66096,"小菅　俊弘",,,,,,,
2015-01-28,0,,"0001",189,"事業主貸",,,101,"現金",,,112103,"小菅　俊弘",,,,,,,
2015-01-29,0,,"0001",189,"事業主貸",,,101,"現金",,,53352,"小菅　俊弘",,,,,,,
2015-01-30,0,,"0001",189,"事業主貸",,,101,"現金",,,34183,"小菅　俊弘",,,,,,,
2015-01-31,0,,"0001",189,"事業主貸",,,101,"現金",,,47463,"小菅　俊弘",,,,,,,
2015-01-05,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",4800,"ランチ売上",11,,,,貸,売,
2015-01-06,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",8420,"ランチ売上",11,,,,貸,売,
2015-01-07,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",12200,"ランチ売上",11,,,,貸,売,
2015-01-08,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",5800,"ランチ売上",11,,,,貸,売,
2015-01-09,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",12200,"ランチ売上",11,,,,貸,売,
2015-01-10,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",18300,"ランチ売上",11,,,,貸,売,
2015-01-11,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",2000,"ランチ売上",11,,,,貸,売,
2015-01-13,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",6800,"ランチ売上",11,,,,貸,売,
2015-01-14,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",12520,"ランチ売上",11,,,,貸,売,
2015-01-15,0,,"0002",102,"蕪村現金",,,511,"売上高",2,"ランチ売上",10700,"ランチ売上",11,,,,貸,売,
