日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2012-07-03,0,,"",314,"未払金",3802,"㈲ティ・コネクション",121,"普通ＵＦＪ①",,,2147,"㈲ティ・コネクション",,,,,,,
2012-07-05,0,,"",734,"支払手数料",3,"報酬等",999,"諸口",,,57750,"寺西司法書士　本店移転",11,,,,借,仕,
2012-07-05,0,,"",726,"租税公課",9999,"他",999,"諸口",,,61470,"寺西司法書士　本店移転",4,,,,借,仕,
2012-07-05,0,,"",999,"諸口",,,316,"預り金",2,"報酬源泉税",4500,"寺西司法書士　本店移転　報酬源泉税",,,,,,,
2012-07-05,0,,"",999,"諸口",,,121,"普通ＵＦＪ①",,,114720,"寺西司法書士　本店移転",,,,,,,
2012-07-05,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,315,"寺西司法書士　振込手数料",11,,,,借,仕,
2012-07-18,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,2100,"ＢＺ手数料",11,,,,借,仕,
2012-07-31,0,,"",737,"地代家賃",,,121,"普通ＵＦＪ①",,,210000,"８月分玉川嘉英　店舗家賃",11,,,,借,仕,
2012-07-31,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,315,"玉川嘉英　振込手数料",11,,,,借,仕,
2012-07-31,0,,"",745,"雑費",,,999,"諸口",,,30000,"寺澤　７／３０初穂料　店舗お清め",4,,,,借,仕,
2012-07-31,0,,"",999,"諸口",,,314,"未払金",3801,"寺澤陽一",30000,"７月分寺澤陽一　諸経費精算",,,,,,,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,396,"寺澤　８／９㈱グルメシティ関東　食材・調味料代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,6788,"寺澤　８／９㈱カンダ　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,1090,"寺澤　８／１０㈱多田商店　店舗備品代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,13000,"寺澤　８／１０アマゾン　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,40400,"寺澤　８／１０アマゾン　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,16671,"寺澤　８／１０アマゾン　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,24938,"寺澤　８／１０アマゾン　店舗備品代／レジスタ",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,7802,"寺澤　８／１１㈲三友　調味料代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,24844,"寺澤　８／１１オーサワジャパン㈱　調味料代",11,,,,借,仕,
2012-08-31,0,,"",717,"福利厚生費",,,999,"諸口",,,41580,"寺澤　８／１１㈲フォグリネンワーク／エプロン代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,38166,"寺澤　８／１１ＩＫＥＡ　店舗備品代／食器類他",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,2210,"寺澤　８／１２西友　調味料代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,2568,"寺澤　８／１２無印良品　店舗備品代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,819,"寺澤　８／１２グローブ　店舗備品代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,450,"寺澤　８／１２㈱ｙａｏ　調味料代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,7304,"寺澤　８／１３アマゾン　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,1575,"寺澤　８／１３アマゾン　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,5880,"寺澤　８／１３アマゾン　店舗備品代／食器類",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,5965,"寺澤　８／１３アマゾン　店舗備品代／ケトル他",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,2940,"寺澤　８／１３Ｆ＆Ｆ　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,31429,"寺澤　８／１４日本テレフォンショッピング㈱　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,3735,"寺澤　８／１４㈱クレヨンハウス　調味料代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,2923,"寺澤　８／１４㈱ナチュラルハウス　調味料代",11,,,,借,仕,
2012-08-31,0,,"",738,"新聞図書費",,,999,"諸口",,,840,"寺澤　８／１４㈱クレヨンハウス　参考書籍代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,1288,"寺澤　８／１４㈱グルメシティ　調味料代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,8042,"寺澤　８／１４㈲ナチュラルハーモニー　調理器具代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,1910,"寺澤　８／１４無印良品　店舗備品代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,4821,"寺澤　８／１５アマゾン　店舗備品代",11,,,,借,仕,
2012-08-31,0,,"",745,"雑費",,,999,"諸口",,,3000,"寺澤　８／１５㈱中田世田谷事務所　ゴミ収集代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,500,"寺澤　８／１５㈱ｙａｏ　調味料代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,98,"寺澤　８／１５カクヤス　調味料代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",2,"酒類",999,"諸口",,,2790,"寺澤　８／１５カクヤス　お酒代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,1206,"寺澤　８／１６Ｆ＆Ｆ　食材費",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,61800,"寺澤　８／１６㈱ビックカメラ　冷蔵庫代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,39800,"寺澤　８／１６㈱ビックカメラ　冷蔵庫代",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,930,"寺澤　８／１６シニフィアン・シニフィエ　食材仕入",11,,,,借,仕,
2012-08-31,0,,"",551,"現金仕入",1,"食材",999,"諸口",,,1158,"寺澤　８／１６ボンサンテ　調味料代",11,,,,借,仕,
2012-08-31,0,,"",725,"水道光熱費",,,999,"諸口",,,3842,"寺澤　８／１７東京電力㈱　電気料金",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,1998,"寺澤　８／１７ピカソ　店舗備品代",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,11515,"寺澤　８／１７アマゾン　店舗備品代／掃除機",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,25725,"寺澤　８／１７㈱オフィス家具アール　店舗備品代／ロッカー",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,2800,"寺澤　８／１８㈱エッチ・アールカンパニー　調理器具代／ケーキクーラー",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,4410,"寺澤　８／１９アマゾン　店舗備品代／食器類",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,46410,"寺澤　８／２０㈱エッチ・アールカンパニー　調理器具代／圧力鍋",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,5525,"寺澤　８／２２無印良品　店舗備品代／傘立て",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,10500,"寺澤　８／２４無印良品　店舗備品代／スチール棚",11,,,,借,仕,
2012-08-31,0,,"",728,"消耗品費",,,999,"諸口",,,12495,"寺澤　８／２４㈱デビイ　店舗備品代／カーテン他",11,,,,借,仕,
2012-08-31,0,,"",725,"水道光熱費",,,999,"諸口",,,507,"寺澤　８／２７東京ガス㈱　店舗ガス代",11,,,,借,仕,
2012-08-31,0,,"",999,"諸口",,,314,"未払金",3801,"寺澤陽一",537383,"８月分寺澤陽一　諸経費精算",,,,,,,
2012-08-01,0,,"",314,"未払金",3802,"㈲ティ・コネクション",121,"普通ＵＦＪ①",,,2151,"㈲ティ・コネクション",,,,,,,
2012-08-06,0,,"",228,"一括償却資産",,,999,"諸口",,,191100,"タニコー㈱　ガス高速オーブン",11,,,,借,仕,
2012-08-06,0,,"",216,"什器備品",,,999,"諸口",,,218400,"タニコー㈱　ガスレンジ",11,,,,借,仕,
2012-08-06,0,,"",999,"諸口",,,121,"普通ＵＦＪ①",,,409500,"タニコー㈱　ガスレンジ・ガス高速オーブン",,,,,,,
2012-08-06,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,735,"タニコー㈱　振込手数料",11,,,,借,仕,
2012-08-15,0,,"",551,"現金仕入",2,"酒類",121,"普通ＵＦＪ①",,,14100,"㈱飯尾醸造　お酒代",11,,,,借,仕,
2012-08-15,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,525,"㈱飯尾醸造　振込手数料",11,,,,借,仕,
2012-08-15,0,,"",551,"現金仕入",1,"食材",121,"普通ＵＦＪ①",,,7300,"穂のぼの農園　食材費",11,,,,借,仕,
2012-08-15,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,525,"穂のぼの農園　振込手数料",11,,,,借,仕,
2012-08-16,0,,"",718,"広告宣伝費",,,121,"普通ＵＦＪ①",,,950,"㈱ペーパーボーイ　ホームページ代",11,,,,借,仕,
2012-08-16,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,105,"㈱ペーパーボーイ　振込手数料",11,,,,借,仕,
2012-08-16,0,,"",102,"店舗現金",2,"レジ",999,"諸口",,,50000,"現金引き出し",,,,,,,
2012-08-16,0,,"",102,"店舗現金",3,"小口",999,"諸口",,,200000,"現金引き出し",,,,,,,
2012-08-16,0,,"",999,"諸口",,,121,"普通ＵＦＪ①",,,250000,"現金引き出し",,,,,,,
2012-08-17,0,,"",314,"未払金",3801,"寺澤陽一",121,"普通ＵＦＪ①",,,30000,"寺澤陽一",,,,,,,
2012-08-20,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,2100,"ＢＺ手数料",11,,,,借,仕,
2012-08-20,0,,"",551,"現金仕入",1,"食材",121,"普通ＵＦＪ①",,,7000,"㈲ホットプランニング　食材費",11,,,,借,仕,
2012-08-20,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,525,"㈲ホットプランニング　振込手数料",11,,,,借,仕,
2012-08-24,0,,"",223,"造作",,,121,"普通ＵＦＪ①",,,1680000,"㈱トリコデザイン　店舗新装工事費",11,,,,借,仕,
2012-08-24,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,735,"㈱トリコデザイン　振込手数料",11,,,,借,仕,
2012-08-24,0,,"",323,"未払法人税等",,,121,"普通ＵＦＪ①",,,70000,"渋谷都税　確定都民税　均等割",,,,,,,
2012-08-28,0,,"",102,"店舗現金",3,"小口",121,"普通ＵＦＪ①",,,100000,"現金引き出し",,,,,,,
2012-08-31,0,,"",737,"地代家賃",,,121,"普通ＵＦＪ①",,,210000,"９月分玉川嘉英　店舗家賃",11,,,,借,仕,
2012-08-31,0,,"",734,"支払手数料",1,"銀行手数料",121,"普通ＵＦＪ①",,,315,"玉川嘉英　振込手数料",11,,,,借,仕,
