日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2012-01-01,0,,"",165,"受取手形",1,"アイヴィプロダクツ㈱",327,"裏書手形",,,266388,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",15,"旭商事㈱名古屋営業所",327,"裏書手形",,,318885,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",200,"イシグロ㈱",327,"裏書手形",,,42229,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",604,"エスエスユニオン㈱",327,"裏書手形",,,285936,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",802,"岡部バルブ工業㈱",327,"裏書手形",,,1852697,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",802,"岡部バルブ工業㈱",327,"裏書手形",,,2069574,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",802,"岡部バルブ工業㈱",327,"裏書手形",,,2833107,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",802,"岡部バルブ工業㈱",327,"裏書手形",,,1959224,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",802,"岡部バルブ工業㈱",327,"裏書手形",,,1798249,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",812,"岡谷マート㈱",327,"裏書手形",,,933925,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",812,"岡谷マート㈱",327,"裏書手形",,,746762,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",812,"岡谷マート㈱",327,"裏書手形",,,526253,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",1002,"金子産業㈱",327,"裏書手形",,,386886,"期首再振替・裏書手形",,,,,,,
2012-01-01,0,,"",165,"受取手形",1002,"金子産業㈱",327,"裏書手形",,,489125,"期首再振替・裏書手形",,,,,,,
