日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-07-01,,,,101,現金,,,102,現金２,,,19094,期首振替,,,,,,,
2013-07-01,,,,101,現金,,,511,社保診療売上,,,3970,自己負担金,,,,,,,
2013-07-02,,,,101,現金,,,511,社保診療売上,,,1600,自己負担金,,,,,,,
2013-07-03,,,,101,現金,,,511,社保診療売上,,,3340,自己負担金,,,,,,,
2013-07-04,,,,101,現金,,,511,社保診療売上,,,2630,自己負担金,,,,,,,
2013-07-05,,,,101,現金,,,511,社保診療売上,,,1650,自己負担金,,,,,,,
2013-07-06,,,,101,現金,,,511,社保診療売上,,,3430,自己負担金,,,,,,,
2013-07-08,,,,101,現金,,,511,社保診療売上,,,3340,自己負担金,,,,,,,
2013-07-09,,,,101,現金,,,511,社保診療売上,,,3590,自己負担金,,,,,,,
2013-07-10,,,,101,現金,,,511,社保診療売上,,,3740,自己負担金,,,,,,,
2013-07-11,,,,101,現金,,,511,社保診療売上,,,4670,自己負担金,,,,,,,
2013-07-12,,,,101,現金,,,511,社保診療売上,,,2670,自己負担金,,,,,,,
2013-07-13,,,,101,現金,,,511,社保診療売上,,,2580,自己負担金,,,,,,,
2013-07-16,,,,101,現金,,,511,社保診療売上,,,6940,自己負担金,,,,,,,
2013-07-17,,,,101,現金,,,511,社保診療売上,,,1290,自己負担金,,,,,,,
2013-07-18,,,,101,現金,,,511,社保診療売上,,,3120,自己負担金,,,,,,,
2013-07-19,,,,101,現金,,,511,社保診療売上,,,3500,自己負担金,,,,,,,
2013-07-20,,,,101,現金,,,511,社保診療売上,,,3710,自己負担金,,,,,,,
2013-07-22,,,,101,現金,,,511,社保診療売上,,,5000,自己負担金,,,,,,,
2013-07-23,,,,101,現金,,,511,社保診療売上,,,4380,自己負担金,,,,,,,
2013-07-24,,,,101,現金,,,511,社保診療売上,,,2570,自己負担金,,,,,,,
2013-07-25,,,,101,現金,,,511,社保診療売上,,,2120,自己負担金,,,,,,,
2013-07-26,,,,101,現金,,,511,社保診療売上,,,2880,自己負担金,,,,,,,
2013-07-27,,,,101,現金,,,511,社保診療売上,,,4630,自己負担金,,,,,,,
2013-07-29,,,,101,現金,,,511,社保診療売上,,,3400,自己負担金,,,,,,,
2013-07-30,,,,101,現金,,,511,社保診療売上,,,4050,自己負担金,,,,,,,
2013-07-31,,,,101,現金,,,511,社保診療売上,,,3470,自己負担金,,,,,,,
2013-07-01,,,,101,現金,,,512,保険外診療売上,,,70380,保険外診療費,,,,,,,
2013-07-02,,,,101,現金,,,512,保険外診療売上,,,67740,保険外診療費,,,,,,,
2013-07-03,,,,101,現金,,,512,保険外診療売上,,,101870,保険外診療費,,,,,,,
2013-07-04,,,,101,現金,,,512,保険外診療売上,,,105010,保険外診療費,,,,,,,
2013-07-05,,,,101,現金,,,512,保険外診療売上,,,55130,保険外診療費,,,,,,,
2013-07-06,,,,101,現金,,,512,保険外診療売上,,,93980,保険外診療費,,,,,,,
2013-07-08,,,,101,現金,,,512,保険外診療売上,,,48840,保険外診療費,,,,,,,
2013-07-09,,,,101,現金,,,512,保険外診療売上,,,68780,保険外診療費,,,,,,,
2013-07-10,,,,101,現金,,,512,保険外診療売上,,,63550,保険外診療費,,,,,,,
2013-07-11,,,,101,現金,,,512,保険外診療売上,,,69840,保険外診療費,,,,,,,
2013-07-12,,,,101,現金,,,512,保険外診療売上,,,70340,保険外診療費,,,,,,,
2013-07-13,,,,101,現金,,,512,保険外診療売上,,,51980,保険外診療費,,,,,,,
2013-07-16,,,,101,現金,,,512,保険外診療売上,,,95040,保険外診療費,,,,,,,
2013-07-17,,,,101,現金,,,512,保険外診療売上,,,64600,保険外診療費,,,,,,,
2013-07-18,,,,101,現金,,,512,保険外診療売上,,,110760,保険外診療費,,,,,,,
2013-07-19,,,,101,現金,,,512,保険外診療売上,,,73500,保険外診療費,,,,,,,
2013-07-20,,,,101,現金,,,512,保険外診療売上,,,84010,保険外診療費,,,,,,,
