日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2014-01-01,,10,,713,福利厚生費,,,101,現金（大平正司）,,,2962,マルエツ　従業員差し入れ,,,,,,,
2014-01-01,,10,,731,会議費,,,101,現金（大平正司）,,,2858,上島珈琲店　打合せ飲食代,,,,,,,
2014-01-04,,11,,100,現金（店）,,,500,売上（店）,,,245200,店売上,,,,,,,
2014-01-04,,12,,732,新聞図書費,,,100,現金（店）,,,1324,日刊スポーツ 店用雑誌等,,,,,,,
2014-01-04,,12,,713,福利厚生費,,,100,現金（店）,,,2743,従業員昼食代,,,,,,,
2014-01-04,,12,,731,会議費,,,100,現金（店）,,,600,早朝ミーティング朝食代,,,,,,,
2014-01-04,,13,,101,現金（大平正司）,,,100,現金（店）,,,240300,店主へお渡し,,,,,,,
2014-01-02,,14,,707,接待交際費,,,101,現金（大平正司）,,,22924,味王 接待飲食代,,,,,,,
2014-01-02,,14,,707,接待交際費,,,101,現金（大平正司）,,,400,キャンヅウ　　　　おもちゃ,,,,,,,
2014-01-02,,14,,736,店用飲み物代等,,,101,現金（大平正司）,,,160,セブンエレブン　　　　飲み物,,,,,,,
2014-01-06,,15,,100,現金（店）,,,500,売上（店）,,,177800,店売上,,,,,,,
2014-01-06,,15,,100,現金（店）,,,501,売上化粧品,,,6800,化粧品売上,,,,,,,
2014-01-06,,16,,731,会議費,,,100,現金（店）,,,571,早朝ミーティング朝食代,,,,,,,
2014-01-06,,16,,713,福利厚生費,,,100,現金（店）,,,2846,従業員制服代 従業員昼食代 ファミリーマート,,,,,,,
2014-01-06,,16,,710,消耗品費,,,100,現金（店）,,,416,綿棒　ダイコク,,,,,,,
2014-01-06,,16,,732,新聞図書費,,,100,現金（店）,,,743,雑誌購入代,,,,,,,
2014-01-06,,17,,101,現金（大平正司）,,,100,現金（店）,,,179797,店主へお渡し,,,,,,,
2014-01-07,,18,,100,現金（店）,,,500,売上（店）,,,138000,店売上,,,,,,,
2014-01-07,,18,,100,現金（店）,,,501,売上化粧品,,,4500,化粧品売上,,,,,,,
2014-01-07,,19,,731,会議費,,,100,現金（店）,,,568,早朝ミーティング朝食代,,,,,,,
2014-01-07,,19,,713,福利厚生費,,,100,現金（店）,,,2363,従業員制服代 従業員昼食代 ファミリーマート,,,,,,,
2014-01-07,,19,,711,事務用品費,,,100,現金（店）,,,120,ペン　世界堂,,,,,,,
2014-01-07,,19,,711,事務用品費,,,100,現金（店）,,,592,世界堂　紙,,,,,,,
2014-01-07,,19,,732,新聞図書費,,,100,現金（店）,,,305,雑誌購入代,,,,,,,
2014-01-07,,19,,705,通信費,1,店,100,現金（店）,,,4762,葉書代,,,,,,,
2014-01-07,,20,,101,現金（大平正司）,,,100,現金（店）,,,133356,店主へお渡し,,,,,,,
2014-01-08,,21,,100,現金（店）,,,500,売上（店）,,,80100,店売上,,,,,,,
2014-01-08,,22,,731,会議費,,,100,現金（店）,,,466,早朝ミーティング朝食代,,,,,,,
2014-01-08,,22,,713,福利厚生費,,,100,現金（店）,,,1898,従業員昼食代 ファミリーマート,,,,,,,
2014-01-08,,23,,101,現金（大平正司）,,,100,現金（店）,,,77619,店主へお渡し,,,,,,,
2014-01-09,,24,,100,現金（店）,,,500,売上（店）,,,140800,店売上,,,,,,,
2014-01-09,,25,,731,会議費,,,100,現金（店）,,,491,早朝ミーティング朝食代,,,,,,,
2014-01-09,,25,,713,福利厚生費,,,100,現金（店）,,,2324,従業員昼食代　パーシモン,,,,,,,
2014-01-09,,25,,710,消耗品費,,,100,現金（店）,,,562,電池,,,,,,,
2014-01-09,,26,,101,現金（大平正司）,,,100,現金（店）,,,137255,店主へお渡し,,,,,,,
2014-01-10,,27,,100,現金（店）,,,500,売上（店）,,,119100,店売上,,,,,,,
2014-01-03,,27,,710,消耗品費,,,101,現金（大平正司）,,,28000,ＵＮＩＴＥＤ他　　　　お店ベスト,,,,,,,
2014-01-03,,27,,707,接待交際費,,,101,現金（大平正司）,,,20000,カワチ　　　贈答品,,,,,,,
2014-01-03,,27,,707,接待交際費,,,101,現金（大平正司）,,,16941,真希　接待飲食代,,,,,,,
2014-01-03,,27,,713,福利厚生費,,,101,現金（大平正司）,,,1189,ローソン他2件　　　　従業員おやつ代,,,,,,,
2014-01-03,,27,,710,消耗品費,,,101,現金（大平正司）,,,2280,ミネドラック　　　　テッシュ他,,,,,,,
2014-01-04,,28,,705,通信費,1,店,101,現金（大平正司）,,,43,郵便局　はがき代交換,,,,,,,
2014-01-04,,28,,731,会議費,,,101,現金（大平正司）,,,696,ドミニク　　　コーヒー,,,,,,,
2014-01-04,,28,,713,福利厚生費,,,101,現金（大平正司）,,,1193,従業員おやつ代　ろーそん,,,,,,,
2014-01-04,,28,,732,新聞図書費,,,101,現金（大平正司）,,,153,駅売店購入 日経新聞,,,,,,,
2014-01-05,,29,,732,新聞図書費,,,101,現金（大平正司）,,,277,スポニチ　日経,,,,,,,
2014-01-05,,29,,713,福利厚生費,,,101,現金（大平正司）,,,17938,慶州他3件　　　スタッフ食事会,,,,,,,
2014-01-05,,29,,731,会議費,,,101,現金（大平正司）,,,372,上島コーヒー　　コーヒー,,,,,,,
2014-01-06,,30,,732,新聞図書費,,,101,現金（大平正司）,,,153,駅購買　　　日経,,,,,,,
2014-01-06,,30,,713,福利厚生費,,,101,現金（大平正司）,,,3818,株式会社ヘルシーネットワーク,,,,,,,
2014-01-06,,30,,713,福利厚生費,,,101,現金（大平正司）,,,5100,とんちんかん　　　　残業食事代,,,,,,,
2014-01-06,,30,,713,福利厚生費,,,101,現金（大平正司）,,,854,マルエツ　　従業員おやつ代,,,,,,,
2014-01-06,,30,,736,店用飲み物代等,,,101,現金（大平正司）,,,4191,マルエツ　　接待タバコ,,,,,,,
2014-01-07,,31,,738,研究費,,,101,現金（大平正司）,,,905,楽天　　　本,,,,,,,
2014-01-07,,31,,725,支払手数料,,,101,現金（大平正司）,,,200,預金振替手数料,,,,,,,
2014-01-07,,31,,731,会議費,,,101,現金（大平正司）,,,829,スターバックス　　　コーヒー,,,,,,,
2014-01-07,,31,,738,研究費,,,101,現金（大平正司）,,,385,アマゾン　　本,,,,,,,
2014-01-07,,31,,710,消耗品費,,,101,現金（大平正司）,,,300,ローソン100　　雑貨,,,,,,,
2014-01-07,,31,,707,接待交際費,,,101,現金（大平正司）,,,2120,魚久　　　贈答品,,,,,,,
2014-01-10,,32,,731,会議費,,,100,現金（店）,,,476,早朝ミーティング朝食代,,,,,,,
2014-01-10,,32,,732,新聞図書費,,,100,現金（店）,,,715,雑誌購入代,,,,,,,
2014-01-10,,32,,713,福利厚生費,,,100,現金（店）,,,2372,従業員昼食代 ローソン,,,,,,,
2014-01-10,,32,,710,消耗品費,,,100,現金（店）,,,4124,ラタンハウス　店舗インテリア,,,,,,,
2014-01-10,,33,,101,現金（大平正司）,,,100,現金（店）,,,111031,店主へお渡し,,,,,,,
2014-01-11,,34,,100,現金（店）,,,500,売上（店）,,,209100,店売上,,,,,,,
2014-01-11,,34,,100,現金（店）,,,501,売上化粧品,,,1600,化粧品売上,,,,,,,
2014-01-11,,35,,731,会議費,,,100,現金（店）,,,582,早朝ミーティング朝食代,,,,,,,
2014-01-11,,35,,713,福利厚生費,,,100,現金（店）,,,2143,従業員昼食代　吉野や,,,,,,,
2014-01-11,,36,,101,現金（大平正司）,,,100,現金（店）,,,207839,店主へお渡し,,,,,,,
2014-01-14,,37,,100,現金（店）,,,500,売上（店）,,,149700,店売上,,,,,,,
2014-01-14,,38,,731,会議費,,,100,現金（店）,,,468,早朝ミーティング朝食代,,,,,,,
2014-01-14,,38,,732,新聞図書費,,,100,現金（店）,,,781,雑誌購入代,,,,,,,
2014-01-14,,38,,713,福利厚生費,,,100,現金（店）,,,1842,従業員昼食代 ファミリーマート,,,,,,,
2014-01-14,,39,,101,現金（大平正司）,,,100,現金（店）,,,146455,店主へお渡し,,,,,,,
2014-01-15,,40,,100,現金（店）,,,500,売上（店）,,,118300,店売上,,,,,,,
2014-01-15,,41,,732,新聞図書費,,,100,現金（店）,,,400,雑誌購入代,,,,,,,
2014-01-15,,41,,731,会議費,,,100,現金（店）,,,461,早朝ミーティング朝食代,,,,,,,
2014-01-15,,41,,713,福利厚生費,,,100,現金（店）,,,1840,従業員昼食代 ファミリーマート,,,,,,,
2014-01-15,,41,,711,事務用品費,,,100,現金（店）,,,64,世界堂　ペン,,,,,,,
2014-01-15,,41,,711,事務用品費,,,100,現金（店）,,,1124,ヨドバシ　紙,,,,,,,
2014-01-15,,42,,101,現金（大平正司）,,,100,現金（店）,,,114217,店主へお渡し,,,,,,,
2014-01-16,,43,,100,現金（店）,,,500,売上（店）,,,79600,店売上,,,,,,,
2014-01-16,,44,,713,福利厚生費,,,100,現金（店）,,,2324,従業員昼食代　パーシモン,,,,,,,
2014-01-16,,44,,713,福利厚生費,,,100,現金（店）,,,500,ローソン　従業員おやつ代,,,,,,,
2014-01-16,,44,,732,新聞図書費,,,100,現金（店）,,,1000,雑誌購入代,,,,,,,
2014-01-16,,44,,731,会議費,,,100,現金（店）,,,477,早朝ミーティング朝食代,,,,,,,
2014-01-16,,44,,710,消耗品費,,,100,現金（店）,,,3416,パック　ダイコク,,,,,,,
2014-01-16,,44,,710,消耗品費,,,100,現金（店）,,,5753,ポット　ヨドバシ,,,,,,,
2014-01-16,,44,,732,新聞図書費,,,100,現金（店）,,,1486,雑誌購入代,,,,,,,
2014-01-16,,45,,101,現金（大平正司）,,,100,現金（店）,,,63899,店主へお渡し,,,,,,,
2014-01-17,,46,,100,現金（店）,,,500,売上（店）,,,110700,店売上,,,,,,,
2014-01-17,,46,,100,現金（店）,,,501,売上化粧品,,,1600,化粧品売上,,,,,,,
2014-01-17,,47,,731,会議費,,,100,現金（店）,,,485,早朝ミーティング朝食代,,,,,,,
2014-01-17,,47,,713,福利厚生費,,,100,現金（店）,,,1850,従業員昼食代 ファミリーマート,,,,,,,
2014-01-17,,47,,705,通信費,1,店,100,現金（店）,,,24,葉書代,,,,,,,
2014-01-17,,47,,705,通信費,1,店,100,現金（店）,,,4762,葉書代,,,,,,,
2014-01-17,,47,,732,新聞図書費,,,100,現金（店）,,,715,雑誌購入代,,,,,,,
2014-01-17,,48,,101,現金（大平正司）,,,100,現金（店）,,,104074,店主へお渡し,,,,,,,
2014-01-18,,49,,100,現金（店）,,,500,売上（店）,,,264400,店売上,,,,,,,
2014-01-18,,50,,731,会議費,,,100,現金（店）,,,610,早朝ミーティング朝食代,,,,,,,
2014-01-18,,50,,713,福利厚生費,,,100,現金（店）,,,1886,従業員昼食代　吉野家,,,,,,,
2014-01-18,,51,,101,現金（大平正司）,,,100,現金（店）,,,261780,店主へお渡し,,,,,,,
2014-01-08,,52,,710,消耗品費,,,101,現金（大平正司）,,,5000,きたむら　　　メニユー表,,,,,,,
2014-01-08,,52,,732,新聞図書費,,,101,現金（大平正司）,,,153,駅売店購入　　日経,,,,,,,
2014-01-08,,52,,713,福利厚生費,,,101,現金（大平正司）,,,5832,フードユニフォーム㈱　　ユニフォーム,,,,,,,
2014-01-08,,52,,713,福利厚生費,,,101,現金（大平正司）,,,430,ローソン　　　　おやつ,,,,,,,
2014-01-08,,52,,710,消耗品費,,,101,現金（大平正司）,,,2858,ヨシガミ　　　　雑貨,,,,,,,
2014-01-08,,52,,725,支払手数料,,,101,現金（大平正司）,,,200,振込手数料,,,,,,,
2014-01-08,,52,,705,通信費,4,docomo,101,現金（大平正司）,,,3550,ｄｏｃｏｍｏ　携帯電話代（スマホ契約料）,,,,,,,
2014-01-08,,52,,707,接待交際費,,,101,現金（大平正司）,,,9429,かまどか　　　　接待飲食代,,,,,,,
2014-01-09,,53,,732,新聞図書費,,,101,現金（大平正司）,,,153,駅売店購入　日経,,,,,,,
2014-01-09,,53,,710,消耗品費,,,101,現金（大平正司）,,,905,㈱プリントバック　　　名刺,,,,,,,
2014-01-09,,53,,725,支払手数料,,,101,現金（大平正司）,,,200,振込手数料,,,,,,,
2014-01-09,,53,,710,消耗品費,,,101,現金（大平正司）,,,9480,3ｒｄ　　　　　モデル衣装,,,,,,,
2014-01-09,,53,,704,旅費交通費,,,101,現金（大平正司）,,,17277,電車賃　　,,,,,,,
2014-01-10,,7,,732,新聞図書費,,,101,現金（大平正司）,,,153,駅売店購入　　日経,,,,,,,
2014-01-10,,7,,707,接待交際費,,,101,現金（大平正司）,,,972,123ＦＡＫＵＴＯＲＹ　　贈答品,,,,,,,
2014-01-10,,7,,707,接待交際費,,,101,現金（大平正司）,,,11562,玉風味　　　　贈答品,,,,,,,
2014-01-10,,7,,713,福利厚生費,,,101,現金（大平正司）,,,669,ＨＯＫＵＯ他2件　　　　スタッフおやつ,,,,,,,
2014-01-10,,7,,710,消耗品費,,,101,現金（大平正司）,,,3815,モビィ　　　　インテリア,,,,,,,
2014-01-10,,7,,610,化粧品仕入,,,101,現金（大平正司）,,,12600,クオレ化粧品　　化粧品,,,,,,,
2014-01-11,,54,,732,新聞図書費,,,101,現金（大平正司）,,,153,駅売店購入　　　日経,,,,,,,
2014-01-11,,54,,713,福利厚生費,,,101,現金（大平正司）,,,1507,従業員おやつ代　　ＦＭ他2件,,,,,,,
2014-01-11,,54,,707,接待交際費,,,101,現金（大平正司）,,,1980,京王百貨店　　贈答品,,,,,,,
2014-01-11,,54,,705,通信費,5,ソフトバンク,101,現金（大平正司）,,,5693,ソフトバンク　携帯電話代,,,,,,,
2014-01-11,,54,,713,福利厚生費,,,101,現金（大平正司）,,,1505,広州市場　　　　残業食事代,,,,,,,
2014-01-12,,55,,704,旅費交通費,,,101,現金（大平正司）,,,1981,葵交通他2件　　　タクシー代,,,,,,,
2014-01-12,,55,,738,研究費,,,101,現金（大平正司）,,,111486,ホテル岡田　　　年初ミーテング及び研修,,,,,,,
2014-01-12,,55,,731,会議費,,,101,現金（大平正司）,,,372,上島コーヒー　　　　コーヒー,,,,,,,
2014-01-12,,55,,713,福利厚生費,,,101,現金（大平正司）,,,17536,箱根食事他6件　　お土産他食事,,,,,,,
2014-01-13,,56,,731,会議費,,,101,現金（大平正司）,,,1067,箱根カフェー他2件　　　コーヒー他,,,,,,,
2014-01-13,,56,,707,接待交際費,,,101,現金（大平正司）,,,1477,まんじゅうや　　　　贈答品,,,,,,,
2014-01-13,,56,,731,会議費,,,101,現金（大平正司）,,,1905,小田急レストランシステム　　　研修食事代,,,,,,,
2014-01-14,,58,,610,化粧品仕入,,,101,現金（大平正司）,,,30000,フェースアブ　　シェーブ刃他,,,,,,,
2014-01-14,,58,,731,会議費,,,101,現金（大平正司）,,,1062,上島コーヒー他3件　　　飲み物,,,,,,,
2014-01-14,,58,,705,通信費,1,店,101,現金（大平正司）,,,115,ゆうパック料金,,,,,,,
2014-01-14,,58,,710,消耗品費,,,101,現金（大平正司）,,,12210,キラット　　　　　インク他,,,,,,,
2014-01-14,,58,,610,化粧品仕入,,,101,現金（大平正司）,,,6239,杉並ＳＰＳ山下,,,,,,,
2014-01-14,,58,,610,化粧品仕入,,,101,現金（大平正司）,,,39257,㈱きくや美粧堂,,,,,,,
2014-01-14,,58,,707,接待交際費,,,101,現金（大平正司）,,,7360,京王百貨店　　　　贈答品2件,,,,,,,
2014-01-14,,58,,707,接待交際費,,,101,現金（大平正司）,,,1623,マルエツ　　　飲み物他,,,,,,,
2014-01-15,,59,,713,福利厚生費,,,101,現金（大平正司）,,,625,ＦＭほか2件　　　　飲み物他,,,,,,,
2014-01-15,,59,,713,福利厚生費,,,101,現金（大平正司）,,,3696,従業員おやつ代,,,,,,,
