日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-07-16,0,,"",244,"開業費",,,373,"事業主借",,,216,"ダイソー　クリアファイル",11,,,,借,仕,
2015-07-24,0,,"",550,"仕入高",,,373,"事業主借",,,710,"銀屋",11,,,,借,仕,
2015-07-25,0,,"",244,"開業費",,,373,"事業主借",,,2440,"タクシー",11,,,,借,仕,
2015-07-25,0,,"",244,"開業費",,,373,"事業主借",,,1450,"タクシー",11,,,,借,仕,
2015-07-25,0,,"",244,"開業費",,,373,"事業主借",,,1810,"タクシー",11,,,,借,仕,
2015-07-31,0,,"",244,"開業費",,,373,"事業主借",,,2980,"タクシー",11,,,,借,仕,
2015-08-01,0,,"",222,"建設仮勘定",,,373,"事業主借",,,6550,"山長通商㈱　電気配線工事ケーブル",11,,,,借,仕,
2015-08-04,0,,"",244,"開業費",,,373,"事業主借",,,1270,"タクシー",11,,,,借,仕,
2015-08-04,0,,"",244,"開業費",,,373,"事業主借",,,243,"キンコーズ　コピー",11,,,,借,仕,
2015-08-05,0,,"",244,"開業費",,,373,"事業主借",,,1450,"タクシー",11,,,,借,仕,
2015-08-06,0,,"",244,"開業費",,,373,"事業主借",,,1810,"タクシー",11,,,,借,仕,
2015-08-06,0,,"",244,"開業費",,,373,"事業主借",,,21968,"トランスオーディオ　スピーカー",11,,,,借,仕,
2015-08-07,0,,"",550,"仕入高",,,373,"事業主借",,,860,"銀屋",11,,,,借,仕,
2015-08-07,0,,"",222,"建設仮勘定",,,373,"事業主借",,,1097,"コーナン　電気配線工事部材",11,,,,借,仕,
2015-08-08,0,,"",244,"開業費",,,373,"事業主借",,,820,"タクシー",11,,,,借,仕,
2015-08-09,0,,"",244,"開業費",,,373,"事業主借",,,1360,"タクシー",11,,,,借,仕,
2015-08-12,0,,"",550,"仕入高",,,373,"事業主借",,,2563,"メトロ　食品",11,,,,借,仕,
2015-08-12,0,,"",244,"開業費",,,373,"事業主借",,,2260,"タクシー",11,,,,借,仕,
2015-08-12,0,,"",244,"開業費",,,373,"事業主借",,,1540,"タクシー",11,,,,借,仕,
2015-08-12,0,,"",244,"開業費",,,373,"事業主借",,,310300,"㈲ネットワーク　来客用イス",11,,,,借,仕,
2015-08-13,0,,"",550,"仕入高",,,373,"事業主借",,,3398,"メトロ　食品",11,,,,借,仕,
2015-08-13,0,,"",244,"開業費",,,373,"事業主借",,,910,"タクシー",11,,,,借,仕,
2015-08-13,0,,"",244,"開業費",,,373,"事業主借",,,1000,"タクシー",11,,,,借,仕,
2015-08-13,0,,"",244,"開業費",,,373,"事業主借",,,1562,"東京インテリア家具幕張店　マグカップ",11,,,,借,仕,
2015-08-18,0,,"",244,"開業費",,,373,"事業主借",,,1090,"タクシー",11,,,,借,仕,
2015-08-18,0,,"",244,"開業費",,,373,"事業主借",,,820,"タクシー",11,,,,借,仕,
2015-08-19,0,,"",222,"建設仮勘定",,,373,"事業主借",,,30218,"ビバホーム　内装塗料",11,,,,借,仕,
2015-08-21,0,,"",244,"開業費",,,373,"事業主借",,,432,"ダイソー　料理小物",11,,,,借,仕,
2015-08-24,0,,"",222,"建設仮勘定",,,373,"事業主借",,,58672,"ビバホーム　内装塗料",11,,,,借,仕,
2015-08-25,0,,"",550,"仕入高",,,373,"事業主借",,,7105,"メトロ　食品",11,,,,借,仕,
2015-08-26,0,,"",222,"建設仮勘定",,,373,"事業主借",,,27792,"ビバホーム　内装塗料",11,,,,借,仕,
2015-08-27,0,,"",244,"開業費",,,373,"事業主借",,,1000,"タクシー",11,,,,借,仕,
2015-08-27,0,,"",244,"開業費",,,373,"事業主借",,,11275,"コーナン　消火器",11,,,,借,仕,
2015-08-27,0,,"",222,"建設仮勘定",,,373,"事業主借",,,14500,"島忠ホームセンター　内装塗料",11,,,,借,仕,
2015-08-28,0,,"",244,"開業費",,,373,"事業主借",,,1450,"タクシー",11,,,,借,仕,
2015-08-28,0,,"",244,"開業費",,,373,"事業主借",,,1900,"タクシー",11,,,,借,仕,
2015-08-28,0,,"",244,"開業費",,,373,"事業主借",,,1450,"タクシー",11,,,,借,仕,
2015-08-28,0,,"",222,"建設仮勘定",,,373,"事業主借",,,28944,"日本プラスター　内装塗料",11,,,,借,仕,
2015-08-29,0,,"",222,"建設仮勘定",,,373,"事業主借",,,6361,"コーナン　内装塗料",11,,,,借,仕,
