日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-07-09,0,1,"00000",866,"会議費",,,111,"現金",,,1600,"全社(共　7/9お弁当代(さくら中央森先生、高木先生帳簿確認)/ｶﾞｽﾄ",11,,,,借,仕,
2015-07-10,0,2,"00000",866,"会議費",,,111,"現金",,,258,"全社(共　7/9お茶代(さくら中央森先生、高木先生帳簿確認)/ｶﾞｽﾄ",11,,,,借,仕,
2015-07-10,0,2,"03401",843,"通信費",,,111,"現金",,,82,"NRT(TRF　7/3切手代(辻事務所)/川崎中央郵便局",11,,,,借,仕,
2015-07-10,0,2,"03402",843,"通信費",,,111,"現金",,,140,"NRT(LH　7/10切手代(INTEX宛　請求書)/藤崎郵便局",11,,,,借,仕,
2015-07-10,0,2,"09000",852,"消耗品費",,,111,"現金",,,984,"建設業　7/2USBﾒﾓﾘ-　2個(坂井弁護士宛　写真用)/ｹ-ｽﾞﾃﾞﾝｷ",11,,,,借,仕,
2015-07-10,0,2,"03100",856,"事務用品費",,,111,"現金",,,2355,"NRT(共　7/2ﾌﾟﾘﾝﾀ-ｲﾝｸ代(成田営業所)/ｹ-ｽﾞﾃﾞﾝｷ",11,,,,借,仕,
2015-07-10,0,2,"01201",842,"旅費交通費",,,111,"現金",,,577,"等々力(ﾅ　7/2電車・ﾊﾞｽ代(等々力日報回収)/交通機関(篠)",11,,,,借,仕,
2015-07-10,0,2,"01202",842,"旅費交通費",,,111,"現金",,,412,"御幸　7/6ﾊﾞｽ代(道路公園ｾﾝﾀ-・御幸球場)/交通機関(篠)",11,,,,借,仕,
2015-07-10,0,3,"01201",842,"旅費交通費",,,111,"現金",,,742,"等々力(ﾅ　7/8電車・ﾊﾞｽ代(等々力ﾅｲﾀ-業務)/交通機関(篠)",11,,,,借,仕,
2015-07-10,0,3,"",318,"預り金",,,111,"現金",,,5500,"潮来市　6月分住民税",,,,,,,
