日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2016-01-05,0,,"",101,"現金",,,511,"売上・第２種",,,123500,"仕入商品売上",11,,,100,貸,売,
2016-01-10,0,,"",101,"現金",,,511,"売上・第２種",,,26000,"仕入商品売上",11,,,100,貸,売,
2016-01-19,0,,"",101,"現金",,,511,"売上・第２種",,,40000,"仕入商品売上",11,,,100,貸,売,
2016-01-24,0,,"",101,"現金",,,511,"売上・第２種",,,22000,"仕入商品売上",11,,,100,貸,売,
2016-01-26,0,,"",101,"現金",,,511,"売上・第２種",,,55000,"仕入商品売上",11,,,100,貸,売,
2016-01-30,0,,"",101,"現金",,,511,"売上・第２種",,,3500,"仕入商品売上",11,,,100,貸,売,
2016-01-02,0,,"",101,"現金",,,189,"店主勘定",,,3735,"事業主より入金",,,,,,,
2016-01-03,0,,"",101,"現金",,,189,"店主勘定",,,3547,"事業主より入金",,,,,,,
2016-01-04,0,,"",101,"現金",,,189,"店主勘定",,,2839,"事業主より入金",,,,,,,
2016-01-06,0,,"",101,"現金",,,189,"店主勘定",,,710,"事業主より入金",,,,,,,
2016-01-07,0,,"",101,"現金",,,189,"店主勘定",,,60276,"事業主より入金",,,,,,,
2016-01-08,0,,"",101,"現金",,,189,"店主勘定",,,29978,"事業主より入金",,,,,,,
2016-01-11,0,,"",101,"現金",,,189,"店主勘定",,,8120,"事業主より入金",,,,,,,
2016-01-13,0,,"",101,"現金",,,189,"店主勘定",,,8177,"事業主より入金",,,,,,,
2016-01-14,0,,"",101,"現金",,,189,"店主勘定",,,4860,"事業主より入金",,,,,,,
2016-01-17,0,,"",101,"現金",,,189,"店主勘定",,,2000,"事業主より入金",,,,,,,
2016-01-18,0,,"",101,"現金",,,189,"店主勘定",,,38541,"事業主より入金",,,,,,,
2016-01-20,0,,"",101,"現金",,,189,"店主勘定",,,34080,"事業主より入金",,,,,,,
