日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2013-03-01,0,,"",101,"現金",,,511,"店売上高",,,49380,"本日店売上",11,,,10000,貸,売,
2013-03-02,0,,"",101,"現金",,,511,"店売上高",,,60650,"本日店売上",11,,,10000,貸,売,
2013-03-03,0,,"",101,"現金",,,511,"店売上高",,,50610,"本日店売上",11,,,10000,貸,売,
2013-03-04,0,,"",101,"現金",,,511,"店売上高",,,44960,"本日店売上",11,,,10000,貸,売,
2013-03-05,0,,"",101,"現金",,,511,"店売上高",,,28510,"本日店売上",11,,,10000,貸,売,
2013-03-07,0,,"",101,"現金",,,511,"店売上高",,,54810,"本日店売上",11,,,10000,貸,売,
2013-03-08,0,,"",101,"現金",,,511,"店売上高",,,72120,"本日店売上",11,,,10000,貸,売,
2013-03-09,0,,"",101,"現金",,,511,"店売上高",,,52650,"本日店売上",11,,,10000,貸,売,
2013-03-10,0,,"",101,"現金",,,511,"店売上高",,,96730,"本日店売上",11,,,10000,貸,売,
2013-03-11,0,,"",101,"現金",,,511,"店売上高",,,64010,"本日店売上",11,,,10000,貸,売,
2013-03-12,0,,"",101,"現金",,,511,"店売上高",,,71030,"本日店売上",11,,,10000,貸,売,
2013-03-14,0,,"",101,"現金",,,511,"店売上高",,,100130,"本日店売上",11,,,10000,貸,売,
2013-03-15,0,,"",101,"現金",,,511,"店売上高",,,106200,"本日店売上",11,,,10000,貸,売,
2013-03-16,0,,"",101,"現金",,,511,"店売上高",,,46420,"本日店売上",11,,,10000,貸,売,
2013-03-17,0,,"",101,"現金",,,511,"店売上高",,,55340,"本日店売上",11,,,10000,貸,売,
2013-03-18,0,,"",101,"現金",,,511,"店売上高",,,85210,"本日店売上",11,,,10000,貸,売,
2013-03-19,0,,"",101,"現金",,,511,"店売上高",,,57390,"本日店売上",11,,,10000,貸,売,
2013-03-21,0,,"",101,"現金",,,511,"店売上高",,,64470,"本日店売上",11,,,10000,貸,売,
2013-03-22,0,,"",101,"現金",,,511,"店売上高",,,70050,"本日店売上",11,,,10000,貸,売,
2013-03-23,0,,"",101,"現金",,,511,"店売上高",,,89510,"本日店売上",11,,,10000,貸,売,
2013-03-24,0,,"",101,"現金",,,511,"店売上高",,,139160,"本日店売上",11,,,10000,貸,売,
2013-03-25,0,,"",101,"現金",,,511,"店売上高",,,52620,"本日店売上",11,,,10000,貸,売,
2013-03-26,0,,"",101,"現金",,,511,"店売上高",,,48370,"本日店売上",11,,,10000,貸,売,
2013-03-28,0,,"",101,"現金",,,511,"店売上高",,,54600,"本日店売上",11,,,10000,貸,売,
2013-03-29,0,,"",101,"現金",,,511,"店売上高",,,77390,"本日店売上",11,,,10000,貸,売,
2013-03-30,0,,"",101,"現金",,,511,"店売上高",,,71710,"本日店売上",11,,,10000,貸,売,
2013-03-31,0,,"",101,"現金",,,511,"店売上高",,,62800,"本日店売上",11,,,10000,貸,売,
2013-03-05,0,,"",550,"材料仕入高",1,"　野菜仕入",101,"現金",,,1976,"オオゼキ　野菜仕入",11,,,,借,仕,
