日付,決修,伝票番号,部門ｺｰﾄﾞ,借方ｺｰﾄﾞ,借方名称,借方枝番,借方枝番摘要,貸方ｺｰﾄﾞ,貸方名称,貸方枝番,貸方枝番摘要,金額,摘要,税区分,対価,仕入区分,売上業種区分,消費税科目,売仕区分,ﾀﾞﾐｰ3
2015-01-26,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,15606,"１月分共用電気代",11,,,,借,仕,
2015-02-25,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,12827,"２月分共用電気代",11,,,,借,仕,
2015-03-25,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,12275,"３月分共用電気代",11,,,,借,仕,
2015-04-27,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,7945,"４月分共用電気代",11,,,,借,仕,
2015-05-25,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,5320,"５月分共用電気代",11,,,,借,仕,
2015-06-25,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,2933,"６月分共用電気代",11,,,,借,仕,
2015-07-27,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,2580,"７月分共用電気代",11,,,,借,仕,
2015-08-25,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,4798,"８月分共用電気代",11,,,,借,仕,
2015-09-25,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,3217,"９月分共用電気代",11,,,,借,仕,
2015-10-26,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,2773,"月分共用電気代",11,,,,借,仕,
2015-11-25,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,2825,"月分共用電気代",11,,,,借,仕,
2015-12-25,0,,"",724,"水道光熱費",5,"共用電気代",196,"事業主貸",,,4437,"月分共用電気代",11,,,,借,仕,
2015-01-08,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,2600,"１月分共用水道代",11,,,,借,仕,
2015-02-26,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,3250,"２月分共用水道代",11,,,,借,仕,
2015-03-16,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,2810,"３月分共用水道代",11,,,,借,仕,
2015-04-27,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,3680,"４月分共用水道代",11,,,,借,仕,
2015-05-25,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,3030,"５月分共用水道代",11,,,,借,仕,
2015-06-25,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,3030,"６月分共用水道代",11,,,,借,仕,
2015-07-27,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,2600,"７月分共用水道代",11,,,,借,仕,
2015-08-25,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,3030,"８月分共用水道代",11,,,,借,仕,
2015-09-25,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,3030,"９月分共用水道代",11,,,,借,仕,
2015-10-26,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,2810,"月分共用水道代",11,,,,借,仕,
2015-11-25,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,2810,"月分共用水道代",11,,,,借,仕,
2015-12-25,0,,"",724,"水道光熱費",3,"共用水道代",196,"事業主貸",,,3250,"月分共用水道代",11,,,,借,仕,
2015-01-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,7353,"１月分共用ガス代",11,,,,借,仕,
2015-02-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,7050,"２月分共用ガス代",11,,,,借,仕,
2015-03-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,6921,"３月分共用ガス代",11,,,,借,仕,
2015-04-17,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,6273,"４月分共用ガス代",11,,,,借,仕,
2015-05-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,5322,"５月分共用ガス代",11,,,,借,仕,
2015-06-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,4650,"６月分共用ガス代",11,,,,借,仕,
2015-07-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,3174,"７月分共用ガス代",11,,,,借,仕,
2015-08-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,2678,"８月分共用ガス代",11,,,,借,仕,
2015-09-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,3312,"９月分共用ガス代",11,,,,借,仕,
2015-10-17,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,3731,"月分共用ガス代",11,,,,借,仕,
2015-11-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,4673,"月分共用ガス代",11,,,,借,仕,
2015-12-18,0,,"",724,"水道光熱費",7,"共用ガス代",196,"事業主貸",,,4796,"月分共用ガス代",11,,,,借,仕,
2015-04-27,0,,"",725,"租税公課",,,196,"事業主貸",,,27270,"固定資産税（全期分）",4,,,,借,仕,
2015-04-27,0,,"",196,"事業主貸",,,725,"租税公課",,,20453,"固定資産税　自己否認７５％",4,,,,貸,仕,
2015-05-15,0,,"",725,"租税公課",,,196,"事業主貸",,,34500,"自動車税",4,,,,借,仕,
2015-05-15,0,,"",725,"租税公課",,,196,"事業主貸",,,7200,"軽自動車税",4,,,,借,仕,
2015-05-15,0,,"",196,"事業主貸",,,725,"租税公課",,,1440,"軽自動車税　自己否認２０％",4,,,,貸,仕,
2015-10-27,0,,"",742,"諸会費",,,196,"事業主貸",,,20570,"ＵＳＧＩＦ　２０１６年度年会費",11,,,,借,仕,
2015-03-02,0,,"",742,"諸会費",,,196,"事業主貸",,,42000,"日本プロゴルフ協会　年会費",4,,,,借,仕,
2015-03-02,0,,"",732,"保険料",,,196,"事業主貸",,,3000,"日本プロゴルフ協会　ゴルファー保険",2,,,,借,仕,
2015-03-02,0,,"",733,"支払手数料",,,196,"事業主貸",,,108,"振込手数料　日本プロゴルフ協会",11,,,,借,仕,
2015-01-08,0,,"",828,"研修費",,,196,"事業主貸",,,22560,"日本プロゴルフ協会　ゴルフスクール公認料・ゴルフ教本",11,,,,借,仕,
2015-01-08,0,,"",733,"支払手数料",,,196,"事業主貸",,,216,"振込手数料　日本プロゴルフ協会",11,,,,借,仕,
2015-04-07,0,,"",733,"支払手数料",,,196,"事業主貸",,,75600,"さくら中央税理士法人　Ｈ２６年分税務書類作成報酬",11,,,,借,仕,
2015-04-07,0,,"",733,"支払手数料",,,196,"事業主貸",,,432,"振込手数料　さくら中央税理士法人",11,,,,借,仕,
2015-08-24,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,21600,"㈱アイウィル　ホームページ修正",11,,,,借,仕,
2015-08-24,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,45360,"㈱アイウィル　サーバー利用料（2015年9月～2016年8月）",11,,,,借,仕,
2015-08-24,0,,"",733,"支払手数料",,,196,"事業主貸",,,432,"振込手数料　㈱アイウィル",11,,,,借,仕,
2015-11-24,0,,"",731,"修繕費",,,196,"事業主貸",,,2288,"㈱ホンダカーズ茨城　ブレーキバルブ交換",11,,,,借,仕,
2015-02-27,0,,"",999,"諸口",,,196,"事業主貸",,,116585,"㈱ホンダカーズ茨城",,,,,,,
2015-02-27,0,,"",731,"修繕費",,,999,"諸口",,,58485,"㈱ホンダカーズ茨城　点検パック・マモル代",11,,,,借,仕,
2015-02-27,0,,"",731,"修繕費",,,999,"諸口",,,24030,"㈱ホンダカーズ茨城　検査・定期点検整備",11,,,,借,仕,
2015-02-27,0,,"",731,"修繕費",,,999,"諸口",,,34070,"㈱ホンダカーズ茨城　重量税・自賠責保険・印紙等",2,,,,借,仕,
2015-07-25,0,,"",999,"諸口",,,196,"事業主貸",,,143798,"㈱ホンダカーズ茨城",,,,,,,
2015-07-25,0,,"",731,"修繕費",,,999,"諸口",,,65520,"㈱ホンダカーズ茨城　点検パック・マモル代",11,,,,借,仕,
2015-07-25,0,,"",731,"修繕費",,,999,"諸口",,,34338,"㈱ホンダカーズ茨城　検査・定期点検整備",11,,,,借,仕,
2015-07-25,0,,"",731,"修繕費",,,999,"諸口",,,43940,"㈱ホンダカーズ茨城　重量税・自賠責保険・印紙代",2,,,,借,仕,
2015-04-05,0,,"",742,"諸会費",,,196,"事業主貸",,,6300,"宮の森ニュータウン　自治会費",11,,,,借,仕,
2015-01-19,0,,"",721,"旅費交通費",,,196,"事業主貸",,,2960,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-02-03,0,,"",721,"旅費交通費",,,196,"事業主貸",,,590,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-02-09,0,,"",721,"旅費交通費",,,196,"事業主貸",,,3370,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-02-13,0,,"",721,"旅費交通費",,,196,"事業主貸",,,5300,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-02-13,0,,"",721,"旅費交通費",,,196,"事業主貸",,,1440,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-02-15,0,,"",721,"旅費交通費",,,196,"事業主貸",,,470,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-21,0,,"",721,"旅費交通費",,,196,"事業主貸",,,2360,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-22,0,,"",721,"旅費交通費",,,196,"事業主貸",,,3870,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-23,0,,"",721,"旅費交通費",,,196,"事業主貸",,,1330,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-23,0,,"",721,"旅費交通費",,,196,"事業主貸",,,2690,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-24,0,,"",721,"旅費交通費",,,196,"事業主貸",,,4270,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-24,0,,"",721,"旅費交通費",,,196,"事業主貸",,,670,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-25,0,,"",721,"旅費交通費",,,196,"事業主貸",,,1930,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-26,0,,"",721,"旅費交通費",,,196,"事業主貸",,,6230,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-26,0,,"",721,"旅費交通費",,,196,"事業主貸",,,2890,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-06-28,0,,"",721,"旅費交通費",,,196,"事業主貸",,,2980,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-08-29,0,,"",721,"旅費交通費",,,196,"事業主貸",,,1750,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-08-29,0,,"",721,"旅費交通費",,,196,"事業主貸",,,2980,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-09-17,0,,"",721,"旅費交通費",,,196,"事業主貸",,,1840,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-09-17,0,,"",721,"旅費交通費",,,196,"事業主貸",,,2250,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-10-24,0,,"",721,"旅費交通費",,,196,"事業主貸",,,1570,"ＥＴＣ　通行料金",11,,,,借,仕,
2015-01-31,0,,"",723,"通信費",,,196,"事業主貸",,,6666,"１月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-02-28,0,,"",723,"通信費",,,196,"事業主貸",,,6666,"２月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-03-31,0,,"",723,"通信費",,,196,"事業主貸",,,6666,"３月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-04-30,0,,"",723,"通信費",,,196,"事業主貸",,,6666,"４月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-05-31,0,,"",723,"通信費",,,196,"事業主貸",,,6666,"５月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-06-30,0,,"",723,"通信費",,,196,"事業主貸",,,6666,"６月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-07-31,0,,"",723,"通信費",,,196,"事業主貸",,,6666,"７月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-08-31,0,,"",723,"通信費",,,196,"事業主貸",,,6666,"８月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-09-30,0,,"",723,"通信費",,,196,"事業主貸",,,6048,"９月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-10-31,0,,"",723,"通信費",,,196,"事業主貸",,,6048,"月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-11-30,0,,"",723,"通信費",,,196,"事業主貸",,,6048,"月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-12-31,0,,"",723,"通信費",,,196,"事業主貸",,,6048,"月分ＮＴＴファイナンス㈱　フレッツ光利用料",11,,,,借,仕,
2015-01-31,0,,"",723,"通信費",,,196,"事業主貸",,,4415,"１月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-02-28,0,,"",723,"通信費",,,196,"事業主貸",,,4286,"２月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-03-31,0,,"",723,"通信費",,,196,"事業主貸",,,3406,"３月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-04-30,0,,"",723,"通信費",,,196,"事業主貸",,,3407,"４月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-05-31,0,,"",723,"通信費",,,196,"事業主貸",,,3443,"５月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-06-30,0,,"",723,"通信費",,,196,"事業主貸",,,3406,"６月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-07-31,0,,"",723,"通信費",,,196,"事業主貸",,,3406,"７月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-08-31,0,,"",723,"通信費",,,196,"事業主貸",,,3535,"８月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-09-30,0,,"",723,"通信費",,,196,"事業主貸",,,3612,"９月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-10-31,0,,"",723,"通信費",,,196,"事業主貸",,,3479,"月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-11-30,0,,"",723,"通信費",,,196,"事業主貸",,,3406,"月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-12-31,0,,"",723,"通信費",,,196,"事業主貸",,,3501,"月分㈱ＮＴＴドコモ　携帯電話代",11,,,,借,仕,
2015-01-31,0,,"",723,"通信費",,,196,"事業主貸",,,2775,"１月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-02-28,0,,"",723,"通信費",,,196,"事業主貸",,,2502,"２月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-03-31,0,,"",723,"通信費",,,196,"事業主貸",,,2572,"３月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-04-30,0,,"",723,"通信費",,,196,"事業主貸",,,2554,"４月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-05-31,0,,"",723,"通信費",,,196,"事業主貸",,,2550,"５月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-06-30,0,,"",723,"通信費",,,196,"事業主貸",,,2484,"６月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-07-31,0,,"",723,"通信費",,,196,"事業主貸",,,2490,"７月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-08-31,0,,"",723,"通信費",,,196,"事業主貸",,,2463,"８月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-09-30,0,,"",723,"通信費",,,196,"事業主貸",,,2462,"９月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-10-31,0,,"",723,"通信費",,,196,"事業主貸",,,2581,"月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-11-30,0,,"",723,"通信費",,,196,"事業主貸",,,2462,"月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-12-31,0,,"",723,"通信費",,,196,"事業主貸",,,2462,"月分ＫＤＤＩ㈱　携帯電話代",11,,,,借,仕,
2015-01-07,0,,"",732,"保険料",,,196,"事業主貸",,,45700,"セゾン自動車　ホンダフィット自動車保険",2,,,,借,仕,
2015-01-29,0,,"",732,"保険料",,,196,"事業主貸",,,39460,"セゾン自動車　ホンダライフ自動車保険",2,,,,借,仕,
2015-01-29,0,,"",196,"事業主貸",,,732,"保険料",,,7892,"ホンダライフ自動車保険　自己否認２０％",2,,,,貸,仕,
2015-02-28,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,1044,"ＦＡＣＥＢＯＯＫ　閲覧広告料",11,,,,借,仕,
2015-03-06,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,1087,"ＦＡＣＥＢＯＯＫ　閲覧広告料",11,,,,借,仕,
2015-03-12,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,1060,"ＦＡＣＥＢＯＯＫ　閲覧広告料",11,,,,借,仕,
2015-03-18,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,1059,"ＦＡＣＥＢＯＯＫ　閲覧広告料",11,,,,借,仕,
2015-03-24,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,892,"ＦＡＣＥＢＯＯＫ　閲覧広告料",11,,,,借,仕,
2015-03-30,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,1009,"ＦＡＣＥＢＯＯＫ　閲覧広告料",11,,,,借,仕,
2015-04-05,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,1011,"ＦＡＣＥＢＯＯＫ　閲覧広告料",11,,,,借,仕,
2015-04-11,0,,"",717,"広告宣伝費",,,196,"事業主貸",,,1028,"ＦＡＣＥＢＯＯＫ　閲覧広告料",11,,,,借,仕,
